run,alpha,method,accuracies
1000,0.1,wt,1
1000,0.1,wt2,1
1000,0.1,l,1
1000,0.1,l2,1
1000,0.1,fg,1
1000,0.1,fg2,1
1000,0.1,eb,0.76
1000,0.1,eb2,0.76
1000,0.1,im,1
1000,0.1,im2,1
1000,0.1,lp,1
1000,0.1,lp2,1
1000,0.1,sl,1
1000,0.1,sl2,1
999,0.1,wt,1
999,0.1,wt2,1
999,0.1,l,1
999,0.1,l2,1
999,0.1,fg,1
999,0.1,fg2,1
999,0.1,eb,0.52
999,0.1,eb2,0.66
999,0.1,im,1
999,0.1,im2,1
999,0.1,lp,1
999,0.1,lp2,1
999,0.1,sl,1
999,0.1,sl2,1
998,0.1,wt,1
998,0.1,wt2,1
998,0.1,l,1
998,0.1,l2,1
998,0.1,fg,1
998,0.1,fg2,1
998,0.1,eb,0.6
998,0.1,eb2,0.6
998,0.1,im,1
998,0.1,im2,1
998,0.1,lp,1
998,0.1,lp2,1
998,0.1,sl,1
998,0.1,sl2,1
997,0.1,wt,1
997,0.1,wt2,1
997,0.1,l,1
997,0.1,l2,1
997,0.1,fg,1
997,0.1,fg2,1
997,0.1,eb,0.24
997,0.1,eb2,0.96
997,0.1,im,1
997,0.1,im2,1
997,0.1,lp,1
997,0.1,lp2,1
997,0.1,sl,1
997,0.1,sl2,1
996,0.1,wt,1
996,0.1,wt2,1
996,0.1,l,1
996,0.1,l2,1
996,0.1,fg,1
996,0.1,fg2,1
996,0.1,eb,0.68
996,0.1,eb2,0.7
996,0.1,im,1
996,0.1,im2,1
996,0.1,lp,1
996,0.1,lp2,1
996,0.1,sl,1
996,0.1,sl2,1
995,0.1,wt,1
995,0.1,wt2,1
995,0.1,l,1
995,0.1,l2,1
995,0.1,fg,1
995,0.1,fg2,1
995,0.1,eb,0.72
995,0.1,eb2,0.72
995,0.1,im,1
995,0.1,im2,1
995,0.1,lp,1
995,0.1,lp2,1
995,0.1,sl,1
995,0.1,sl2,1
994,0.1,wt,1
994,0.1,wt2,1
994,0.1,l,1
994,0.1,l2,1
994,0.1,fg,1
994,0.1,fg2,1
994,0.1,eb,0.54
994,0.1,eb2,0.54
994,0.1,im,1
994,0.1,im2,1
994,0.1,lp,1
994,0.1,lp2,1
994,0.1,sl,1
994,0.1,sl2,1
993,0.1,wt,1
993,0.1,wt2,1
993,0.1,l,1
993,0.1,l2,1
993,0.1,fg,1
993,0.1,fg2,1
993,0.1,eb,0.68
993,0.1,eb2,0.68
993,0.1,im,1
993,0.1,im2,1
993,0.1,lp,1
993,0.1,lp2,1
993,0.1,sl,1
993,0.1,sl2,1
992,0.1,wt,1
992,0.1,wt2,1
992,0.1,l,1
992,0.1,l2,1
992,0.1,fg,1
992,0.1,fg2,1
992,0.1,eb,0.4
992,0.1,eb2,0.72
992,0.1,im,1
992,0.1,im2,1
992,0.1,lp,1
992,0.1,lp2,1
992,0.1,sl,1
992,0.1,sl2,1
991,0.1,wt,1
991,0.1,wt2,1
991,0.1,l,1
991,0.1,l2,1
991,0.1,fg,1
991,0.1,fg2,1
991,0.1,eb,0.74
991,0.1,eb2,0.74
991,0.1,im,1
991,0.1,im2,1
991,0.1,lp,1
991,0.1,lp2,1
991,0.1,sl,1
991,0.1,sl2,1
990,0.1,wt,1
990,0.1,wt2,1
990,0.1,l,1
990,0.1,l2,1
990,0.1,fg,1
990,0.1,fg2,1
990,0.1,eb,0.6
990,0.1,eb2,0.68
990,0.1,im,1
990,0.1,im2,1
990,0.1,lp,1
990,0.1,lp2,1
990,0.1,sl,1
990,0.1,sl2,1
989,0.1,wt,1
989,0.1,wt2,1
989,0.1,l,1
989,0.1,l2,1
989,0.1,fg,1
989,0.1,fg2,1
989,0.1,eb,0.38
989,0.1,eb2,0.72
989,0.1,im,1
989,0.1,im2,1
989,0.1,lp,1
989,0.1,lp2,1
989,0.1,sl,1
989,0.1,sl2,1
988,0.1,wt,1
988,0.1,wt2,1
988,0.1,l,1
988,0.1,l2,1
988,0.1,fg,1
988,0.1,fg2,1
988,0.1,eb,0.7
988,0.1,eb2,0.7
988,0.1,im,1
988,0.1,im2,1
988,0.1,lp,1
988,0.1,lp2,1
988,0.1,sl,1
988,0.1,sl2,1
987,0.1,wt,1
987,0.1,wt2,1
987,0.1,l,1
987,0.1,l2,1
987,0.1,fg,1
987,0.1,fg2,1
987,0.1,eb,0.48
987,0.1,eb2,0.72
987,0.1,im,1
987,0.1,im2,1
987,0.1,lp,1
987,0.1,lp2,1
987,0.1,sl,1
987,0.1,sl2,1
986,0.1,wt,1
986,0.1,wt2,1
986,0.1,l,1
986,0.1,l2,1
986,0.1,fg,1
986,0.1,fg2,1
986,0.1,eb,0.84
986,0.1,eb2,0.84
986,0.1,im,1
986,0.1,im2,1
986,0.1,lp,1
986,0.1,lp2,1
986,0.1,sl,1
986,0.1,sl2,1
985,0.1,wt,1
985,0.1,wt2,1
985,0.1,l,1
985,0.1,l2,1
985,0.1,fg,1
985,0.1,fg2,1
985,0.1,eb,0.56
985,0.1,eb2,0.7
985,0.1,im,1
985,0.1,im2,1
985,0.1,lp,1
985,0.1,lp2,1
985,0.1,sl,1
985,0.1,sl2,1
984,0.1,wt,1
984,0.1,wt2,1
984,0.1,l,1
984,0.1,l2,1
984,0.1,fg,1
984,0.1,fg2,1
984,0.1,eb,0.62
984,0.1,eb2,0.62
984,0.1,im,1
984,0.1,im2,1
984,0.1,lp,1
984,0.1,lp2,1
984,0.1,sl,1
984,0.1,sl2,1
983,0.1,wt,1
983,0.1,wt2,1
983,0.1,l,1
983,0.1,l2,1
983,0.1,fg,1
983,0.1,fg2,1
983,0.1,eb,0.48
983,0.1,eb2,0.76
983,0.1,im,1
983,0.1,im2,1
983,0.1,lp,1
983,0.1,lp2,1
983,0.1,sl,1
983,0.1,sl2,1
982,0.1,wt,1
982,0.1,wt2,1
982,0.1,l,1
982,0.1,l2,1
982,0.1,fg,1
982,0.1,fg2,1
982,0.1,eb,0.54
982,0.1,eb2,0.66
982,0.1,im,1
982,0.1,im2,1
982,0.1,lp,1
982,0.1,lp2,1
982,0.1,sl,1
982,0.1,sl2,1
981,0.1,wt,1
981,0.1,wt2,1
981,0.1,l,1
981,0.1,l2,1
981,0.1,fg,1
981,0.1,fg2,1
981,0.1,eb,0.62
981,0.1,eb2,0.66
981,0.1,im,1
981,0.1,im2,1
981,0.1,lp,1
981,0.1,lp2,1
981,0.1,sl,1
981,0.1,sl2,1
980,0.1,wt,1
980,0.1,wt2,1
980,0.1,l,1
980,0.1,l2,1
980,0.1,fg,1
980,0.1,fg2,1
980,0.1,eb,0.68
980,0.1,eb2,0.68
980,0.1,im,1
980,0.1,im2,1
980,0.1,lp,1
980,0.1,lp2,1
980,0.1,sl,1
980,0.1,sl2,1
979,0.1,wt,1
979,0.1,wt2,1
979,0.1,l,1
979,0.1,l2,1
979,0.1,fg,1
979,0.1,fg2,1
979,0.1,eb,0.62
979,0.1,eb2,0.62
979,0.1,im,1
979,0.1,im2,1
979,0.1,lp,1
979,0.1,lp2,1
979,0.1,sl,1
979,0.1,sl2,1
978,0.1,wt,1
978,0.1,wt2,1
978,0.1,l,1
978,0.1,l2,1
978,0.1,fg,1
978,0.1,fg2,1
978,0.1,eb,0.62
978,0.1,eb2,1
978,0.1,im,1
978,0.1,im2,1
978,0.1,lp,1
978,0.1,lp2,1
978,0.1,sl,1
978,0.1,sl2,1
977,0.1,wt,1
977,0.1,wt2,1
977,0.1,l,1
977,0.1,l2,1
977,0.1,fg,1
977,0.1,fg2,1
977,0.1,eb,0.76
977,0.1,eb2,0.76
977,0.1,im,1
977,0.1,im2,1
