run,alpha,method,accuracies
1000,0,wt,1
1000,0,wt2,1
1000,0,l,1
1000,0,l2,1
1000,0,fg,1
1000,0,fg2,1
1000,0,eb,1
1000,0,eb2,1
1000,0,im,1
1000,0,im2,1
1000,0,lp,1
1000,0,lp2,1
1000,0,sl,NaN
1000,0,sl2,NaN
999,0,wt,1
999,0,wt2,1
999,0,l,1
999,0,l2,1
999,0,fg,1
999,0,fg2,1
999,0,eb,1
999,0,eb2,1
999,0,im,1
999,0,im2,1
999,0,lp,1
999,0,lp2,1
999,0,sl,NaN
999,0,sl2,NaN
998,0,wt,1
998,0,wt2,1
998,0,l,1
998,0,l2,1
998,0,fg,1
998,0,fg2,1
998,0,eb,1
998,0,eb2,1
998,0,im,1
998,0,im2,1
998,0,lp,1
998,0,lp2,1
998,0,sl,NaN
998,0,sl2,NaN
997,0,wt,1
997,0,wt2,1
997,0,l,1
997,0,l2,1
997,0,fg,1
997,0,fg2,1
997,0,eb,1
997,0,eb2,1
997,0,im,1
997,0,im2,1
997,0,lp,1
997,0,lp2,1
997,0,sl,NaN
997,0,sl2,NaN
996,0,wt,1
996,0,wt2,1
996,0,l,1
996,0,l2,1
996,0,fg,1
996,0,fg2,1
996,0,eb,1
996,0,eb2,1
996,0,im,1
996,0,im2,1
996,0,lp,1
996,0,lp2,1
996,0,sl,NaN
996,0,sl2,NaN
995,0,wt,1
995,0,wt2,1
995,0,l,1
995,0,l2,1
995,0,fg,1
995,0,fg2,1
995,0,eb,1
995,0,eb2,1
995,0,im,1
995,0,im2,1
995,0,lp,1
995,0,lp2,1
995,0,sl,NaN
995,0,sl2,NaN
994,0,wt,1
994,0,wt2,1
994,0,l,1
994,0,l2,1
994,0,fg,1
994,0,fg2,1
994,0,eb,1
994,0,eb2,1
994,0,im,1
994,0,im2,1
994,0,lp,1
994,0,lp2,1
994,0,sl,NaN
994,0,sl2,NaN
993,0,wt,1
993,0,wt2,1
993,0,l,1
993,0,l2,1
993,0,fg,1
993,0,fg2,1
993,0,eb,1
993,0,eb2,1
993,0,im,1
993,0,im2,1
993,0,lp,1
993,0,lp2,1
993,0,sl,NaN
993,0,sl2,NaN
992,0,wt,1
992,0,wt2,1
992,0,l,1
992,0,l2,1
992,0,fg,1
992,0,fg2,1
992,0,eb,1
992,0,eb2,1
992,0,im,1
992,0,im2,1
992,0,lp,1
992,0,lp2,1
992,0,sl,NaN
992,0,sl2,NaN
991,0,wt,1
991,0,wt2,1
991,0,l,1
991,0,l2,1
991,0,fg,1
991,0,fg2,1
991,0,eb,1
991,0,eb2,1
991,0,im,1
991,0,im2,1
991,0,lp,1
991,0,lp2,1
991,0,sl,NaN
991,0,sl2,NaN
990,0,wt,1
990,0,wt2,1
990,0,l,1
990,0,l2,1
990,0,fg,1
990,0,fg2,1
990,0,eb,1
990,0,eb2,1
990,0,im,1
990,0,im2,1
990,0,lp,1
990,0,lp2,1
990,0,sl,NaN
990,0,sl2,NaN
989,0,wt,1
989,0,wt2,1
989,0,l,1
989,0,l2,1
989,0,fg,1
989,0,fg2,1
989,0,eb,1
989,0,eb2,1
989,0,im,1
989,0,im2,1
989,0,lp,1
989,0,lp2,1
989,0,sl,NaN
989,0,sl2,NaN
988,0,wt,1
988,0,wt2,1
988,0,l,1
988,0,l2,1
988,0,fg,1
988,0,fg2,1
988,0,eb,1
988,0,eb2,1
988,0,im,1
988,0,im2,1
988,0,lp,1
988,0,lp2,1
988,0,sl,NaN
988,0,sl2,NaN
987,0,wt,1
987,0,wt2,1
987,0,l,1
987,0,l2,1
987,0,fg,1
987,0,fg2,1
987,0,eb,1
987,0,eb2,1
987,0,im,1
987,0,im2,1
987,0,lp,1
987,0,lp2,1
987,0,sl,NaN
987,0,sl2,NaN
986,0,wt,1
986,0,wt2,1
986,0,l,1
986,0,l2,1
986,0,fg,1
986,0,fg2,1
986,0,eb,1
986,0,eb2,1
986,0,im,1
986,0,im2,1
986,0,lp,1
986,0,lp2,1
986,0,sl,NaN
986,0,sl2,NaN
985,0,wt,1
985,0,wt2,1
985,0,l,1
985,0,l2,1
985,0,fg,1
985,0,fg2,1
985,0,eb,1
985,0,eb2,1
985,0,im,1
985,0,im2,1
985,0,lp,1
985,0,lp2,1
985,0,sl,NaN
985,0,sl2,NaN
984,0,wt,1
984,0,wt2,1
984,0,l,1
984,0,l2,1
984,0,fg,1
984,0,fg2,1
984,0,eb,1
984,0,eb2,1
984,0,im,1
984,0,im2,1
984,0,lp,1
984,0,lp2,1
984,0,sl,NaN
984,0,sl2,NaN
983,0,wt,1
983,0,wt2,1
983,0,l,1
983,0,l2,1
983,0,fg,1
983,0,fg2,1
983,0,eb,1
983,0,eb2,1
983,0,im,1
983,0,im2,1
983,0,lp,1
983,0,lp2,1
983,0,sl,NaN
983,0,sl2,NaN
982,0,wt,1
982,0,wt2,1
982,0,l,1
982,0,l2,1
982,0,fg,1
982,0,fg2,1
982,0,eb,1
982,0,eb2,1
982,0,im,1
982,0,im2,1
982,0,lp,1
982,0,lp2,1
982,0,sl,NaN
982,0,sl2,NaN
981,0,wt,1
981,0,wt2,1
981,0,l,1
981,0,l2,1
981,0,fg,1
981,0,fg2,1
981,0,eb,1
981,0,eb2,1
981,0,im,1
981,0,im2,1
981,0,lp,1
981,0,lp2,1
981,0,sl,NaN
981,0,sl2,NaN
980,0,wt,1
980,0,wt2,1
980,0,l,1
980,0,l2,1
980,0,fg,1
980,0,fg2,1
980,0,eb,1
980,0,eb2,1
980,0,im,1
980,0,im2,1
980,0,lp,1
980,0,lp2,1
980,0,sl,NaN
980,0,sl2,NaN
979,0,wt,1
979,0,wt2,1
979,0,l,1
979,0,l2,1
979,0,fg,1
979,0,fg2,1
979,0,eb,1
979,0,eb2,1
979,0,im,1
979,0,im2,1
979,0,lp,1
979,0,lp2,1
979,0,sl,NaN
979,0,sl2,NaN
978,0,wt,1
978,0,wt2,1
978,0,l,1
978,0,l2,1
978,0,fg,1
978,0,fg2,1
978,0,eb,1
978,0,eb2,1
978,0,im,1
978,0,im2,1
978,0,lp,1
978,0,lp2,1
978,0,sl,NaN
978,0,sl2,NaN
977,0,wt,1
977,0,wt2,1
977,0,l,1
977,0,l2,1
977,0,fg,1
977,0,fg2,1
977,0,eb,1
977,0,eb2,1
977,0,im,1
977,0,im2,1
977,0,lp,1
977,0,lp2,1
977,0,sl,NaN
977,0,sl2,NaN
976,0,wt,1
976,0,wt2,1
976,0,l,1
976,0,l2,1
976,0,fg,1
976,0,fg2,1
976,0,eb,1
976,0,eb2,1
976,0,im,1
976,0,im2,1
976,0,lp,1
976,0,lp2,1
976,0,sl,NaN
976,0,sl2,NaN
975,0,wt,1
975,0,wt2,1
975,0,l,1
975,0,l2,1
975,0,fg,1
975,0,fg2,1
975,0,eb,1
975,0,eb2,1
975,0,im,1
975,0,im2,1
975,0,lp,1
975,0,lp2,1
975,0,sl,NaN
975,0,sl2,NaN
974,0,wt,1
974,0,wt2,1
974,0,l,1
974,0,l2,1
974,0,fg,1
974,0,fg2,1
974,0,eb,1
974,0,eb2,1
974,0,im,1
974,0,im2,1
974,0,lp,1
974,0,lp2,1
974,0,sl,NaN
974,0,sl2,NaN
973,0,wt,0.98
973,0,wt2,0.98
973,0,l,0.98
973,0,l2,0.98
973,0,fg,0.98
973,0,fg2,0.98
973,0,eb,0.62
973,0,eb2,0.62
973,0,im,1
973,0,im2,1
973,0,lp,0.98
973,0,lp2,0.98
973,0,sl,0.98
973,0,sl2,1
972,0,wt,1
972,0,wt2,1
972,0,l,1
972,0,l2,1
972,0,fg,1
972,0,fg2,1
972,0,eb,1
972,0,eb2,1
972,0,im,1
972,0,im2,1
972,0,lp,1
972,0,lp2,1
972,0,sl,NaN
972,0,sl2,NaN
971,0,wt,1
971,0,wt2,1
971,0,l,1
971,0,l2,1
971,0,fg,1
971,0,fg2,1
971,0,eb,1
971,0,eb2,1
971,0,im,1
971,0,im2,1
971,0,lp,1
971,0,lp2,1
971,0,sl,NaN
971,0,sl2,NaN
970,0,wt,1
970,0,wt2,1
970,0,l,1
970,0,l2,1
970,0,fg,1
970,0,fg2,1
970,0,eb,1
970,0,eb2,1
970,0,im,1
970,0,im2,1
970,0,lp,1
970,0,lp2,1
970,0,sl,NaN
970,0,sl2,NaN
969,0,wt,1
969,0,wt2,1
969,0,l,1
969,0,l2,1
969,0,fg,1
969,0,fg2,1
969,0,eb,1
969,0,eb2,1
969,0,im,1
969,0,im2,1
969,0,lp,1
969,0,lp2,1
969,0,sl,NaN
969,0,sl2,NaN
968,0,wt,1
968,0,wt2,1
968,0,l,1
968,0,l2,1
968,0,fg,1
968,0,fg2,1
968,0,eb,1
968,0,eb2,1
968,0,im,1
968,0,im2,1
968,0,lp,1
968,0,lp2,1
968,0,sl,NaN
968,0,sl2,NaN
967,0,wt,1
967,0,wt2,1
967,0,l,1
967,0,l2,1
967,0,fg,1
967,0,fg2,1
967,0,eb,1
967,0,eb2,1
967,0,im,1
967,0,im2,1
967,0,lp,1
967,0,lp2,1
967,0,sl,NaN
967,0,sl2,NaN
966,0,wt,1
966,0,wt2,1
966,0,l,1
966,0,l2,1
966,0,fg,1
966,0,fg2,1
966,0,eb,1
966,0,eb2,1
966,0,im,1
966,0,im2,1
966,0,lp,1
966,0,lp2,1
966,0,sl,NaN
966,0,sl2,NaN
965,0,wt,1
965,0,wt2,1
965,0,l,1
965,0,l2,1
965,0,fg,1
965,0,fg2,1
965,0,eb,1
965,0,eb2,1
965,0,im,1
965,0,im2,1
965,0,lp,1
965,0,lp2,1
965,0,sl,NaN
965,0,sl2,NaN
964,0,wt,1
964,0,wt2,1
964,0,l,1
964,0,l2,1
964,0,fg,1
964,0,fg2,1
964,0,eb,1
964,0,eb2,1
964,0,im,1
964,0,im2,1
964,0,lp,1
964,0,lp2,1
964,0,sl,NaN
964,0,sl2,NaN
963,0,wt,1
963,0,wt2,1
963,0,l,1
963,0,l2,1
963,0,fg,1
963,0,fg2,1
963,0,eb,1
963,0,eb2,1
963,0,im,1
963,0,im2,1
963,0,lp,1
963,0,lp2,1
963,0,sl,NaN
963,0,sl2,NaN
962,0,wt,1
962,0,wt2,1
962,0,l,1
962,0,l2,1
962,0,fg,1
962,0,fg2,1
962,0,eb,1
962,0,eb2,1
962,0,im,1
962,0,im2,1
962,0,lp,1
962,0,lp2,1
962,0,sl,NaN
962,0,sl2,NaN
961,0,wt,1
961,0,wt2,1
961,0,l,1
961,0,l2,1
961,0,fg,1
961,0,fg2,1
961,0,eb,1
961,0,eb2,1
961,0,im,1
961,0,im2,1
961,0,lp,1
961,0,lp2,1
961,0,sl,NaN
961,0,sl2,NaN
960,0,wt,1
960,0,wt2,1
960,0,l,1
960,0,l2,1
960,0,fg,1
960,0,fg2,1
960,0,eb,1
960,0,eb2,1
960,0,im,1
960,0,im2,1
960,0,lp,1
960,0,lp2,1
960,0,sl,NaN
960,0,sl2,NaN
959,0,wt,1
959,0,wt2,1
959,0,l,1
959,0,l2,1
959,0,fg,1
959,0,fg2,1
959,0,eb,1
959,0,eb2,1
959,0,im,1
959,0,im2,1
959,0,lp,1
959,0,lp2,1
959,0,sl,NaN
959,0,sl2,NaN
958,0,wt,1
958,0,wt2,1
958,0,l,1
958,0,l2,1
958,0,fg,1
958,0,fg2,1
958,0,eb,1
958,0,eb2,1
958,0,im,1
958,0,im2,1
958,0,lp,1
958,0,lp2,1
958,0,sl,NaN
958,0,sl2,NaN
957,0,wt,1
957,0,wt2,1
957,0,l,1
957,0,l2,1
957,0,fg,1
957,0,fg2,1
957,0,eb,1
957,0,eb2,1
957,0,im,1
957,0,im2,1
957,0,lp,1
957,0,lp2,1
957,0,sl,NaN
957,0,sl2,NaN
956,0,wt,1
956,0,wt2,1
956,0,l,1
956,0,l2,1
956,0,fg,1
956,0,fg2,1
956,0,eb,1
956,0,eb2,1
956,0,im,1
956,0,im2,1
956,0,lp,1
956,0,lp2,1
956,0,sl,NaN
956,0,sl2,NaN
955,0,wt,1
955,0,wt2,1
955,0,l,1
955,0,l2,1
955,0,fg,1
955,0,fg2,1
955,0,eb,1
955,0,eb2,1
955,0,im,1
955,0,im2,1
955,0,lp,1
955,0,lp2,1
955,0,sl,NaN
955,0,sl2,NaN
954,0,wt,1
954,0,wt2,1
954,0,l,1
954,0,l2,1
954,0,fg,1
954,0,fg2,1
954,0,eb,1
954,0,eb2,1
954,0,im,1
954,0,im2,1
954,0,lp,1
954,0,lp2,1
954,0,sl,NaN
954,0,sl2,NaN
953,0,wt,1
953,0,wt2,1
953,0,l,1
953,0,l2,1
953,0,fg,1
953,0,fg2,1
953,0,eb,1
953,0,eb2,1
953,0,im,1
953,0,im2,1
953,0,lp,1
953,0,lp2,1
953,0,sl,NaN
953,0,sl2,NaN
952,0,wt,1
952,0,wt2,1
952,0,l,1
952,0,l2,1
952,0,fg,1
952,0,fg2,1
952,0,eb,1
952,0,eb2,1
952,0,im,1
952,0,im2,1
952,0,lp,1
952,0,lp2,1
952,0,sl,NaN
952,0,sl2,NaN
951,0,wt,1
951,0,wt2,1
951,0,l,1
951,0,l2,1
951,0,fg,1
951,0,fg2,1
951,0,eb,1
951,0,eb2,1
951,0,im,1
951,0,im2,1
951,0,lp,1
951,0,lp2,1
951,0,sl,NaN
951,0,sl2,NaN
950,0,wt,1
950,0,wt2,1
950,0,l,1
950,0,l2,1
950,0,fg,1
950,0,fg2,1
950,0,eb,1
950,0,eb2,1
950,0,im,1
950,0,im2,1
950,0,lp,1
950,0,lp2,1
950,0,sl,NaN
950,0,sl2,NaN
949,0,wt,1
949,0,wt2,1
949,0,l,1
949,0,l2,1
949,0,fg,1
949,0,fg2,1
949,0,eb,1
949,0,eb2,1
949,0,im,1
949,0,im2,1
949,0,lp,1
949,0,lp2,1
949,0,sl,NaN
949,0,sl2,NaN
948,0,wt,1
948,0,wt2,1
948,0,l,1
948,0,l2,1
948,0,fg,1
948,0,fg2,1
948,0,eb,1
948,0,eb2,1
948,0,im,1
948,0,im2,1
948,0,lp,1
948,0,lp2,1
948,0,sl,NaN
948,0,sl2,NaN
947,0,wt,1
947,0,wt2,1
947,0,l,1
947,0,l2,1
947,0,fg,1
947,0,fg2,1
947,0,eb,1
947,0,eb2,1
947,0,im,1
947,0,im2,1
947,0,lp,1
947,0,lp2,1
947,0,sl,NaN
947,0,sl2,NaN
946,0,wt,1
946,0,wt2,1
946,0,l,1
946,0,l2,1
946,0,fg,1
946,0,fg2,1
946,0,eb,1
946,0,eb2,1
946,0,im,1
946,0,im2,1
946,0,lp,1
946,0,lp2,1
946,0,sl,NaN
946,0,sl2,NaN
945,0,wt,1
945,0,wt2,1
945,0,l,1
945,0,l2,1
945,0,fg,1
945,0,fg2,1
945,0,eb,1
945,0,eb2,1
945,0,im,1
945,0,im2,1
945,0,lp,1
945,0,lp2,1
945,0,sl,NaN
945,0,sl2,NaN
944,0,wt,1
944,0,wt2,1
944,0,l,1
944,0,l2,1
944,0,fg,1
944,0,fg2,1
944,0,eb,1
944,0,eb2,1
944,0,im,1
944,0,im2,1
