run,alpha,method,accuracies,c_count
100,0.2,wt,1,5
100,0.2,wt2,1,5
100,0.2,l,1,5
100,0.2,l2,1,5
100,0.2,fg,1,5
100,0.2,fg2,1,5
100,0.2,eb,0.54,18
100,0.2,eb2,0.54,18
100,0.2,im,1,5
100,0.2,im2,1,5
100,0.2,lp,1,5
100,0.2,lp2,1,5
100,0.2,sl,1,5
100,0.2,sl2,1,5
99,0.2,wt,1,5
99,0.2,wt2,1,5
99,0.2,l,1,5
99,0.2,l2,1,5
99,0.2,fg,1,5
99,0.2,fg2,1,5
99,0.2,eb,0.5,14
99,0.2,eb2,1,50
99,0.2,im,1,5
99,0.2,im2,1,5
99,0.2,lp,1,5
99,0.2,lp2,1,5
99,0.2,sl,1,5
99,0.2,sl2,1,5
98,0.2,wt,1,5
98,0.2,wt2,1,5
98,0.2,l,1,5
98,0.2,l2,1,5
98,0.2,fg,1,5
98,0.2,fg2,1,5
98,0.2,eb,0.76,21
98,0.2,eb2,0.82,25
98,0.2,im,1,5
98,0.2,im2,1,5
98,0.2,lp,1,5
98,0.2,lp2,1,5
98,0.2,sl,1,5
98,0.2,sl2,1,5
97,0.2,wt,1,5
97,0.2,wt2,1,5
97,0.2,l,1,5
97,0.2,l2,1,5
97,0.2,fg,1,5
97,0.2,fg2,1,5
97,0.2,eb,0.72,31
97,0.2,eb2,0.72,31
97,0.2,im,1,5
97,0.2,im2,1,5
97,0.2,lp,1,5
97,0.2,lp2,1,5
97,0.2,sl,1,6
97,0.2,sl2,1,5
96,0.2,wt,1,5
96,0.2,wt2,1,5
96,0.2,l,1,5
96,0.2,l2,1,5
96,0.2,fg,1,5
96,0.2,fg2,1,5
96,0.2,eb,0.62,23
96,0.2,eb2,0.62,23
96,0.2,im,1,5
96,0.2,im2,1,5
96,0.2,lp,1,5
96,0.2,lp2,1,5
96,0.2,sl,1,5
96,0.2,sl2,1,5
95,0.2,wt,1,5
95,0.2,wt2,1,5
95,0.2,l,1,5
95,0.2,l2,1,5
95,0.2,fg,1,5
95,0.2,fg2,1,5
95,0.2,eb,0.6,23
95,0.2,eb2,0.68,28
95,0.2,im,1,5
95,0.2,im2,1,5
95,0.2,lp,1,5
95,0.2,lp2,1,5
95,0.2,sl,1,5
95,0.2,sl2,1,5
94,0.2,wt,1,5
94,0.2,wt2,1,5
94,0.2,l,1,5
94,0.2,l2,1,5
94,0.2,fg,1,5
94,0.2,fg2,1,5
94,0.2,eb,0.42,11
94,0.2,eb2,1,50
94,0.2,im,1,5
94,0.2,im2,1,5
94,0.2,lp,1,5
94,0.2,lp2,1,5
94,0.2,sl,1,6
94,0.2,sl2,1,5
93,0.2,wt,1,5
93,0.2,wt2,1,5
93,0.2,l,1,5
93,0.2,l2,1,5
93,0.2,fg,1,5
93,0.2,fg2,1,5
93,0.2,eb,0.62,22
93,0.2,eb2,0.66,26
93,0.2,im,1,5
93,0.2,im2,1,5
93,0.2,lp,1,5
93,0.2,lp2,1,5
93,0.2,sl,1,5
93,0.2,sl2,1,5
92,0.2,wt,1,5
92,0.2,wt2,1,5
92,0.2,l,1,5
92,0.2,l2,1,5
92,0.2,fg,1,5
92,0.2,fg2,1,5
92,0.2,eb,0.54,19
92,0.2,eb2,0.66,28
92,0.2,im,1,5
92,0.2,im2,1,5
92,0.2,lp,1,5
92,0.2,lp2,1,5
92,0.2,sl,1,6
92,0.2,sl2,1,6
91,0.2,wt,1,5
91,0.2,wt2,1,5
91,0.2,l,1,5
91,0.2,l2,1,5
91,0.2,fg,1,5
91,0.2,fg2,1,5
91,0.2,eb,0.52,17
91,0.2,eb2,0.54,18
91,0.2,im,1,5
91,0.2,im2,1,5
