run,alpha,method,accuracies,c_count
100,0,wt,1,5
100,0,wt2,1,5
100,0,l,1,5
100,0,l2,1,5
100,0,fg,1,5
100,0,fg2,1,5
100,0,eb,1,5
100,0,eb2,1,5
100,0,im,1,5
100,0,im2,1,5
100,0,lp,1,5
100,0,lp2,1,5
100,0,sl,NaN,NaN
100,0,sl2,NaN,NaN
99,0,wt,1,5
99,0,wt2,1,5
99,0,l,1,5
99,0,l2,1,5
99,0,fg,1,5
99,0,fg2,1,5
99,0,eb,1,5
99,0,eb2,1,5
99,0,im,1,5
99,0,im2,1,5
99,0,lp,1,5
99,0,lp2,1,5
99,0,sl,NaN,NaN
99,0,sl2,NaN,NaN
98,0,wt,1,5
98,0,wt2,1,5
98,0,l,1,5
98,0,l2,1,5
98,0,fg,1,5
98,0,fg2,1,5
98,0,eb,1,5
98,0,eb2,1,5
98,0,im,1,5
98,0,im2,1,5
98,0,lp,1,5
98,0,lp2,1,5
98,0,sl,NaN,NaN
98,0,sl2,NaN,NaN
97,0,wt,1,5
97,0,wt2,1,5
97,0,l,1,5
97,0,l2,1,5
97,0,fg,1,5
97,0,fg2,1,5
97,0,eb,1,5
97,0,eb2,1,5
97,0,im,1,5
97,0,im2,1,5
97,0,lp,1,5
97,0,lp2,1,5
97,0,sl,NaN,NaN
97,0,sl2,NaN,NaN
96,0,wt,1,5
96,0,wt2,1,5
96,0,l,1,5
96,0,l2,1,5
96,0,fg,1,5
96,0,fg2,1,5
96,0,eb,1,5
96,0,eb2,1,5
96,0,im,1,5
96,0,im2,1,5
96,0,lp,1,5
96,0,lp2,1,5
96,0,sl,NaN,NaN
96,0,sl2,NaN,NaN
95,0,wt,1,5
95,0,wt2,1,5
95,0,l,1,5
95,0,l2,1,5
95,0,fg,1,5
95,0,fg2,1,5
95,0,eb,1,5
95,0,eb2,1,5
95,0,im,1,5
95,0,im2,1,5
95,0,lp,1,5
95,0,lp2,1,5
95,0,sl,NaN,NaN
95,0,sl2,NaN,NaN
94,0,wt,1,5
94,0,wt2,1,5
94,0,l,1,5
94,0,l2,1,5
94,0,fg,1,5
94,0,fg2,1,5
94,0,eb,1,5
94,0,eb2,1,5
94,0,im,1,5
94,0,im2,1,5
94,0,lp,1,5
94,0,lp2,1,5
94,0,sl,NaN,NaN
94,0,sl2,NaN,NaN
93,0,wt,1,5
93,0,wt2,1,5
93,0,l,1,5
93,0,l2,1,5
93,0,fg,1,5
93,0,fg2,1,5
93,0,eb,1,5
93,0,eb2,1,5
93,0,im,1,5
93,0,im2,1,5
93,0,lp,1,5
93,0,lp2,1,5
93,0,sl,NaN,NaN
93,0,sl2,NaN,NaN
92,0,wt,1,5
92,0,wt2,1,5
92,0,l,1,5
92,0,l2,1,5
92,0,fg,1,5
92,0,fg2,1,5
92,0,eb,1,5
92,0,eb2,1,5
92,0,im,1,5
92,0,im2,1,5
92,0,lp,1,5
92,0,lp2,1,5
92,0,sl,NaN,NaN
92,0,sl2,NaN,NaN
91,0,wt,1,5
91,0,wt2,1,5
91,0,l,1,5
91,0,l2,1,5
91,0,fg,1,5
91,0,fg2,1,5
91,0,eb,1,5
91,0,eb2,1,5
91,0,im,1,5
91,0,im2,1,5
91,0,lp,1,5
91,0,lp2,1,5
91,0,sl,NaN,NaN
91,0,sl2,NaN,NaN
90,0,wt,1,5
90,0,wt2,1,5
90,0,l,1,5
90,0,l2,1,5
90,0,fg,1,5
90,0,fg2,1,5
90,0,eb,1,5
90,0,eb2,1,5
90,0,im,1,5
90,0,im2,1,5
90,0,lp,1,5
90,0,lp2,1,5
90,0,sl,NaN,NaN
90,0,sl2,NaN,NaN
89,0,wt,1,5
89,0,wt2,1,5
89,0,l,1,5
89,0,l2,1,5
89,0,fg,1,5
89,0,fg2,1,5
89,0,eb,1,5
89,0,eb2,1,5
89,0,im,1,5
89,0,im2,1,5
89,0,lp,1,5
89,0,lp2,1,5
89,0,sl,NaN,NaN
89,0,sl2,NaN,NaN
88,0,wt,1,5
88,0,wt2,1,5
88,0,l,1,5
88,0,l2,1,5
88,0,fg,1,5
88,0,fg2,1,5
88,0,eb,1,5
88,0,eb2,1,5
88,0,im,1,5
88,0,im2,1,5
88,0,lp,1,5
88,0,lp2,1,5
88,0,sl,NaN,NaN
88,0,sl2,NaN,NaN
87,0,wt,1,5
87,0,wt2,1,5
87,0,l,1,5
87,0,l2,1,5
87,0,fg,1,5
87,0,fg2,1,5
87,0,eb,1,5
87,0,eb2,1,5
87,0,im,1,5
87,0,im2,1,5
87,0,lp,1,5
87,0,lp2,1,5
87,0,sl,NaN,NaN
87,0,sl2,NaN,NaN
86,0,wt,1,5
86,0,wt2,1,5
86,0,l,1,5
86,0,l2,1,5
86,0,fg,1,5
86,0,fg2,1,5
86,0,eb,1,5
86,0,eb2,1,5
86,0,im,1,5
86,0,im2,1,5
86,0,lp,1,5
86,0,lp2,1,5
86,0,sl,NaN,NaN
86,0,sl2,NaN,NaN
85,0,wt,1,5
85,0,wt2,1,5
85,0,l,1,5
85,0,l2,1,5
85,0,fg,1,5
85,0,fg2,1,5
85,0,eb,1,5
85,0,eb2,1,5
85,0,im,1,5
85,0,im2,1,5
85,0,lp,1,5
85,0,lp2,1,5
85,0,sl,NaN,NaN
85,0,sl2,NaN,NaN
84,0,wt,1,5
84,0,wt2,1,5
84,0,l,1,5
84,0,l2,1,5
84,0,fg,1,5
84,0,fg2,1,5
84,0,eb,1,5
84,0,eb2,1,5
84,0,im,1,5
84,0,im2,1,5
84,0,lp,1,5
84,0,lp2,1,5
84,0,sl,NaN,NaN
84,0,sl2,NaN,NaN
83,0,wt,1,5
83,0,wt2,1,5
83,0,l,1,5
