run,alpha,method,accuracies
1000,0.7999999999999999,wt,0.46
1000,0.7999999999999999,wt2,0.28
1000,0.7999999999999999,l,0.62
1000,0.7999999999999999,l2,0.6
1000,0.7999999999999999,fg,0.4
1000,0.7999999999999999,fg2,0.68
1000,0.7999999999999999,eb,0.28
1000,0.7999999999999999,eb2,1
1000,0.7999999999999999,im,0.28
1000,0.7999999999999999,im2,0.28
1000,0.7999999999999999,lp,0.28
1000,0.7999999999999999,lp2,1
1000,0.7999999999999999,sl,0.48
1000,0.7999999999999999,sl2,0.6
999,0.7999999999999999,wt,0.48
999,0.7999999999999999,wt2,0.28
999,0.7999999999999999,l,0.6
999,0.7999999999999999,l2,0.78
999,0.7999999999999999,fg,0.5
999,0.7999999999999999,fg2,0.58
999,0.7999999999999999,eb,0.28
999,0.7999999999999999,eb2,1
999,0.7999999999999999,im,0.28
999,0.7999999999999999,im2,0.28
999,0.7999999999999999,lp,0.28
999,0.7999999999999999,lp2,1
999,0.7999999999999999,sl,0.54
999,0.7999999999999999,sl2,0.54
998,0.7999999999999999,wt,0.42
998,0.7999999999999999,wt2,0.38
998,0.7999999999999999,l,0.5
998,0.7999999999999999,l2,0.56
998,0.7999999999999999,fg,0.38
998,0.7999999999999999,fg2,0.56
998,0.7999999999999999,eb,0.38
998,0.7999999999999999,eb2,1
998,0.7999999999999999,im,0.38
998,0.7999999999999999,im2,0.38
998,0.7999999999999999,lp,0.38
998,0.7999999999999999,lp2,1
998,0.7999999999999999,sl,0.56
998,0.7999999999999999,sl2,0.54
997,0.7999999999999999,wt,0.4
997,0.7999999999999999,wt2,0.26
997,0.7999999999999999,l,0.68
997,0.7999999999999999,l2,0.82
997,0.7999999999999999,fg,0.5
997,0.7999999999999999,fg2,0.68
997,0.7999999999999999,eb,0.26
997,0.7999999999999999,eb2,1
997,0.7999999999999999,im,0.26
997,0.7999999999999999,im2,0.26
997,0.7999999999999999,lp,0.26
997,0.7999999999999999,lp2,1
997,0.7999999999999999,sl,0.52
997,0.7999999999999999,sl2,0.52
996,0.7999999999999999,wt,0.32
996,0.7999999999999999,wt2,0.28
996,0.7999999999999999,l,0.62
996,0.7999999999999999,l2,0.76
996,0.7999999999999999,fg,0.44
996,0.7999999999999999,fg2,0.66
996,0.7999999999999999,eb,0.28
996,0.7999999999999999,eb2,0.98
996,0.7999999999999999,im,0.28
996,0.7999999999999999,im2,0.28
996,0.7999999999999999,lp,0.28
996,0.7999999999999999,lp2,1
996,0.7999999999999999,sl,0.46
996,0.7999999999999999,sl2,0.44
995,0.7999999999999999,wt,0.52
995,0.7999999999999999,wt2,0.26
995,0.7999999999999999,l,0.54
995,0.7999999999999999,l2,0.68
995,0.7999999999999999,fg,0.54
995,0.7999999999999999,fg2,0.68
995,0.7999999999999999,eb,0.26
995,0.7999999999999999,eb2,0.96
995,0.7999999999999999,im,0.26
995,0.7999999999999999,im2,0.26
995,0.7999999999999999,lp,0.26
995,0.7999999999999999,lp2,1
995,0.7999999999999999,sl,0.54
995,0.7999999999999999,sl2,0.52
994,0.7999999999999999,wt,0.4
994,0.7999999999999999,wt2,0.3
994,0.7999999999999999,l,0.54
994,0.7999999999999999,l2,0.7
994,0.7999999999999999,fg,0.38
994,0.7999999999999999,fg2,0.62
994,0.7999999999999999,eb,0.3
994,0.7999999999999999,eb2,0.96
994,0.7999999999999999,im,0.3
994,0.7999999999999999,im2,0.3
994,0.7999999999999999,lp,0.3
994,0.7999999999999999,lp2,1
994,0.7999999999999999,sl,0.54
994,0.7999999999999999,sl2,0.54
993,0.7999999999999999,wt,0.4
993,0.7999999999999999,wt2,0.26
993,0.7999999999999999,l,0.48
993,0.7999999999999999,l2,0.54
993,0.7999999999999999,fg,0.4
993,0.7999999999999999,fg2,0.6
993,0.7999999999999999,eb,0.26
993,0.7999999999999999,eb2,0.98
993,0.7999999999999999,im,0.26
993,0.7999999999999999,im2,0.26
993,0.7999999999999999,lp,0.26
993,0.7999999999999999,lp2,1
993,0.7999999999999999,sl,0.46
993,0.7999999999999999,sl2,0.52
992,0.7999999999999999,wt,0.34
992,0.7999999999999999,wt2,0.3
992,0.7999999999999999,l,0.46
992,0.7999999999999999,l2,0.64
992,0.7999999999999999,fg,0.3
992,0.7999999999999999,fg2,0.72
992,0.7999999999999999,eb,0.3
992,0.7999999999999999,eb2,0.98
992,0.7999999999999999,im,0.3
992,0.7999999999999999,im2,0.3
992,0.7999999999999999,lp,0.3
992,0.7999999999999999,lp2,1
992,0.7999999999999999,sl,0.46
992,0.7999999999999999,sl2,0.48
991,0.7999999999999999,wt,0.44
991,0.7999999999999999,wt2,0.3
991,0.7999999999999999,l,0.52
991,0.7999999999999999,l2,0.76
991,0.7999999999999999,fg,0.42
991,0.7999999999999999,fg2,0.6
991,0.7999999999999999,eb,0.3
991,0.7999999999999999,eb2,0.92
991,0.7999999999999999,im,0.3
991,0.7999999999999999,im2,0.3
991,0.7999999999999999,lp,0.3
991,0.7999999999999999,lp2,1
991,0.7999999999999999,sl,0.52
991,0.7999999999999999,sl2,0.52
990,0.7999999999999999,wt,0.56
990,0.7999999999999999,wt2,0.24
990,0.7999999999999999,l,0.54
990,0.7999999999999999,l2,0.78
990,0.7999999999999999,fg,0.4
990,0.7999999999999999,fg2,0.72
990,0.7999999999999999,eb,0.24
990,0.7999999999999999,eb2,0.98
990,0.7999999999999999,im,0.24
990,0.7999999999999999,im2,0.24
990,0.7999999999999999,lp,0.24
990,0.7999999999999999,lp2,1
990,0.7999999999999999,sl,0.54
990,0.7999999999999999,sl2,0.54
989,0.7999999999999999,wt,0.46
989,0.7999999999999999,wt2,0.3
989,0.7999999999999999,l,0.58
989,0.7999999999999999,l2,0.72
989,0.7999999999999999,fg,0.44
989,0.7999999999999999,fg2,0.68
989,0.7999999999999999,eb,0.3
989,0.7999999999999999,eb2,0.98
989,0.7999999999999999,im,0.3
989,0.7999999999999999,im2,0.3
989,0.7999999999999999,lp,0.3
989,0.7999999999999999,lp2,1
989,0.7999999999999999,sl,0.56
989,0.7999999999999999,sl2,0.56
988,0.7999999999999999,wt,0.44
988,0.7999999999999999,wt2,0.26
988,0.7999999999999999,l,0.6
