run,alpha,method,accuracies
1000,1,wt,0.3
1000,1,wt2,0.26
1000,1,l,0.36
1000,1,l2,0.38
1000,1,fg,0.3
1000,1,fg2,0.44
1000,1,eb,0.26
1000,1,eb2,0.96
1000,1,im,0.26
1000,1,im2,0.26
1000,1,lp,0.26
1000,1,lp2,1
1000,1,sl,0.38
1000,1,sl2,0.36
999,1,wt,0.38
999,1,wt2,0.3
999,1,l,0.36
999,1,l2,0.44
999,1,fg,0.36
999,1,fg2,0.44
999,1,eb,0.3
999,1,eb2,0.98
999,1,im,0.3
999,1,im2,0.3
999,1,lp,0.3
999,1,lp2,1
999,1,sl,0.38
999,1,sl2,0.36
998,1,wt,0.26
998,1,wt2,0.24
998,1,l,0.28
998,1,l2,0.38
998,1,fg,0.26
998,1,fg2,0.36
998,1,eb,0.24
998,1,eb2,0.96
998,1,im,0.24
998,1,im2,0.24
998,1,lp,0.24
998,1,lp2,1
998,1,sl,0.26
998,1,sl2,0.26
997,1,wt,0.34
997,1,wt2,0.22
997,1,l,0.34
997,1,l2,0.42
997,1,fg,0.26
997,1,fg2,0.38
997,1,eb,0.22
997,1,eb2,0.96
997,1,im,0.22
997,1,im2,0.22
997,1,lp,0.22
997,1,lp2,1
997,1,sl,0.28
997,1,sl2,0.28
996,1,wt,0.3
996,1,wt2,0.3
996,1,l,0.36
996,1,l2,0.48
996,1,fg,0.34
996,1,fg2,0.48
996,1,eb,0.3
996,1,eb2,0.96
996,1,im,0.3
996,1,im2,0.3
996,1,lp,0.3
996,1,lp2,1
996,1,sl,0.3
996,1,sl2,0.3
995,1,wt,0.32
995,1,wt2,0.28
995,1,l,0.32
995,1,l2,0.34
995,1,fg,0.3
995,1,fg2,0.36
995,1,eb,0.28
995,1,eb2,0.98
995,1,im,0.28
995,1,im2,0.28
995,1,lp,0.28
995,1,lp2,1
995,1,sl,0.34
995,1,sl2,0.3
994,1,wt,0.36
994,1,wt2,0.28
994,1,l,0.36
994,1,l2,0.42
994,1,fg,0.34
994,1,fg2,0.46
994,1,eb,0.28
994,1,eb2,0.92
994,1,im,0.28
994,1,im2,0.28
994,1,lp,0.28
994,1,lp2,1
994,1,sl,0.34
994,1,sl2,0.38
993,1,wt,0.26
993,1,wt2,0.24
993,1,l,0.28
993,1,l2,0.34
993,1,fg,0.28
993,1,fg2,0.34
993,1,eb,0.24
993,1,eb2,0.94
993,1,im,0.24
993,1,im2,0.24
993,1,lp,0.24
993,1,lp2,1
993,1,sl,0.3
993,1,sl2,0.3
992,1,wt,0.3
992,1,wt2,0.22
992,1,l,0.28
992,1,l2,0.46
992,1,fg,0.34
992,1,fg2,0.4
992,1,eb,0.22
992,1,eb2,0.96
992,1,im,0.22
992,1,im2,0.22
992,1,lp,0.22
992,1,lp2,1
992,1,sl,0.3
992,1,sl2,0.34
991,1,wt,0.34
991,1,wt2,0.3
991,1,l,0.34
991,1,l2,0.44
991,1,fg,0.32
991,1,fg2,0.42
991,1,eb,0.3
991,1,eb2,0.98
991,1,im,0.3
991,1,im2,0.3
991,1,lp,0.3
991,1,lp2,1
991,1,sl,0.32
991,1,sl2,0.38
990,1,wt,0.34
990,1,wt2,0.3
990,1,l,0.3
990,1,l2,0.38
990,1,fg,0.3
990,1,fg2,0.4
990,1,eb,0.3
990,1,eb2,0.92
990,1,im,0.3
990,1,im2,0.3
990,1,lp,0.3
990,1,lp2,1
990,1,sl,0.3
990,1,sl2,0.38
989,1,wt,0.26
989,1,wt2,0.26
989,1,l,0.32
989,1,l2,0.44
989,1,fg,0.3
989,1,fg2,0.42
989,1,eb,0.26
989,1,eb2,0.94
989,1,im,0.26
989,1,im2,0.26
989,1,lp,0.26
989,1,lp2,1
989,1,sl,0.28
989,1,sl2,0.26
988,1,wt,0.28
988,1,wt2,0.28
988,1,l,0.36
988,1,l2,0.44
988,1,fg,0.3
988,1,fg2,0.38
988,1,eb,0.28
988,1,eb2,1
988,1,im,0.28
988,1,im2,0.28
988,1,lp,0.28
988,1,lp2,1
988,1,sl,0.28
988,1,sl2,0.28
987,1,wt,0.26
987,1,wt2,0.26
987,1,l,0.3
987,1,l2,0.36
987,1,fg,0.26
987,1,fg2,0.4
987,1,eb,0.26
987,1,eb2,1
987,1,im,0.26
987,1,im2,0.26
987,1,lp,0.26
987,1,lp2,1
987,1,sl,0.3
987,1,sl2,0.3
986,1,wt,0.3
986,1,wt2,0.28
986,1,l,0.34
986,1,l2,0.44
986,1,fg,0.32
986,1,fg2,0.42
986,1,eb,0.28
986,1,eb2,0.94
986,1,im,0.28
986,1,im2,0.28
986,1,lp,0.28
986,1,lp2,1
986,1,sl,0.32
986,1,sl2,0.32
985,1,wt,0.32
985,1,wt2,0.26
985,1,l,0.32
985,1,l2,0.46
985,1,fg,0.26
985,1,fg2,0.44
985,1,eb,0.26
985,1,eb2,0.92
985,1,im,0.26
985,1,im2,0.26
985,1,lp,0.26
985,1,lp2,1
985,1,sl,0.34
985,1,sl2,0.34
984,1,wt,0.28
984,1,wt2,0.28
984,1,l,0.28
984,1,l2,0.36
984,1,fg,0.32
984,1,fg2,0.34
984,1,eb,0.28
984,1,eb2,0.98
984,1,im,0.28
984,1,im2,0.28
984,1,lp,0.28
984,1,lp2,1
984,1,sl,0.34
984,1,sl2,0.28
983,1,wt,0.3
983,1,wt2,0.24
983,1,l,0.38
983,1,l2,0.38
983,1,fg,0.26
983,1,fg2,0.36
983,1,eb,0.24
983,1,eb2,0.92
983,1,im,0.24
983,1,im2,0.24
983,1,lp,0.24
983,1,lp2,1
983,1,sl,0.3
983,1,sl2,0.3
982,1,wt,0.28
982,1,wt2,0.24
982,1,l,0.32
982,1,l2,0.42
982,1,fg,0.3
982,1,fg2,0.36
982,1,eb,0.24
982,1,eb2,0.94
982,1,im,0.24
982,1,im2,0.24
982,1,lp,0.24
982,1,lp2,1
982,1,sl,0.3
982,1,sl2,0.3
981,1,wt,0.32
981,1,wt2,0.28
981,1,l,0.38
981,1,l2,0.44
981,1,fg,0.38
981,1,fg2,0.42
981,1,eb,0.28
981,1,eb2,0.98
981,1,im,0.28
981,1,im2,0.28
981,1,lp,0.28
981,1,lp2,1
981,1,sl,0.38
981,1,sl2,0.38
980,1,wt,0.3
980,1,wt2,0.26
980,1,l,0.3
980,1,l2,0.36
980,1,fg,0.3
980,1,fg2,0.42
980,1,eb,0.26
980,1,eb2,0.96
980,1,im,0.26
980,1,im2,0.26
980,1,lp,0.26
980,1,lp2,1
980,1,sl,0.28
980,1,sl2,0.3
979,1,wt,0.3
979,1,wt2,0.28
979,1,l,0.3
979,1,l2,0.38
979,1,fg,0.28
979,1,fg2,0.42
979,1,eb,0.28
979,1,eb2,0.98
979,1,im,0.28
979,1,im2,0.28
979,1,lp,0.28
979,1,lp2,1
979,1,sl,0.28
979,1,sl2,0.28
978,1,wt,0.32
978,1,wt2,0.26
978,1,l,0.32
978,1,l2,0.36
978,1,fg,0.32
978,1,fg2,0.38
978,1,eb,0.26
978,1,eb2,0.94
978,1,im,0.26
978,1,im2,0.26
978,1,lp,0.26
978,1,lp2,1
978,1,sl,0.34
978,1,sl2,0.32
977,1,wt,0.32
977,1,wt2,0.26
977,1,l,0.3
977,1,l2,0.4
977,1,fg,0.26
977,1,fg2,0.44
977,1,eb,0.26
977,1,eb2,1
977,1,im,0.26
977,1,im2,0.26
977,1,lp,0.26
977,1,lp2,1
977,1,sl,0.28
977,1,sl2,0.3
976,1,wt,0.34
976,1,wt2,0.32
976,1,l,0.38
976,1,l2,0.38
976,1,fg,0.32
976,1,fg2,0.4
976,1,eb,0.32
976,1,eb2,1
976,1,im,0.32
976,1,im2,0.32
976,1,lp,0.32
976,1,lp2,1
976,1,sl,0.36
976,1,sl2,0.32
975,1,wt,0.3
975,1,wt2,0.3
975,1,l,0.36
975,1,l2,0.42
975,1,fg,0.34
975,1,fg2,0.38
975,1,eb,0.3
975,1,eb2,0.96
975,1,im,0.3
975,1,im2,0.3
975,1,lp,0.3
975,1,lp2,1
975,1,sl,0.36
975,1,sl2,0.38
974,1,wt,0.38
974,1,wt2,0.34
974,1,l,0.34
974,1,l2,0.44
974,1,fg,0.34
974,1,fg2,0.42
974,1,eb,0.34
974,1,eb2,1
974,1,im,0.34
974,1,im2,0.34
974,1,lp,0.34
974,1,lp2,1
974,1,sl,0.36
974,1,sl2,0.36
973,1,wt,0.28
973,1,wt2,0.24
973,1,l,0.38
973,1,l2,0.44
973,1,fg,0.38
973,1,fg2,0.46
973,1,eb,0.24
973,1,eb2,0.84
973,1,im,0.24
973,1,im2,0.24
973,1,lp,0.24
973,1,lp2,1
973,1,sl,0.32
973,1,sl2,0.38
972,1,wt,0.28
972,1,wt2,0.26
972,1,l,0.34
972,1,l2,0.4
972,1,fg,0.3
972,1,fg2,0.42
972,1,eb,0.26
972,1,eb2,1
972,1,im,0.26
972,1,im2,0.26
972,1,lp,0.26
972,1,lp2,1
972,1,sl,0.28
972,1,sl2,0.28
971,1,wt,0.3
971,1,wt2,0.26
971,1,l,0.4
971,1,l2,0.36
971,1,fg,0.3
971,1,fg2,0.4
971,1,eb,0.26
971,1,eb2,0.94
971,1,im,0.26
971,1,im2,0.26
971,1,lp,0.26
971,1,lp2,1
971,1,sl,0.38
971,1,sl2,0.32
970,1,wt,0.34
970,1,wt2,0.28
970,1,l,0.36
970,1,l2,0.4
970,1,fg,0.42
970,1,fg2,0.44
970,1,eb,0.28
970,1,eb2,0.94
970,1,im,0.28
970,1,im2,0.28
970,1,lp,0.28
970,1,lp2,1
970,1,sl,0.3
970,1,sl2,0.28
969,1,wt,0.3
969,1,wt2,0.28
969,1,l,0.32
969,1,l2,0.42
969,1,fg,0.3
969,1,fg2,0.4
969,1,eb,0.28
969,1,eb2,0.9
969,1,im,0.28
969,1,im2,0.28
969,1,lp,0.28
969,1,lp2,1
969,1,sl,0.34
969,1,sl2,0.32
968,1,wt,0.36
968,1,wt2,0.32
968,1,l,0.4
968,1,l2,0.52
968,1,fg,0.36
968,1,fg2,0.44
968,1,eb,0.32
968,1,eb2,1
968,1,im,0.32
968,1,im2,0.32
968,1,lp,0.32
968,1,lp2,1
968,1,sl,0.36
968,1,sl2,0.38
967,1,wt,0.32
967,1,wt2,0.3
967,1,l,0.3
967,1,l2,0.4
967,1,fg,0.34
