run,alpha,method,accuracies,c_count
100,0.30000000000000004,wt,1,5
100,0.30000000000000004,wt2,1,5
100,0.30000000000000004,l,1,5
100,0.30000000000000004,l2,1,5
100,0.30000000000000004,fg,1,5
100,0.30000000000000004,fg2,1,5
100,0.30000000000000004,eb,0.48,17
100,0.30000000000000004,eb2,0.82,35
100,0.30000000000000004,im,1,5
100,0.30000000000000004,im2,1,5
100,0.30000000000000004,lp,1,5
100,0.30000000000000004,lp2,0.6,3
100,0.30000000000000004,sl,1,5
100,0.30000000000000004,sl2,1,5
99,0.30000000000000004,wt,1,5
99,0.30000000000000004,wt2,1,5
99,0.30000000000000004,l,1,5
99,0.30000000000000004,l2,1,5
99,0.30000000000000004,fg,0.98,5
99,0.30000000000000004,fg2,1,5
99,0.30000000000000004,eb,0.74,19
99,0.30000000000000004,eb2,0.86,25
99,0.30000000000000004,im,0.8,4
99,0.30000000000000004,im2,0.8,4
99,0.30000000000000004,lp,0.8,4
99,0.30000000000000004,lp2,0.8,4
99,0.30000000000000004,sl,1,5
99,0.30000000000000004,sl2,1,5
98,0.30000000000000004,wt,1,5
98,0.30000000000000004,wt2,1,5
98,0.30000000000000004,l,1,5
98,0.30000000000000004,l2,1,5
98,0.30000000000000004,fg,1,5
98,0.30000000000000004,fg2,1,5
98,0.30000000000000004,eb,0.82,32
98,0.30000000000000004,eb2,0.82,32
98,0.30000000000000004,im,0.28,1
98,0.30000000000000004,im2,0.28,1
98,0.30000000000000004,lp,1,5
98,0.30000000000000004,lp2,1,5
98,0.30000000000000004,sl,1,5
98,0.30000000000000004,sl2,1,5
97,0.30000000000000004,wt,1,5
97,0.30000000000000004,wt2,1,5
97,0.30000000000000004,l,1,5
97,0.30000000000000004,l2,1,5
97,0.30000000000000004,fg,1,5
97,0.30000000000000004,fg2,1,5
97,0.30000000000000004,eb,0.92,30
97,0.30000000000000004,eb2,0.92,30
97,0.30000000000000004,im,0.34,1
97,0.30000000000000004,im2,0.34,1
97,0.30000000000000004,lp,0.34,1
97,0.30000000000000004,lp2,0.78,4
97,0.30000000000000004,sl,1,5
97,0.30000000000000004,sl2,1,5
96,0.30000000000000004,wt,1,5
96,0.30000000000000004,wt2,1,5
96,0.30000000000000004,l,1,5
96,0.30000000000000004,l2,1,5
96,0.30000000000000004,fg,1,5
96,0.30000000000000004,fg2,1,5
96,0.30000000000000004,eb,0.7,25
96,0.30000000000000004,eb2,0.7,25
96,0.30000000000000004,im,0.3,1
96,0.30000000000000004,im2,0.3,1
96,0.30000000000000004,lp,1,5
96,0.30000000000000004,lp2,0.76,4
96,0.30000000000000004,sl,1,5
96,0.30000000000000004,sl2,1,5
95,0.30000000000000004,wt,1,5
95,0.30000000000000004,wt2,1,5
95,0.30000000000000004,l,1,5
95,0.30000000000000004,l2,1,5
95,0.30000000000000004,fg,1,5
95,0.30000000000000004,fg2,1,5
95,0.30000000000000004,eb,0.88,30
95,0.30000000000000004,eb2,0.88,30
95,0.30000000000000004,im,1,5
95,0.30000000000000004,im2,1,5
95,0.30000000000000004,lp,0.82,4
95,0.30000000000000004,lp2,0.82,4
95,0.30000000000000004,sl,1,5
95,0.30000000000000004,sl2,1,5
94,0.30000000000000004,wt,1,5
94,0.30000000000000004,wt2,1,5
94,0.30000000000000004,l,1,5
94,0.30000000000000004,l2,1,5
94,0.30000000000000004,fg,1,5
94,0.30000000000000004,fg2,1,5
94,0.30000000000000004,eb,0.58,22
94,0.30000000000000004,eb2,0.74,32
94,0.30000000000000004,im,1,5
94,0.30000000000000004,im2,1,5
94,0.30000000000000004,lp,1,5
94,0.30000000000000004,lp2,0.78,4
94,0.30000000000000004,sl,1,5
94,0.30000000000000004,sl2,1,5
93,0.30000000000000004,wt,1,5
93,0.30000000000000004,wt2,1,5
93,0.30000000000000004,l,1,5
93,0.30000000000000004,l2,1,5
93,0.30000000000000004,fg,1,5
93,0.30000000000000004,fg2,1,5
93,0.30000000000000004,eb,0.32,7
93,0.30000000000000004,eb2,0.7,26
93,0.30000000000000004,im,1,5
93,0.30000000000000004,im2,1,5
93,0.30000000000000004,lp,1,5
93,0.30000000000000004,lp2,1,5
93,0.30000000000000004,sl,1,6
93,0.30000000000000004,sl2,1,5
92,0.30000000000000004,wt,1,5
92,0.30000000000000004,wt2,1,5
92,0.30000000000000004,l,1,5
92,0.30000000000000004,l2,1,5
92,0.30000000000000004,fg,1,5
92,0.30000000000000004,fg2,1,5
92,0.30000000000000004,eb,0.26,1
92,0.30000000000000004,eb2,1,50
92,0.30000000000000004,im,1,5
92,0.30000000000000004,im2,1,5
92,0.30000000000000004,lp,1,5
92,0.30000000000000004,lp2,1,5
92,0.30000000000000004,sl,1,5
92,0.30000000000000004,sl2,1,5
91,0.30000000000000004,wt,1,5
91,0.30000000000000004,wt2,1,5
91,0.30000000000000004,l,1,5
91,0.30000000000000004,l2,1,5
91,0.30000000000000004,fg,1,5
91,0.30000000000000004,fg2,1,5
91,0.30000000000000004,eb,0.54,21
91,0.30000000000000004,eb2,0.98,48
91,0.30000000000000004,im,0.26,1
91,0.30000000000000004,im2,0.26,1
91,0.30000000000000004,lp,1,5
91,0.30000000000000004,lp2,0.66,3
91,0.30000000000000004,sl,1,5
91,0.30000000000000004,sl2,1,5
90,0.30000000000000004,wt,1,5
90,0.30000000000000004,wt2,1,5
90,0.30000000000000004,l,1,5
90,0.30000000000000004,l2,1,5
90,0.30000000000000004,fg,1,5
90,0.30000000000000004,fg2,1,5
90,0.30000000000000004,eb,0.54,19
90,0.30000000000000004,eb2,0.8,31
90,0.30000000000000004,im,1,5
90,0.30000000000000004,im2,1,5
90,0.30000000000000004,lp,0.62,3
90,0.30000000000000004,lp2,1,5
90,0.30000000000000004,sl,1,6
90,0.30000000000000004,sl2,1,5
89,0.30000000000000004,wt,1,5
89,0.30000000000000004,wt2,1,5
89,0.30000000000000004,l,1,5
89,0.30000000000000004,l2,1,5
89,0.30000000000000004,fg,1,5
89,0.30000000000000004,fg2,1,5
89,0.30000000000000004,eb,0.64,19
89,0.30000000000000004,eb2,0.64,19
89,0.30000000000000004,im,1,5
89,0.30000000000000004,im2,1,5
89,0.30000000000000004,lp,0.74,4
89,0.30000000000000004,lp2,0.52,3
89,0.30000000000000004,sl,1,5
89,0.30000000000000004,sl2,1,5
88,0.30000000000000004,wt,1,5
88,0.30000000000000004,wt2,1,5
88,0.30000000000000004,l,1,5
88,0.30000000000000004,l2,1,5
88,0.30000000000000004,fg,1,5
88,0.30000000000000004,fg2,1,5
88,0.30000000000000004,eb,0.52,18
88,0.30000000000000004,eb2,0.7,29
88,0.30000000000000004,im,0.3,1
88,0.30000000000000004,im2,0.3,1
88,0.30000000000000004,lp,0.82,4
88,0.30000000000000004,lp2,0.82,4
88,0.30000000000000004,sl,1,5
88,0.30000000000000004,sl2,1,5
87,0.30000000000000004,wt,1,5
87,0.30000000000000004,wt2,1,5
87,0.30000000000000004,l,1,5
87,0.30000000000000004,l2,1,5
87,0.30000000000000004,fg,1,5
87,0.30000000000000004,fg2,1,5
87,0.30000000000000004,eb,0.68,28
87,0.30000000000000004,eb2,0.68,28
87,0.30000000000000004,im,1,5
87,0.30000000000000004,im2,1,5
87,0.30000000000000004,lp,1,5
87,0.30000000000000004,lp2,0.82,4
87,0.30000000000000004,sl,1,5
87,0.30000000000000004,sl2,1,6
86,0.30000000000000004,wt,1,5
86,0.30000000000000004,wt2,1,5
86,0.30000000000000004,l,1,5
86,0.30000000000000004,l2,1,5
86,0.30000000000000004,fg,1,5
86,0.30000000000000004,fg2,1,5
86,0.30000000000000004,eb,0.46,14
86,0.30000000000000004,eb2,0.76,35
86,0.30000000000000004,im,1,5
86,0.30000000000000004,im2,1,5
86,0.30000000000000004,lp,1,5
86,0.30000000000000004,lp2,1,5
