run,alpha,method,accuracies
1000,0.5,wt,1
1000,0.5,wt2,1
1000,0.5,l,1
1000,0.5,l2,1
1000,0.5,fg,1
1000,0.5,fg2,1
1000,0.5,eb,0.8
1000,0.5,eb2,0.8
1000,0.5,im,0.3
1000,0.5,im2,0.3
1000,0.5,lp,0.3
1000,0.5,lp2,0.3
1000,0.5,sl,1
1000,0.5,sl2,1
999,0.5,wt,0.8
999,0.5,wt2,0.8
999,0.5,l,1
999,0.5,l2,1
999,0.5,fg,0.92
999,0.5,fg2,0.96
999,0.5,eb,0.3
999,0.5,eb2,0.78
999,0.5,im,0.3
999,0.5,im2,0.3
999,0.5,lp,0.3
999,0.5,lp2,0.3
999,0.5,sl,1
999,0.5,sl2,1
998,0.5,wt,0.98
998,0.5,wt2,0.98
998,0.5,l,1
998,0.5,l2,1
998,0.5,fg,0.96
998,0.5,fg2,0.98
998,0.5,eb,0.52
998,0.5,eb2,0.98
998,0.5,im,0.3
998,0.5,im2,0.3
998,0.5,lp,0.3
998,0.5,lp2,0.3
998,0.5,sl,0.98
998,0.5,sl2,0.98
997,0.5,wt,0.98
997,0.5,wt2,1
997,0.5,l,1
997,0.5,l2,1
997,0.5,fg,0.86
997,0.5,fg2,0.98
997,0.5,eb,0.24
997,0.5,eb2,0.98
997,0.5,im,0.24
997,0.5,im2,0.24
997,0.5,lp,0.24
997,0.5,lp2,0.24
997,0.5,sl,1
997,0.5,sl2,1
996,0.5,wt,1
996,0.5,wt2,1
996,0.5,l,1
996,0.5,l2,1
996,0.5,fg,0.96
996,0.5,fg2,0.98
996,0.5,eb,0.64
996,0.5,eb2,0.7
996,0.5,im,0.26
996,0.5,im2,0.26
996,0.5,lp,0.26
996,0.5,lp2,0.26
996,0.5,sl,1
996,0.5,sl2,1
995,0.5,wt,1
995,0.5,wt2,1
995,0.5,l,0.98
995,0.5,l2,0.98
995,0.5,fg,0.94
995,0.5,fg2,0.94
995,0.5,eb,0.56
995,0.5,eb2,0.92
995,0.5,im,0.28
995,0.5,im2,0.28
995,0.5,lp,0.28
995,0.5,lp2,0.28
995,0.5,sl,0.98
995,0.5,sl2,0.98
994,0.5,wt,1
994,0.5,wt2,1
994,0.5,l,1
994,0.5,l2,1
994,0.5,fg,0.96
994,0.5,fg2,0.98
994,0.5,eb,0.56
994,0.5,eb2,0.78
994,0.5,im,0.22
994,0.5,im2,0.22
994,0.5,lp,0.22
994,0.5,lp2,0.22
994,0.5,sl,1
994,0.5,sl2,0.98
993,0.5,wt,0.98
993,0.5,wt2,1
993,0.5,l,1
993,0.5,l2,1
993,0.5,fg,1
993,0.5,fg2,1
993,0.5,eb,0.84
993,0.5,eb2,0.84
993,0.5,im,0.26
993,0.5,im2,0.26
993,0.5,lp,0.26
993,0.5,lp2,0.26
993,0.5,sl,1
993,0.5,sl2,1
992,0.5,wt,1
992,0.5,wt2,1
992,0.5,l,1
992,0.5,l2,1
992,0.5,fg,0.8
992,0.5,fg2,1
992,0.5,eb,0.4
992,0.5,eb2,0.96
992,0.5,im,0.32
992,0.5,im2,0.32
992,0.5,lp,0.32
992,0.5,lp2,0.32
