alpha,n_comm
0.8,1
0.7989999999999999,500
0.798,500
0.7969999999999999,500
0.796,500
0.7949999999999999,500
0.794,500
0.7929999999999999,500
0.792,500
0.7909999999999999,1
0.79,1
0.7889999999999999,500
0.788,500
0.787,1
0.786,1
0.785,500
0.784,1
0.783,1
0.782,1
0.781,500
0.78,500
0.779,500
0.778,500
0.777,500
0.776,500
0.775,1
0.774,1
0.773,1
0.772,500
0.771,500
0.77,1
0.769,500
0.768,500
0.767,1
0.766,1
0.765,500
0.764,500
0.763,500
0.762,1
0.761,1
0.76,500
0.759,1
0.758,500
0.757,1
0.756,1
0.755,1
0.754,500
0.753,1
0.752,500
0.751,500
0.75,500
0.749,500
0.748,500
0.747,1
0.746,1
0.745,1
0.744,500
0.743,1
0.742,500
0.741,1
0.74,500
0.739,1
0.738,500
0.737,1
0.736,1
0.735,500
0.734,1
0.733,500
0.732,1
0.731,500
0.73,500
0.729,500
0.728,500
0.727,1
0.726,1
0.725,500
0.724,500
0.723,500
0.722,500
0.721,1
0.72,500
0.719,500
0.718,500
0.717,500
0.716,1
0.715,1
0.714,500
0.713,1
0.712,1
0.711,1
0.71,1
0.709,1
0.708,500
0.7070000000000001,500
0.706,500
0.7050000000000001,500
0.704,500
0.7030000000000001,1
0.702,1
0.7010000000000001,1
0.7,1
0.6990000000000001,1
0.698,500
0.6970000000000001,500
0.696,500
0.6950000000000001,500
0.694,1
0.6930000000000001,1
0.692,1
0.6910000000000001,1
0.69,500
0.6890000000000001,1
0.688,500
0.687,1
0.6859999999999999,1
0.685,500
0.6839999999999999,500
0.683,1
0.6819999999999999,1
0.681,1
0.6799999999999999,1
0.679,1
0.6779999999999999,500
0.677,500
0.6759999999999999,500
0.675,500
0.674,500
0.673,500
0.672,500
0.671,1
0.67,500
0.669,500
0.668,1
0.667,1
0.666,1
0.665,1
0.664,1
0.663,500
0.662,1
0.661,500
0.66,500
0.659,500
0.658,500
0.657,500
0.656,500
0.655,1
0.654,500
0.653,1
0.652,1
0.651,500
0.65,500
0.649,1
0.648,500
0.647,2
0.646,500
0.645,500
0.644,1
0.643,500
0.642,1
0.641,500
0.64,1
0.639,1
0.638,9
0.637,7
0.636,500
0.635,8
0.634,1
0.633,1
0.632,9
0.631,10
0.63,7
0.629,8
0.628,11
0.627,7
0.626,9
0.625,2
0.624,7
0.623,6
0.622,6
0.621,4
0.62,10
0.619,9
0.618,9
0.617,3
0.616,7
0.615,8
0.614,7
0.613,6
0.612,6
0.611,10
0.61,11
0.609,5
0.608,5
0.607,9
0.606,5
0.605,10
0.604,4
0.603,6
0.602,4
0.601,5
0.6,6
0.599,12
0.598,4
0.597,6
0.596,5
0.595,7
0.594,5
0.593,6
0.592,5
0.591,6
0.59,5
0.589,4
0.588,3
0.587,5
0.586,5
0.585,5
0.584,5
0.583,5
0.582,4
0.581,2
0.58,5
0.579,5
0.578,5
0.577,5
0.576,5
0.575,5
0.574,5
0.573,4
0.5720000000000001,4
0.571,7
0.5700000000000001,5
0.569,8
0.5680000000000001,5
0.567,5
0.5660000000000001,5
0.565,5
0.5640000000000001,5
0.563,5
0.562,5
0.5609999999999999,5
0.56,5
0.559,5
0.558,5
0.557,5
0.556,5
0.555,5
0.554,5
0.553,5
0.552,5
0.551,5
0.55,5
0.549,5
0.548,5
0.547,5
0.546,5
0.545,5
0.544,6
0.543,5
0.542,5
0.541,6
0.54,5
0.539,5
0.538,5
0.537,5
0.536,5
0.535,5
0.534,5
0.533,5
0.532,5
0.531,5
0.53,5
0.529,5
0.528,5
0.527,5
0.526,5
0.525,5
0.524,5
0.523,5
0.522,5
0.521,5
0.52,2
0.519,5
0.518,5
0.517,5
0.516,5
0.515,5
0.514,5
0.513,5
0.512,5
0.511,6
0.51,5
0.509,5
0.508,5
0.507,5
0.506,5
0.505,5
0.504,5
0.503,5
0.502,5
0.501,5
0.5,5
