Month,Media,UV,PercentReach
April2017,Facebook,30446.9981845,51.3290683359599
April2017,YOUTUBE.COM,29683.8934569,50.0425883199952
April2017,Network 18,13860.008069161,23.3658929858344
April2017,The Times Of India Sites,12925.864290085,21.7910668049003
April2017,INDIATIMES.COM,10408.542068581,17.547239431567
April2017,India Today Group,10116.415323852,17.0547575930589
April2017,NDTV,8076.339778245,13.6154964725885
April2017,STAR India,8009.641743342,13.5030535982314
April2017,HT Media Group,6553.174326518,11.0476681735587
April2017,Hindustan Times,5908.021104727,9.96003668989629
April2017,The Indian Express Group,5888.286218147,9.9267666336586
April2017,REDIFF.COM,4953.127122852,8.35022878199518
April2017,NEWS18.COM,4732.476058145,7.97824421031042
April2017,India Today,4714.776690137,7.94840573281978
April2017,ONEINDIA.COM Sites,4643.27566529,7.82786573842613
April2017,INDIANEXPRESS.COM,4239.741926673,7.1475684322739
April2017,HINDUSTANTIMES.COM,4141.333169528,6.981666040526
April2017,The Economic Times,4080.853151451,6.87970580910933
April2017,FIRSTPOST.COM,3753.110502249,6.32718090220202
April2017,INSTAGRAM.COM,3646.8543079,6.1480489093596
April2017,Jagran Sites,3533.124646741,5.95631777336775
April2017,Twitter,3312.326098,5.58408456574149
April2017,Dotdash,3268.312405679,5.50988408767884
April2017,The Hindu Group,3190.374766066,5.37849292703313
April2017,Bhaskar Group Sites,3050.923022934,5.14339822214905
April2017,THEHINDU.COM,2669.967777093,4.50116486540817
April2017,Sify News And Information,2260.476757024,3.81082447701533
April2017,ABP News Network,1710.46016561,2.88357907057086
April2017,CNN Network,1591.509629483,2.68304632312352
April2017,BUSINESS-STANDARD.COM,1571.214288713,2.64883142525502
April2017,VICE Media,1526.295179908,2.57310455091849
April2017,MSN News,1511.655105385,2.54842358299249
April2017,AMARUJALA.COM,1267.893060971,2.1374773688659
April2017,BBC Sites,1262.979660773,2.12919411371553
April2017,DNAINDIA.COM,1204.783583651,2.0310842638913
April2017,Yahoo News,1173.830927175,1.97890273158363
April2017,Forbes Digital,1161.737320788,1.95851472666751
April2017,Mail Online / Daily Mail,1126.720480189,1.8994815900304
April2017,Hearst Newspapers,1108.577060397,1.86889450789152
April2017,FORBES.COM,1083.265472169,1.82622296983139
April2017,Ushodaya Enterprises,1073.258108062,1.80935205621953
April2017,Scoopwhoop Group Sites,1068.235549774,1.80088477691588
April2017,DECCANCHRONICLE.COM,984.40658903,1.65956173322904
April2017,DIARIODELWEB.IT,908.1984743,1.53108629190549
April2017,Manorama Sites,902.058465693,1.52073515911196
April2017,Patrika Group,893.393551748,1.50612741494904
April2017,The Guardian,882.113385806,1.48711074851219
April2017,Wittyfeed Sites,835.89767387,1.40919799593859
April2017,Business Insider,815.705811025,1.37515754631788
April2017,LOKSATTA.COM,788.71929659,1.32966233410715
April2017,AccuWeather Sites,762.536684587,1.28552238071759
April2017,HUFFINGTONPOST.IN,709.298456452,1.19577072002947
April2017,DINAMALAR.COM,676.718087303,1.14084510850199
April2017,BLOOMBERG.COM,643.271144775,1.08445858434466
April2017,USA TODAY Network,621.905504586,1.04843932232555
April2017,BUZZFEED.COM,603.384716545,1.01721605396814
April2017,Telegraph Media Group,588.59122675,0.992276450923741
April2017,IN.COM*,586.769198397,0.98920478463748
April2017,WorldNews Network,584.3646854,0.985151136682111
April2017,SAKSHI.COM,552.886012,0.932082818804503
April2017,SCROLL.IN,533.01864697,0.89858942378734
April2017,New York Times Digital,521.824411544,0.879717623300864
April2017,NYTIMES.COM,521.422814947,0.879040591724681
April2017,ANDHRAJYOTHY.COM,520.457776029,0.877413680977397
April2017,NBC News Digital,510.879194976,0.861265631227085
April2017,MATHRUBHUMI.COM,503.544309089,0.848900114710519
April2017,Independent & Evening Standard (ESi Media),499.647375563,0.842330469780512
April2017,EXPRESS.CO.UK,498.947357948,0.841150345165961
April2017,Mirror Online,494.357051762,0.833411778018014
April2017,ANANDABAZAR.COM,478.79057843,0.807169040767979
April2017,MID-DAY.COM,439.85070683,0.741522262775677
April2017,IndiaTV Group Sites,425.438428852,0.717225325628479
April2017,NEWINDIANEXPRESS.COM,417.5272707,0.703888300581218
April2017,Maharashtra Times,416.376029136,0.701947480124907
April2017,PRESSKS.COM,411.0250818,0.692926586183005
April2017,MEDIUM.COM,407.2359712,0.686538714520211
April2017,HUFFINGTONPOST.COM,392.961117648,0.662473454325547
April2017,TOPYAPS.COM,385.3393794,0.649624347789667
April2017,STORYPICK.COM,381.2518594,0.64273340267471
April2017,THEQUINT.COM,378.622136351,0.63830008437946
April2017,DIVYABHASKAR.CO.IN,376.124484896,0.634089418965542
April2017,Atlantic Media,369.449829273,0.622836951562487
April2017,National Geographic Sites,369.153534568,0.622337443168642
April2017,CBS News,361.351735838,0.609184781690197
April2017,The Sun Online,349.259766431,0.588799536476624
April2017,Punjab Kesari Group,341.105399701,0.575052498276525
April2017,VIKATAN.COM,335.389754106,0.565416777817251
April2017,THEBETTERINDIA.COM,305.9959568,0.515863248059394
April2017,LOKMAT.COM,299.374836271,0.504701032788311
April2017,THENEWSMINUTE.COM,290.796206221,0.490238750319705
April2017,DAILYHUNT.IN,276.1601914,0.465564626441848
April2017,GREATANDHRA.COM,274.1849014,0.462234584025878
April2017,MYNEWSWIRE.CO,270.8432827,0.456601116530474
April2017,Weather Company The,266.741163829,0.449685559910545
April2017,ALLINDIAROUNDUP.COM,262.9937682,0.443368013426743
April2017,Mashable,262.818576391,0.443072666335986
April2017,QZ.COM,261.768019308,0.441301584800218
April2017,TUPAKI.COM,257.941072,0.434849926127658
April2017,Deccan Herald,247.9945414,0.418081568676478
April2017,TRIBUNEINDIA.COM,244.605445354,0.412368061502861
April2017,DINAKARAN.COM,244.13879984,0.411581367217545
April2017,GETFORMSONLINE.COM,234.5963791,0.395494278326683
April2017,EENADUINDIA.COM,226.403137383,0.381681702734288
April2017,DAILYTHANTHI.COM,225.9553812,0.380926853025434
April2017,tronc,225.808696602,0.380679564813014
April2017,HPE.COM,221.6987167,0.373750755674891
April2017,WASHINGTONPOST.COM,218.025679828,0.3675585668929
April2017,INSISTPOST.COM,213.8157916,0.360461327315049
April2017,MAALAIMALAR.COM,206.6893276,0.348447178812358
April2017,THINKUR.COM,206.3324735,0.34784557636952
April2017,NAMANBHARAT.COM,202.3706423,0.341166523703374
April2017,Mumbai Mirror,200.303738836,0.337682034739812
April2017,SKYMETWEATHER.COM,198.1623727,0.334072012889349
April2017,THEWIRE.IN,195.9903654,0.330410334636132
April2017,NEWSTREND.NEWS,187.4980634,0.316093588300544
April2017,YOUTHKIAWAAZ.COM,176.8284066,0.298106148629488
April2017,Fox News Digital Network,175.136689826,0.295254168103475
April2017,FREEPRESSJOURNAL.IN,174.771517181,0.29463854184252
April2017,NEWS Corp Australia Sites,172.804374073,0.291322233863478
April2017,AP2TG.COM,170.0313776,0.286647378083099
April2017,USNews,169.478193903,0.285714793412072
April2017,TELEGRAPHINDIA.COM,167.1967718,0.281868658225988
April2017,THELOGICALINDIAN.COM,165.8470197,0.279593178805728
April2017,ADVOCATEKHOJ.COM,163.9669797,0.276423713591142
April2017,OUTLOOKINDIA.COM,162.3539455,0.273704380073325
April2017,MYCITY4KIDS.COM,161.976617692,0.273068262032245
April2017,FOXNEWS.COM,159.673503911,0.269185557933335
April2017,PrabhatKhabar,159.247156308,0.268466799876576
April2017,The Economist Group,158.154250299,0.266624324408853
April2017,VANKAYA.COM,157.4012938,0.265354952782889
April2017,DINAMANI.COM,152.826877625,0.257643173808132
April2017,VCCIRCLE.COM,143.097947446,0.2412416580013
April2017,Graham Holdings,141.327132427,0.238256329708185
April2017,V6NEWS.TV,140.5074508,0.23687446953297
April2017,MISSTRAL.COM,137.4737535,0.231760111293819
April2017,NARENDRAMODI.IN,136.9836633,0.230933892787346
April2017,Postmedia Network Canada Corp.,134.918557198,0.227452433906301
April2017,DIFFERENCEBETWEEN.NET,134.7528357,0.227173052338239
April2017,DIFFERENCEBETWEEN.COM,132.5426114,0.223446945960033
April2017,POSTCARD.NEWS,129.0407884,0.21754339806417
April2017,SANDESH.COM,128.618582453,0.216831622217695
April2017,ESAKAL.COM,126.538316858,0.213324606707145
April2017,MINDS.COM,125.5700491,0.211692252620325
April2017,VOX.COM,118.315949494,0.199462929646154
April2017,CHAIBISKET.COM,115.695165,0.195044680412808
April2017,Digital First Media,112.563573908,0.189765287935839
April2017,Australian Broadcasting Corp.,110.7639714,0.186731428257753
April2017,VISHVATIMES.COM,106.5346716,0.179601463683513
April2017,NPR,105.337349404,0.177582958199122
April2017,RARE.US,104.731671657,0.176561876440029
April2017,INDIATIMES.IN,104.3249105,0.175876138190972
April2017,Aljazeera Media Network,104.198017,0.175662214798807
April2017,ALJAZEERA.COM,101.3102773,0.170793919162581
April2017,REPORTERLIVE.COM,100.679942458,0.16973126924276
April2017,MANGALAM.COM,98.6058939,0.166234734723312
April2017,FORBESINDIA.COM,97.272206211,0.163986337488462
April2017,MYNETA.INFO,96.9129465,0.163380679546601
April2017,THEFAMOUSPEOPLE.COM,94.867925,0.159933080289494
April2017,SILICONINDIA.COM,94.089830524,0.158621329807939
April2017,DAILYPIONEER.COM,93.8639751,0.158240571467747
April2017,ALLEVENTS.IN,93.769985,0.158082118268632
April2017,Nikkei,93.738696021,0.158029369747036
April2017,MENTALFLOSS.COM,93.310540788,0.157307564297452
April2017,NEWSNATION.IN,92.7514273,0.156364982888959
April2017,PRESSREADER.COM,91.6806676,0.15455984277368
April2017,Community Newspaper Holdings Inc.,89.6757471,0.151179847782743
April2017,INDIAPRESS.ORG,89.38267,0.150685763787912
April2017,NS7.TV,89.1189678,0.150241201464818
April2017,SWARAJYAMAG.COM,88.571208,0.149317760669916
April2017,NYPost Network,88.523232537,0.149236881241216
April2017,Adweek,87.891476668,0.148171835683193
April2017,Lee Enterprises Incorporated,87.163886937,0.146945228620101
April2017,ELITEDAILY.COM,86.921706118,0.146536948114654
April2017,SAFEORDANGEROUS.COM,85.2078805,0.143647695396565
April2017,Glacier Media Group,83.975685506,0.141570399609735
April2017,WLIVENEWS.COM,83.9164361,0.141470514005545
April2017,SUNNEWSLIVE.IN,83.8977056,0.141438937194306
April2017,ASIANAGE.COM,83.613997711,0.140960648282746
April2017,RTIINDIA.ORG,83.5890777,0.14091863688511
April2017,DAILYSTAR.CO.UK,81.889603196,0.138053577990882
April2017,FIRKEE.IN,81.845236443,0.137978782305515
April2017,Tegna,81.713139105,0.137756086023665
April2017,RECKONTALK.COM,81.6516925,0.137652496271797
April2017,Russia Today,81.227703609,0.136937714649387
April2017,TELUGUSTOP.COM,78.3965926,0.132164886485275
April2017,INDIAWATERPORTAL.ORG,78.2534446,0.131923560446181
April2017,GREATERKASHMIR.COM,75.6673101,0.127563725901176
April2017,BLASTINGNEWS.COM,74.83723921,0.126164350988145
April2017,New York Media,74.367248787,0.125372017688382
April2017,INDIANMIRROR.COM,73.6567793,0.124174272786639
April2017,NEWSROOMPOST.COM,73.225102624,0.123446530712785
April2017,RAJASTHANPATRIKA.COM,73.1526098,0.123324318693905
April2017,TAMILDAILYCALENDAR.COM,72.7231857,0.122600374125036
April2017,LIPSUM.COM,72.4215485,0.12209185908662
April2017,BUZZLE.COM,72.3147899,0.121911880113269
April2017,NYPOST.COM,72.066074289,0.121492582929492
April2017,GUJARATSAMACHAR.COM,71.8406004,0.121112467800035
April2017,DW - Deutsche Welle,71.819545684,0.121076972709524
April2017,DAIJIWORLD.COM,71.5460984,0.120615981637706
April2017,UPDATEBRO.COM,71.5271013,0.120583955378888
April2017,Sun-Times Media / CRWN ( Chicago Region-Wide Network ),70.616178256,0.119048275871472
April2017,TECHFACTSLIVE.COM,70.1119633,0.118198245146744
April2017,New Yorker,69.516993118,0.117195214734857
April2017,NEWYORKER.COM,69.516993118,0.117195214734857
April2017,GULFNEWS.COM,69.471814,0.117119049524049
April2017,Raycom Media Sites,69.050472607,0.116408731185834
April2017,LEGALLYINDIA.COM,69.0019856,0.116326989370742
April2017,Rogers Digital Media Publishing,68.474564584,0.115437836712472
April2017,Ogden Newspapers Inc.,68.095599000000007,0.114798957626913
April2017,NEWS24ONLINE.COM,67.7666451,0.11424439073299
April2017,LIVEINDIA.LIVE,67.44466,0.113701572189733
April2017,THESTATESMAN.COM,66.470821643,0.112059826909238
April2017,TRIBUNE.COM.PK,66.0906195,0.111418863170834
April2017,KHALEEJTIMES.COM,66.0189215,0.111297991105901
April2017,Torstar Digital,65.757919809,0.11085798143559
April2017,KANNADAPRABHA.COM,65.3638604,0.110193656426917
April2017,PRAVASISHABDAM.COM,65.3025863,0.110090357492583
April2017,CORPORATELAWREPORTER.COM,64.8169209,0.109271598534673
April2017,GateHouse Digital,64.285142537,0.108375100043472
April2017,SPH Digital News,63.901895391,0.107729002887116
April2017,DECCANREPORT.COM,63.6481957,0.107301303292652
April2017,CBC-Radio Canada Sites,63.331295391,0.106767056943709
April2017,DDBHARTI.IN,63.1330279,0.106432807717145
April2017,PUBLICTV.IN,63.0607157,0.106310900203215
April2017,SUMANASA.COM,62.8046388,0.10587919299123601
April2017,Tribune Media,62.577233125,0.105495821160577
April2017,EPW.IN,62.418505,0.10522822936957
April2017,MediaCorp Network,62.40590388,0.105206985772889
April2017,KOLKATA24X7.COM,61.9394468,0.10442060915901
April2017,KIRANNEWSAGENCY.COM,61.8323062,0.104239986191004
April2017,Sinclair Broadcast Group,61.407677029,0.103524125152631
April2017,Nexstar Broadcast,60.269263755,0.101604931267519
April2017,SOUTHLIVE.IN,58.8646726,0.0992370014327876
April2017,Mic,58.461889021,0.0985579687831382
April2017,Boston Globe Media Sites,57.76230656,0.0973785777729075
April2017,NYDAILYNEWS.COM,57.632539133,0.0971598093712443
April2017,DOWNTOEARTH.ORG.IN,57.540125,0.0970040130159117
