X1,Media,State,Regional,Digital,Indian,English
1,Adweek,None,N,N,N,Y
2,AJITJALANDHAR.COM,HD_RJ_PJ,Y,Y,Y,N
3,Aljazeera Media Network,None,N,N,N,Y
4,AMARUJALA.COM,HD_RJ_PJ,N,N,Y,N
5,ANDHRABHOOMI.NET,AP_TG,Y,N,Y,N
6,ANDHRAHEADLINES.COM,AP_TG,Y,Y,Y,Y
7,ANDHRAJYOTHY.COM,AP_TG,Y,N,Y,N
8,ARABNEWS.COM,None,N,N,N,Y
9,ASIANAGE.COM,NT,N,N,Y,Y
10,ASSAMTRIBUNE.COM,AS,Y,N,Y,Y
11,Atlantic Media,None,N,N,N,Y
12,Australian Broadcasting Corp.,None,N,N,N,Y
13,BA-BAMAIL.COM,NT,N,Y,Y,Y
14,BARTAMANPATRIKA.COM,WB,Y,N,Y,N
15,BBC Sites,None,N,N,N,Y
16,BESTMEDIAINFO.COM,NT,N,Y,Y,Y
17,Bhaskar Group Sites,NT,N,N,Y,N
18,Boston Globe Media Sites,None,N,N,N,Y
19,BUSINESS-STANDARD.COM,NT,N,N,Y,Y
20,Business Insider,None,N,Y,N,Y
21,BUZZFEED.COM,None,N,Y,N,Y
22,CAMPAIGNINDIA.IN,None,N,N,Y,Y
23,CARAVANMAGAZINE.IN,NT,N,N,Y,Y
24,CBC-Radio Canada Sites,None,N,N,N,Y
25,CBS News,None,N,N,N,Y
26,CITIZENMATTERS.IN,NT,N,Y,Y,Y
27,CNN Network,None,N,N,N,Y
28,CTV,None,N,N,N,Y
29,DAIJIWORLD.COM,KA_MH,Y,Y,Y,Y
30,DAILYDOT.COM,None,N,Y,N,Y
31,DAILYEXCELSIOR.COM,JK,Y,N,Y,Y
32,DAILYPIONEER.COM,NT,N,N,Y,Y
33,DAILYSTAR.CO.UK,None,N,N,N,Y
34,DAILYTHANTHI.COM,TN,Y,N,Y,N
35,DECCANCHRONICLE.COM,NT,Y,N,Y,Y
36,DEEPIKA.COM,KR,Y,Y,Y,N
37,DESHABHIMANI.COM,KR,Y,N,Y,N
38,DEZEEN.COM,None,N,Y,N,Y
39,DHARITRI.COM,OD,Y,N,Y,N
40,Digital First Media,None,N,Y,N,Y
41,DINAKARAN.COM,TN,Y,N,Y,N
42,DINAMALAR.COM,TN,Y,N,Y,N
43,DINAMANI.COM,TN,Y,N,Y,N
44,DNAINDIA.COM,NT,N,N,Y,Y
45,Dotdash,None,N,Y,N,Y
46,DOWNTOEARTH.ORG.IN,NT,N,N,Y,Y
47,EPAPERVIJAYAVANI.IN,KA,Y,N,Y,N
48,EPW.IN,NT,N,N,Y,Y
49,ESAKAL.COM,MH,Y,N,Y,N
50,EXPRESS.CO.UK,None,N,N,N,Y
51,FIRSTPOST.COM,NT,N,Y,Y,Y
52,FORBESINDIA.COM,NT,N,N,Y,Y
53,FREEPRESSJOURNAL.IN,MH,Y,N,Y,Y
54,Globe And Mail,None,N,N,N,Y
55,Graham Holdings,None,N,N,N,Y
56,GREATANDHRA.COM,AP_TG,Y,Y,Y,Y
57,GREATERKASHMIR.COM,JK,Y,N,Y,Y
58,GUJARATSAMACHAR.COM,GJ,Y,N,Y,N
59,GULFNEWS.COM,None,N,N,N,Y
60,HARIBHOOMI.COM,HD_RJ_PJ,Y,N,Y,N
61,Hearst Newspapers,None,N,N,N,Y
62,HELLOAP.COM,AP_TG,Y,Y,Y,Y
63,HT Media Group,NT,N,N,Y,Y
64,IFLSCIENCE.COM,None,N,Y,N,Y
65,IN.COM*,NT,N,Y,Y,Y
66,Independent News & Media,None,N,N,N,Y
67,India Today,NT,N,N,Y,Y
68,INDIANEXPRESS.COM,NT,N,N,Y,Y
