run,rho,method,NMI_scores
100,0.5,wt,0.4484706621359276
100,0.5,wt2,0.3210189664593791
100,0.5,l,0.3354658716625853
100,0.5,l2,0.3876989351531888
100,0.5,fg,0.3354658716625853
100,0.5,fg2,0.3876989351531888
100,0.5,eb,0
100,0.5,eb2,0
100,0.5,im,0
100,0.5,im2,0
100,0.5,lp,0
100,0.5,lp2,0
100,0.5,le,0.365434669303889
100,0.5,le2,0.6213547297561649
100,0.5,sl,0.3354658716625853
100,0.5,sl2,0.3215046709266849
99,0.5,wt,0.6152862751144562
99,0.5,wt2,0.59081005258759
99,0.5,l,0.5681741379550954
99,0.5,l2,0.5310374062724228
99,0.5,fg,0.5681741379550954
99,0.5,fg2,0.5310374062724228
99,0.5,eb,0
99,0.5,eb2,0
99,0.5,im,0
99,0.5,im2,0
99,0.5,lp,0
99,0.5,lp2,0
99,0.5,le,0.5587384130703086
99,0.5,le2,0.5587384130703086
99,0.5,sl,0.5681741379550954
99,0.5,sl2,0.5681741379550954
98,0.5,wt,0.24247825230966477
98,0.5,wt2,0.4398645339738016
98,0.5,l,0.4751014432920156
98,0.5,l2,0.47062524698693436
98,0.5,fg,0.5233983070900131
98,0.5,fg2,0.5233983070900131
98,0.5,eb,-2.807643172001859e-16
98,0.5,eb2,0.05244784117718252
98,0.5,im,-2.807643172001859e-16
98,0.5,im2,-2.807643172001859e-16
98,0.5,lp,-2.807643172001859e-16
98,0.5,lp2,-2.807643172001859e-16
98,0.5,le,0.5426906726806701
98,0.5,le2,0.4976486365803983
98,0.5,sl,0.5233983070900131
98,0.5,sl2,0.5233983070900131
97,0.5,wt,0.572612246466543
97,0.5,wt2,0.572612246466543
97,0.5,l,0.803508374988147
97,0.5,l2,0.803508374988147
97,0.5,fg,0.803508374988147
97,0.5,fg2,0.803508374988147
97,0.5,eb,0
97,0.5,eb2,0
97,0.5,im,0
97,0.5,im2,0
97,0.5,lp,0
97,0.5,lp2,0
97,0.5,le,0
97,0.5,le2,0.8065891579974165
97,0.5,sl,0.5699013115207906
97,0.5,sl2,0.803508374988147
96,0.5,wt,0.5162346653811223
96,0.5,wt2,0.4787476915270954
96,0.5,l,0.4309252022191896
96,0.5,l2,0.4309252022191896
96,0.5,fg,0.4309252022191896
96,0.5,fg2,0.4309252022191896
96,0.5,eb,0
96,0.5,eb2,0
96,0.5,im,0
96,0.5,im2,0
96,0.5,lp,0
96,0.5,lp2,0
96,0.5,le,0.4662422195350593
96,0.5,le2,0.4662422195350593
96,0.5,sl,0.4309252022191896
96,0.5,sl2,0.4523914088487051
95,0.5,wt,0.5418525074392242
95,0.5,wt2,0.553445273539327
95,0.5,l,0.540758483868947
95,0.5,l2,0.540758483868947
95,0.5,fg,0.540758483868947
95,0.5,fg2,0.540758483868947
95,0.5,eb,-2.8504292922234936e-16
95,0.5,eb2,-2.8504292922234936e-16
95,0.5,im,-2.8504292922234936e-16
95,0.5,im2,-2.8504292922234936e-16
95,0.5,lp,-2.8504292922234936e-16
95,0.5,lp2,-2.8504292922234936e-16
95,0.5,le,0.5794325484083979
95,0.5,le2,0.5794325484083979
95,0.5,sl,0.540758483868947
95,0.5,sl2,0.540758483868947
94,0.5,wt,0.4426216891386141
94,0.5,wt2,0.7549946170160841
94,0.5,l,0.7549946170160841
94,0.5,l2,0.7549946170160841
94,0.5,fg,0.7549946170160841
94,0.5,fg2,0.7549946170160841
94,0.5,eb,0
94,0.5,eb2,0.4754326847884873
94,0.5,im,0
94,0.5,im2,0
94,0.5,lp,0
94,0.5,lp2,0
94,0.5,le,0.7549946170160841
94,0.5,le2,0.7549946170160841
94,0.5,sl,0.7549946170160841
94,0.5,sl2,0.7549946170160841
93,0.5,wt,0.5663143602070847
93,0.5,wt2,0.5411797586878735
93,0.5,l,0.6845001951617214
93,0.5,l2,0.6845001951617214
