run,rho,method,NMI_scores
100,1,wt,0.45128365922337005
100,1,wt2,0
100,1,l,0.08196744376310272
100,1,l2,0.30423929853094384
100,1,fg,0.08196744376310272
100,1,fg2,0.35296504386216765
100,1,eb,0
100,1,eb2,0
100,1,im,0
100,1,im2,0
100,1,lp,0
100,1,lp2,0
100,1,le,0
100,1,le2,0
100,1,sl,0.08365436443938312
100,1,sl2,0.08365436443938312
99,1,wt,0.4778783456587022
99,1,wt2,0
99,1,l,0.0677396658304433
99,1,l2,0.3030055894903987
99,1,fg,0.0677396658304433
99,1,fg2,0.33639805332672706
99,1,eb,0
99,1,eb2,0
99,1,im,0
99,1,im2,0
99,1,lp,0
99,1,lp2,0
99,1,le,0
99,1,le2,0.2755548121494952
99,1,sl,0.0677396658304433
99,1,sl2,0.0677396658304433
98,1,wt,0.40341511464805063
98,1,wt2,0
98,1,l,0.11778849182849077
98,1,l2,0.2510205002781085
98,1,fg,0.11520410450183492
98,1,fg2,0.22894936584257108
98,1,eb,0
98,1,eb2,0
98,1,im,0
98,1,im2,0
98,1,lp,0
98,1,lp2,0
98,1,le,0
98,1,le2,0.22594596345746495
98,1,sl,0.1155682106776372
98,1,sl2,0.11731392117365412
97,1,wt,0.3938022620234153
97,1,wt2,0
97,1,l,0.04960932939307702
97,1,l2,0.280082826879429
97,1,fg,0.1585954899161465
97,1,fg2,0.2659469653746185
97,1,eb,0
97,1,eb2,0
97,1,im,0
97,1,im2,0
97,1,lp,0
97,1,lp2,0
97,1,le,0
97,1,le2,0
97,1,sl,0.18579922497001353
97,1,sl2,0.18579922497001353
96,1,wt,0.4298670559567701
96,1,wt2,0
96,1,l,0.18202795454112003
96,1,l2,0.18334100854217636
96,1,fg,0.1773832460860743
96,1,fg2,0.17351528735054775
96,1,eb,0
96,1,eb2,0
96,1,im,0
96,1,im2,0
96,1,lp,0
96,1,lp2,0
96,1,le,0
96,1,le2,NA
96,1,sl,0.13380885920606905
96,1,sl2,0.13969973382334375
95,1,wt,0.40419919390919745
95,1,wt2,0
95,1,l,0.057457448316269526
95,1,l2,0.17228984715853296
95,1,fg,0.11362011515000672
95,1,fg2,0.16929162902399406
95,1,eb,0
95,1,eb2,0
95,1,im,0
95,1,im2,0
95,1,lp,0
95,1,lp2,0
95,1,le,0
95,1,le2,0
95,1,sl,0.06338511326322038
95,1,sl2,0.06816691128512908
94,1,wt,0.41765663509780493
94,1,wt2,-2.844788119198771e-16
94,1,l,0.05787984960204335
94,1,l2,0.1558824534394202
94,1,fg,0.0821036847378043
94,1,fg2,0.17231502525102033
94,1,eb,-2.844788119198771e-16
94,1,eb2,-2.844788119198771e-16
94,1,im,-2.844788119198771e-16
94,1,im2,-2.844788119198771e-16
94,1,lp,-2.844788119198771e-16
94,1,lp2,-2.844788119198771e-16
94,1,le,-2.844788119198771e-16
94,1,le2,NA
94,1,sl,0.0706843037370629
94,1,sl2,0.0706843037370629
93,1,wt,0.04476832658252144
93,1,wt2,0.04476832658252144
93,1,l,0.23541408400172
93,1,l2,0.2075461983656777
93,1,fg,0.17352491510814372
93,1,fg2,0.22783819065455974
93,1,eb,2.950275443508894e-16
93,1,eb2,2.950275443508894e-16
93,1,im,2.950275443508894e-16
93,1,im2,2.950275443508894e-16
93,1,lp,2.950275443508894e-16
93,1,lp2,2.950275443508894e-16
