run,rho,method,NMI_scores
100,0.8,wt,0.45302819400730354
100,0.8,wt2,0
100,0.8,l,0.3725103534293474
100,0.8,l2,0.5346815571504018
100,0.8,fg,0.3725103534293474
100,0.8,fg2,0.5346815571504018
100,0.8,eb,0
100,0.8,eb2,0
100,0.8,im,0
100,0.8,im2,0
100,0.8,lp,0
100,0.8,lp2,0
100,0.8,le,0.3725103534293474
100,0.8,le2,0
100,0.8,sl,0.3725103534293474
100,0.8,sl2,0.3725103534293474
99,0.8,wt,0.4251964262430292
99,0.8,wt2,0
99,0.8,l,0
99,0.8,l2,0.526521851578989
99,0.8,fg,0.1476321741729405
99,0.8,fg2,0.49526249681614143
99,0.8,eb,0
99,0.8,eb2,0.20532061230079518
99,0.8,im,0
99,0.8,im2,0
99,0.8,lp,0
99,0.8,lp2,0
99,0.8,le,0
99,0.8,le2,0
99,0.8,sl,0.2799780543534628
99,0.8,sl2,0.2799780543534628
98,0.8,wt,0.44315375937017765
98,0.8,wt2,0
98,0.8,l,0.22790950279745875
98,0.8,l2,0.3353425571613726
98,0.8,fg,0.17469957560190963
98,0.8,fg2,0.32302182093233334
98,0.8,eb,0
98,0.8,eb2,0.2750455284083104
98,0.8,im,0
98,0.8,im2,0
98,0.8,lp,0
98,0.8,lp2,0
98,0.8,le,0
98,0.8,le2,0
98,0.8,sl,0.14798866672720232
98,0.8,sl2,0.15687083754239936
97,0.8,wt,0.4134821713444222
97,0.8,wt2,2.8555317417733896e-16
97,0.8,l,0.1969934482278347
97,0.8,l2,0.35016830591487863
97,0.8,fg,0.23154342443533926
97,0.8,fg2,0.30620785508670284
97,0.8,eb,2.8555317417733896e-16
97,0.8,eb2,0.2748040643692267
97,0.8,im,2.8555317417733896e-16
97,0.8,im2,2.8555317417733896e-16
97,0.8,lp,2.8555317417733896e-16
97,0.8,lp2,2.8555317417733896e-16
97,0.8,le,2.8555317417733896e-16
97,0.8,le2,0.3295419060060764
97,0.8,sl,0.22007638160226617
97,0.8,sl2,0.23716491302091278
96,0.8,wt,0.42931381854558437
96,0.8,wt2,0
96,0.8,l,0.4272818129654846
96,0.8,l2,0.4420211861692846
96,0.8,fg,0.4272818129654846
96,0.8,fg2,0.4420211861692846
96,0.8,eb,0.03222297680530776
96,0.8,eb2,0.03222297680530776
96,0.8,im,0
96,0.8,im2,0
96,0.8,lp,0
96,0.8,lp2,0
96,0.8,le,0
96,0.8,le2,0
96,0.8,sl,0.4272818129654846
96,0.8,sl2,0.4272818129654846
95,0.8,wt,0.4080767702184108
95,0.8,wt2,0
95,0.8,l,0.27050779800174624
95,0.8,l2,0.40452542287814963
95,0.8,fg,0.21822709621924824
95,0.8,fg2,0.40452542287814963
95,0.8,eb,0
95,0.8,eb2,0
95,0.8,im,0
95,0.8,im2,0
95,0.8,lp,0
95,0.8,lp2,0
95,0.8,le,0.3631314311545064
95,0.8,le2,0.4409417890172653
95,0.8,sl,0.3548237930918218
95,0.8,sl2,0.21822709621924824
94,0.8,wt,0.4740207725885228
94,0.8,wt2,-2.8754703841912284e-16
94,0.8,l,-2.8754703841912284e-16
94,0.8,l2,0.5771490513933556
94,0.8,fg,0.15681457326485
94,0.8,fg2,0.41658755350296844
94,0.8,eb,-2.8754703841912284e-16
94,0.8,eb2,0.34978130033401256
94,0.8,im,-2.8754703841912284e-16
94,0.8,im2,-2.8754703841912284e-16
94,0.8,lp,-2.8754703841912284e-16
94,0.8,lp2,-2.8754703841912284e-16
94,0.8,le,-2.8754703841912284e-16
94,0.8,le2,-2.8754703841912284e-16
94,0.8,sl,0.20210514663986867
94,0.8,sl2,0.15681457326485
93,0.8,wt,0.40833793552133074
93,0.8,wt2,-2.7944588165054036e-16
93,0.8,l,0.22028683220009054
93,0.8,l2,0.5284732853932457
93,0.8,fg,0.32809817698284316
93,0.8,fg2,0.49701705034778904
93,0.8,eb,-2.7944588165054036e-16
93,0.8,eb2,-2.7944588165054036e-16
93,0.8,im,-2.7944588165054036e-16
93,0.8,im2,-2.7944588165054036e-16
93,0.8,lp,-2.7944588165054036e-16
93,0.8,lp2,-2.7944588165054036e-16
93,0.8,le,0.24294450707108972
93,0.8,le2,0.42002295440711207
93,0.8,sl,0.30948716408522353
93,0.8,sl2,0.30948716408522353
92,0.8,wt,0.44944420465220186
92,0.8,wt2,-3.0327072392100657e-16
92,0.8,l,-3.0327072392100657e-16
92,0.8,l2,0.4160908906863193
92,0.8,fg,0.20604353846059292
92,0.8,fg2,0.29925044657295885
92,0.8,eb,-3.0327072392100657e-16
92,0.8,eb2,0.15330835645091845
92,0.8,im,-3.0327072392100657e-16
92,0.8,im2,-3.0327072392100657e-16
92,0.8,lp,-3.0327072392100657e-16
92,0.8,lp2,-3.0327072392100657e-16
92,0.8,le,-3.0327072392100657e-16
92,0.8,le2,-3.0327072392100657e-16
92,0.8,sl,0.35600428852592747
92,0.8,sl2,0.35600428852592747
91,0.8,wt,0.44578746060700625
91,0.8,wt2,0
91,0.8,l,0.27346536794128995
91,0.8,l2,0.6132957104239283
91,0.8,fg,0.27346536794128995
91,0.8,fg2,0.6132957104239283
91,0.8,eb,0
91,0.8,eb2,0
91,0.8,im,0
91,0.8,im2,0
91,0.8,lp,0
91,0.8,lp2,0
91,0.8,le,0
91,0.8,le2,NA
91,0.8,sl,0.27346536794128995
91,0.8,sl2,0.27346536794128995
90,0.8,wt,0.4561877383505752
90,0.8,wt2,0
90,0.8,l,0.08940528227015994
90,0.8,l2,0.48749190675817217
90,0.8,fg,0.3487059155862516
90,0.8,fg2,0.6070303978803469
90,0.8,eb,0
90,0.8,eb2,0
90,0.8,im,0
90,0.8,im2,0
90,0.8,lp,0
90,0.8,lp2,0
90,0.8,le,0
90,0.8,le2,0
90,0.8,sl,0.3487059155862516
90,0.8,sl2,0.3487059155862516
89,0.8,wt,0.02193116043725623
89,0.8,wt2,0
89,0.8,l,0.2892107396347652
89,0.8,l2,0.4197616846259448
89,0.8,fg,0.19062574738464844
89,0.8,fg2,0.37767187394891266
89,0.8,eb,0.23407788949364183
89,0.8,eb2,0.3112062032313135
89,0.8,im,0
89,0.8,im2,0
89,0.8,lp,0
89,0.8,lp2,0
89,0.8,le,0
89,0.8,le2,0.41216499174751364
89,0.8,sl,0.30668333438055434
89,0.8,sl2,0.20235714727888995
88,0.8,wt,0.44362171478852047
88,0.8,wt2,0
88,0.8,l,0.29788299846649857
88,0.8,l2,0.5901603150849699
88,0.8,fg,0.19654678549483337
88,0.8,fg2,0.5366415063183215
88,0.8,eb,0
88,0.8,eb2,0
88,0.8,im,0
88,0.8,im2,0
88,0.8,lp,0
88,0.8,lp2,0
88,0.8,le,0
88,0.8,le2,0
88,0.8,sl,0.27845941392922324
88,0.8,sl2,0.19238055754106625
87,0.8,wt,0.4492147472136501
87,0.8,wt2,0
87,0.8,l,0
87,0.8,l2,0.5461638243512005
87,0.8,fg,0.39967894849924973
87,0.8,fg2,0.5980907765888949
87,0.8,eb,0.39967894849924973
87,0.8,eb2,0.39967894849924973
87,0.8,im,0
87,0.8,im2,0
87,0.8,lp,0
87,0.8,lp2,0
87,0.8,le,0
87,0.8,le2,0
87,0.8,sl,0.39967894849924973
87,0.8,sl2,0.39967894849924973
86,0.8,wt,0.430695287279764
86,0.8,wt2,2.814469831029095e-16
86,0.8,l,0.13270663449429299
86,0.8,l2,0.30687342347364116
86,0.8,fg,0.13270663449429299
86,0.8,fg2,0.29884180131224636
86,0.8,eb,0.07702899829436845
86,0.8,eb2,0.07702899829436845
86,0.8,im,2.814469831029095e-16
86,0.8,im2,2.814469831029095e-16
86,0.8,lp,2.814469831029095e-16
86,0.8,lp2,2.814469831029095e-16
86,0.8,le,0.1424357308101184
86,0.8,le2,0.26645711676342193
86,0.8,sl,0.158280049153555
86,0.8,sl2,0.158280049153555
85,0.8,wt,0.42606535789966427
85,0.8,wt2,0
85,0.8,l,0.31877799293142245
85,0.8,l2,0.5135612937713157
85,0.8,fg,0.5105358611376107
85,0.8,fg2,0.5388598301942016
85,0.8,eb,0.13637830202730114
85,0.8,eb2,0.4021257865189949
85,0.8,im,0
85,0.8,im2,0
85,0.8,lp,0
85,0.8,lp2,0
85,0.8,le,0.27297295198192545
85,0.8,le2,NA
85,0.8,sl,0.5105358611376107
85,0.8,sl2,0.534605277260732
84,0.8,wt,0.40199765773893653
84,0.8,wt2,0
84,0.8,l,0
84,0.8,l2,0.8124106077155222
84,0.8,fg,0.5348343395700517
84,0.8,fg2,0.8124106077155222
84,0.8,eb,0.33713594969638705
84,0.8,eb2,0.33713594969638705
84,0.8,im,0
84,0.8,im2,0
84,0.8,lp,0
84,0.8,lp2,0
84,0.8,le,0.446308409715238
84,0.8,le2,NA
84,0.8,sl,0.5348343395700517
84,0.8,sl2,0.5348343395700517
83,0.8,wt,0.4239899093952033
83,0.8,wt2,0
83,0.8,l,0.20414266932684544
83,0.8,l2,0.5121506047344484
83,0.8,fg,0.1915591733109153
83,0.8,fg2,0.42308320188387205
83,0.8,eb,0
83,0.8,eb2,0
83,0.8,im,0
83,0.8,im2,0
83,0.8,lp,0
83,0.8,lp2,0
83,0.8,le,0
83,0.8,le2,0
83,0.8,sl,0.28892540000647104
83,0.8,sl2,0.28892540000647104
82,0.8,wt,0.41459087436337033
82,0.8,wt2,0
82,0.8,l,0.13793888694175327
82,0.8,l2,0.19170717385057467
82,0.8,fg,0.13793888694175327
82,0.8,fg2,0.43651632870111323
82,0.8,eb,0
82,0.8,eb2,0
82,0.8,im,0
82,0.8,im2,0
82,0.8,lp,0
82,0.8,lp2,0
82,0.8,le,0.1316216700392507
82,0.8,le2,0.34598489352244266
82,0.8,sl,0.13793888694175327
82,0.8,sl2,0.153899506466918
81,0.8,wt,0.40438097965796405
81,0.8,wt2,0
81,0.8,l,0.10231920515922946
81,0.8,l2,0.23588882490334198
81,0.8,fg,0.13442498482205203
81,0.8,fg2,0.22194780439655568
81,0.8,eb,0
81,0.8,eb2,0
81,0.8,im,0
81,0.8,im2,0
81,0.8,lp,0
81,0.8,lp2,0
81,0.8,le,0.08655593300176805
81,0.8,le2,0.11187694775565889
81,0.8,sl,0.10231920515922946
81,0.8,sl2,0.12382527212521265
80,0.8,wt,0.4146625915791957
80,0.8,wt2,-2.7972460724559625e-16
80,0.8,l,0.2061905337385897
80,0.8,l2,0.3332453982395687
80,0.8,fg,0.17386703455982525
80,0.8,fg2,0.3669702207982345
80,0.8,eb,-2.7972460724559625e-16
80,0.8,eb2,-2.7972460724559625e-16
80,0.8,im,-2.7972460724559625e-16
80,0.8,im2,-2.7972460724559625e-16
80,0.8,lp,-2.7972460724559625e-16
80,0.8,lp2,-2.7972460724559625e-16
80,0.8,le,0.10306784889817931
80,0.8,le2,0.30096924387050744
80,0.8,sl,0.23546804467414345
80,0.8,sl2,0.2061905337385897
79,0.8,wt,0.4245670508982391
79,0.8,wt2,-2.7984852590823126e-16
79,0.8,l,0.2564608486201156
79,0.8,l2,0.5028949320496866
79,0.8,fg,0.1774010322828271
79,0.8,fg2,0.5028949320496866
79,0.8,eb,0.0515816434634357
79,0.8,eb2,0.3160245910452676
79,0.8,im,-2.7984852590823126e-16
79,0.8,im2,-2.7984852590823126e-16
79,0.8,lp,-2.7984852590823126e-16
79,0.8,lp2,-2.7984852590823126e-16
79,0.8,le,0.22587527615980074
79,0.8,le2,0.4064180784826668
79,0.8,sl,0.20793695598274203
79,0.8,sl2,0.20793695598274203
78,0.8,wt,0.4153607581781787
78,0.8,wt2,2.918376058759293e-16
78,0.8,l,0.2609595469244359
78,0.8,l2,0.28002672984444793
78,0.8,fg,0.2609595469244359
78,0.8,fg2,0.36394819360068614
78,0.8,eb,0.06872505171432572
78,0.8,eb2,0.06872505171432572
78,0.8,im,2.918376058759293e-16
78,0.8,im2,2.918376058759293e-16
78,0.8,lp,2.918376058759293e-16
78,0.8,lp2,2.918376058759293e-16
78,0.8,le,2.918376058759293e-16
78,0.8,le2,2.918376058759293e-16
78,0.8,sl,0.2883453729596079
78,0.8,sl2,0.2883453729596079
77,0.8,wt,0.4286399905343948
77,0.8,wt2,-2.77189403618054e-16
77,0.8,l,0.16225040686616102
77,0.8,l2,0.34594061731897596
77,0.8,fg,0.11868907446793017
77,0.8,fg2,0.27640110421376224
77,0.8,eb,-2.77189403618054e-16
77,0.8,eb2,0.29695344270136304
77,0.8,im,-2.77189403618054e-16
77,0.8,im2,-2.77189403618054e-16
77,0.8,lp,-2.77189403618054e-16
77,0.8,lp2,-2.77189403618054e-16
77,0.8,le,0.16652753407191842
77,0.8,le2,NA
77,0.8,sl,0.1632439974326982
77,0.8,sl2,0.11868907446793017
76,0.8,wt,0.44903126919087843
76,0.8,wt2,0
76,0.8,l,0.13705381856488572
76,0.8,l2,0.5187243968197661
76,0.8,fg,0.3367097119279194
76,0.8,fg2,0.5556357868653847
76,0.8,eb,0
76,0.8,eb2,0
76,0.8,im,0
76,0.8,im2,0
76,0.8,lp,0
76,0.8,lp2,0
76,0.8,le,0
76,0.8,le2,0
76,0.8,sl,0.3367097119279194
76,0.8,sl2,0.3367097119279194
75,0.8,wt,0.42917049206347774
75,0.8,wt2,-3.1396024532790713e-16
75,0.8,l,0.2862740888524988
75,0.8,l2,0.4317324510233231
75,0.8,fg,0.2862740888524988
75,0.8,fg2,0.4317324510233231
75,0.8,eb,-3.1396024532790713e-16
75,0.8,eb2,-3.1396024532790713e-16
75,0.8,im,-3.1396024532790713e-16
75,0.8,im2,-3.1396024532790713e-16
75,0.8,lp,-3.1396024532790713e-16
75,0.8,lp2,-3.1396024532790713e-16
75,0.8,le,0.35674143776171957
75,0.8,le2,NA
75,0.8,sl,0.2862740888524988
75,0.8,sl2,0.34792163459084163
74,0.8,wt,0.41914414961086616
74,0.8,wt2,0
74,0.8,l,0.10297903868587634
74,0.8,l2,0.4580370834420818
74,0.8,fg,0.30062507827679663
74,0.8,fg2,0.5107224860700901
74,0.8,eb,0
74,0.8,eb2,0
74,0.8,im,0
74,0.8,im2,0
74,0.8,lp,0
74,0.8,lp2,0
74,0.8,le,0
74,0.8,le2,0
74,0.8,sl,0.36346005613847415
74,0.8,sl2,0.30062507827679663
73,0.8,wt,0.47026956999894426
73,0.8,wt2,0
73,0.8,l,0.07531382957046447
73,0.8,l2,0.3365398202116663
73,0.8,fg,0.19032039845060764
73,0.8,fg2,0.47630637948352844
73,0.8,eb,0.1408215975396271
73,0.8,eb2,0.1408215975396271
73,0.8,im,0
73,0.8,im2,0
73,0.8,lp,0
73,0.8,lp2,0
73,0.8,le,0
73,0.8,le2,0
73,0.8,sl,0.2147299754922565
73,0.8,sl2,0.2147299754922565
72,0.8,wt,0.4246848112224784
72,0.8,wt2,0
72,0.8,l,0.1367085744623864
72,0.8,l2,0.3266011387741923
72,0.8,fg,0.12028776772747253
72,0.8,fg2,0.322831451462388
72,0.8,eb,0
72,0.8,eb2,0
72,0.8,im,0
72,0.8,im2,0
72,0.8,lp,0
72,0.8,lp2,0
72,0.8,le,0
72,0.8,le2,NA
72,0.8,sl,0.12028776772747253
72,0.8,sl2,0.1269807450331583
71,0.8,wt,0.4131370496648351
71,0.8,wt2,-2.8075751294402595e-16
71,0.8,l,0.04804021357128263
71,0.8,l2,0.20998415861996794
71,0.8,fg,0.10518300126146837
71,0.8,fg2,0.19545523898593536
71,0.8,eb,-2.8075751294402595e-16
71,0.8,eb2,-2.8075751294402595e-16
71,0.8,im,-2.8075751294402595e-16
71,0.8,im2,-2.8075751294402595e-16
71,0.8,lp,-2.8075751294402595e-16
71,0.8,lp2,-2.8075751294402595e-16
71,0.8,le,0.1774885623261598
71,0.8,le2,-2.8075751294402595e-16
71,0.8,sl,0.10518300126146837
71,0.8,sl2,0.05909507823533766
70,0.8,wt,0.40577136502601546
70,0.8,wt2,-2.8585390830004724e-16
70,0.8,l,0.12764400435252315
70,0.8,l2,0.27126575317069773
70,0.8,fg,0.1475966551231021
70,0.8,fg2,0.2232376642540415
70,0.8,eb,-2.8585390830004724e-16
70,0.8,eb2,0.35406605638562233
70,0.8,im,-2.8585390830004724e-16
70,0.8,im2,-2.8585390830004724e-16
70,0.8,lp,-2.8585390830004724e-16
70,0.8,lp2,-2.8585390830004724e-16
70,0.8,le,0.2676248432110967
70,0.8,le2,0.24587297666078442
70,0.8,sl,0.12764400435252315
70,0.8,sl2,0.14678386295608206
69,0.8,wt,0.4159903826832709
69,0.8,wt2,0
69,0.8,l,0.3466075627043152
69,0.8,l2,0.409489774886568
69,0.8,fg,0.28130268873241343
69,0.8,fg2,0.4722922984917537
69,0.8,eb,0
69,0.8,eb2,0
69,0.8,im,0
69,0.8,im2,0
69,0.8,lp,0
69,0.8,lp2,0
69,0.8,le,0.3466075627043152
69,0.8,le2,0
69,0.8,sl,0.28130268873241343
69,0.8,sl2,0.30521596620079666
68,0.8,wt,0.6251443463707331
68,0.8,wt2,0
68,0.8,l,0
68,0.8,l2,0.27508299367401456
68,0.8,fg,0.08741737346675388
68,0.8,fg2,0.3591551626919818
68,0.8,eb,0
68,0.8,eb2,0.3908876775277009
68,0.8,im,0
68,0.8,im2,0
68,0.8,lp,0
68,0.8,lp2,0
68,0.8,le,0
68,0.8,le2,0
68,0.8,sl,0.08741737346675388
68,0.8,sl2,0
67,0.8,wt,0.44679125079199133
67,0.8,wt2,0
67,0.8,l,0.366807073256847
67,0.8,l2,0.6236257215864236
67,0.8,fg,0.366807073256847
67,0.8,fg2,0.6057702428980065
67,0.8,eb,0
67,0.8,eb2,0.03793702174030072
67,0.8,im,0
67,0.8,im2,0
67,0.8,lp,0
67,0.8,lp2,0
67,0.8,le,0
67,0.8,le2,0
67,0.8,sl,0.366807073256847
67,0.8,sl2,0.366807073256847
66,0.8,wt,0.4374268636006433
66,0.8,wt2,0
66,0.8,l,0.33044187141923675
66,0.8,l2,0.5207419823539998
66,0.8,fg,0.33044187141923675
66,0.8,fg2,0.525146823632555
66,0.8,eb,0
66,0.8,eb2,0
66,0.8,im,0
66,0.8,im2,0
66,0.8,lp,0
66,0.8,lp2,0
66,0.8,le,0
66,0.8,le2,NA
66,0.8,sl,0.33044187141923675
66,0.8,sl2,0.33044187141923675
65,0.8,wt,0.45388906168515003
65,0.8,wt2,0
65,0.8,l,0
65,0.8,l2,0.39556290946982736
65,0.8,fg,0.14021891729086153
65,0.8,fg2,0.39556290946982736
65,0.8,eb,0
65,0.8,eb2,0
65,0.8,im,0
65,0.8,im2,0
65,0.8,lp,0
65,0.8,lp2,0
65,0.8,le,0
65,0.8,le2,0
65,0.8,sl,0.1965461766988087
65,0.8,sl2,0.1965461766988087
64,0.8,wt,0.45617215295868807
64,0.8,wt2,0
64,0.8,l,0.06579713657840493
64,0.8,l2,0.3108031498566621
64,0.8,fg,0.18605301150665404
64,0.8,fg2,0.38430641188373893
64,0.8,eb,0
64,0.8,eb2,0.30379770074405016
64,0.8,im,0
64,0.8,im2,0
64,0.8,lp,0
64,0.8,lp2,0
64,0.8,le,0
64,0.8,le2,0
64,0.8,sl,0.18605301150665404
64,0.8,sl2,0.18605301150665404
63,0.8,wt,0.4462616032429175
63,0.8,wt2,0
63,0.8,l,0.24197580607415958
63,0.8,l2,0.4094310687463983
63,0.8,fg,0.1339375492545481
63,0.8,fg2,0.4983579091598411
63,0.8,eb,0
63,0.8,eb2,0.06514628391318768
63,0.8,im,0
63,0.8,im2,0
63,0.8,lp,0
63,0.8,lp2,0
63,0.8,le,0
63,0.8,le2,0
63,0.8,sl,0.24197580607415958
63,0.8,sl2,0.265755387941184
62,0.8,wt,0.4517710173655148
62,0.8,wt2,0
62,0.8,l,0.2987843739752045
62,0.8,l2,0.5776761457933564
62,0.8,fg,0.2987843739752045
62,0.8,fg2,0.6274353535367233
62,0.8,eb,0.29240718310719543
62,0.8,eb2,0.29240718310719543
62,0.8,im,0
62,0.8,im2,0
62,0.8,lp,0
62,0.8,lp2,0
62,0.8,le,0.35155352873175455
62,0.8,le2,NA
62,0.8,sl,0.33087322898403937
62,0.8,sl2,0.2987843739752045
61,0.8,wt,0.5189206297223502
61,0.8,wt2,0
61,0.8,l,0.15842573059785964
61,0.8,l2,0.4655155393263107
61,0.8,fg,0.3902356601857232
61,0.8,fg2,0.6483218284455117
61,0.8,eb,0.36173563366210865
61,0.8,eb2,0.5004682787927283
61,0.8,im,0
61,0.8,im2,0
61,0.8,lp,0
61,0.8,lp2,0
61,0.8,le,NA
61,0.8,le2,NA
61,0.8,sl,0.36173563366210865
61,0.8,sl2,0.3902356601857232
60,0.8,wt,0.40833793552133074
60,0.8,wt2,-2.7944588165054036e-16
60,0.8,l,0.05199596517316908
60,0.8,l2,0.26387848403678904
60,0.8,fg,0.05199596517316908
60,0.8,fg2,0.222421554953728
60,0.8,eb,-2.7944588165054036e-16
60,0.8,eb2,-2.7944588165054036e-16
60,0.8,im,-2.7944588165054036e-16
60,0.8,im2,-2.7944588165054036e-16
60,0.8,lp,-2.7944588165054036e-16
60,0.8,lp2,-2.7944588165054036e-16
60,0.8,le,0.08276811501533625
60,0.8,le2,-2.7944588165054036e-16
60,0.8,sl,0.054361956522232836
60,0.8,sl2,0.07238591604673743
59,0.8,wt,0.4698468470478588
59,0.8,wt2,0
59,0.8,l,0.4320466912283547
59,0.8,l2,0.6095357496277194
59,0.8,fg,0.4320466912283547
