run,rho,method,NMI_scores
100,1,wt,0.45178793807906836
100,1,wt2,-2.982427409387068e-16
100,1,l,0.155978395910312
100,1,l2,0.3186021879402192
100,1,fg,0.13849474254821798
100,1,fg2,0.3186021879402192
100,1,eb,-2.982427409387068e-16
100,1,eb2,-2.982427409387068e-16
100,1,im,-2.982427409387068e-16
100,1,im2,-2.982427409387068e-16
100,1,lp,-2.982427409387068e-16
100,1,lp2,-2.982427409387068e-16
100,1,le,0.1648728582585129
100,1,le2,NA
100,1,sl,0.155978395910312
100,1,sl2,0.155978395910312
99,1,wt,0.44623595649216413
99,1,wt2,0
99,1,l,0.023000435933089685
99,1,l2,0.2793294079443451
99,1,fg,0.07237868519225571
99,1,fg2,0.30310778033349156
99,1,eb,0
99,1,eb2,0
99,1,im,0
99,1,im2,0
99,1,lp,0
99,1,lp2,0
99,1,le,0
99,1,le2,0
99,1,sl,0.07237868519225571
99,1,sl2,0.07237868519225571
98,1,wt,0.4255532125215884
98,1,wt2,-3.1662896439516966e-16
98,1,l,0.05612462891150674
98,1,l2,0.2105879105215427
98,1,fg,0.07766163981069366
98,1,fg2,0.2995114265836367
98,1,eb,-3.1662896439516966e-16
98,1,eb2,0.11688703035044562
98,1,im,-3.1662896439516966e-16
98,1,im2,-3.1662896439516966e-16
98,1,lp,-3.1662896439516966e-16
98,1,lp2,-3.1662896439516966e-16
98,1,le,-3.1662896439516966e-16
98,1,le2,NA
98,1,sl,0.07766163981069366
98,1,sl2,0.07766163981069366
97,1,wt,0.44820275336486515
97,1,wt2,0
97,1,l,0.05874357112850518
97,1,l2,0.25950988319370144
97,1,fg,0.08343137367199781
97,1,fg2,0.22323566878771256
97,1,eb,0
97,1,eb2,0
97,1,im,0
97,1,im2,0
97,1,lp,0
97,1,lp2,0
97,1,le,0
97,1,le2,0.30600127444779235
97,1,sl,0.06907276434608424
97,1,sl2,0.06907276434608424
96,1,wt,0.6554587535412857
96,1,wt2,0
96,1,l,0
96,1,l2,0.6554587535412857
96,1,fg,0.21152648142104796
96,1,fg2,0.6554587535412857
96,1,eb,0
96,1,eb2,0.6554587535412857
96,1,im,0
96,1,im2,0
96,1,lp,0
96,1,lp2,0
96,1,le,0
96,1,le2,0.5837513369370434
96,1,sl,0
96,1,sl2,0
95,1,wt,0.4602027920034618
95,1,wt2,-2.9278934269206805e-16
95,1,l,0.26062305949318154
95,1,l2,0.3572653732698917
95,1,fg,0.26062305949318154
95,1,fg2,0.36318171086251816
95,1,eb,-2.9278934269206805e-16
95,1,eb2,0.43086839170936275
95,1,im,-2.9278934269206805e-16
95,1,im2,-2.9278934269206805e-16
95,1,lp,-2.9278934269206805e-16
95,1,lp2,0.04334485605543138
95,1,le,-2.9278934269206805e-16
95,1,le2,NA
95,1,sl,0.26062305949318154
95,1,sl2,0.26062305949318154
94,1,wt,0.4510628534391484
94,1,wt2,0
94,1,l,0.0659324914753517
94,1,l2,0.30192326927620117
94,1,fg,0.21993332787109826
94,1,fg2,0.34040951848157447
94,1,eb,0
94,1,eb2,0
94,1,im,0
94,1,im2,0
94,1,lp,0
94,1,lp2,0
94,1,le,0.19306397419176888
94,1,le2,0
94,1,sl,0.18015734204946507
94,1,sl2,0.15113140427642668
93,1,wt,0.0492621127894995
93,1,wt2,0
93,1,l,0.1495477567366736
93,1,l2,0.27677818502195534
93,1,fg,0.26339323354030064
93,1,fg2,0.22823798565038775
93,1,eb,0
93,1,eb2,0.09792783480852113
93,1,im,0
93,1,im2,0
93,1,lp,0
93,1,lp2,0
93,1,le,0
93,1,le2,NA
93,1,sl,0.26472738429070514
93,1,sl2,0.26339323354030064
92,1,wt,0.4740207725885228
92,1,wt2,-2.8754703841912284e-16
92,1,l,0.12685919961908285
92,1,l2,0.3929691237377202
92,1,fg,0.22849063610650103
92,1,fg2,0.3879727659995167
92,1,eb,-2.8754703841912284e-16
92,1,eb2,0.4166712232041536
92,1,im,-2.8754703841912284e-16
92,1,im2,-2.8754703841912284e-16
92,1,lp,-2.8754703841912284e-16
92,1,lp2,-2.8754703841912284e-16
92,1,le,-2.8754703841912284e-16
92,1,le2,0.39656384285321233
92,1,sl,0.1852195690639747
92,1,sl2,0.22109873770843283
91,1,wt,0.4462616032429175
91,1,wt2,0
91,1,l,0.04501690727486344
91,1,l2,0.14774211364091558
91,1,fg,0.08164071147932833
91,1,fg2,0.21144954835533708
91,1,eb,0
91,1,eb2,0
91,1,im,0
91,1,im2,0
91,1,lp,0
91,1,lp2,0
91,1,le,0
91,1,le2,0.29990656391416143
91,1,sl,0.11067906175414885
91,1,sl2,0.11067906175414885
90,1,wt,0.18379206113213534
90,1,wt2,0
90,1,l,0.09032394859185294
90,1,l2,0.31115720399564334
90,1,fg,0.09032394859185294
90,1,fg2,0.31115720399564334
90,1,eb,0
90,1,eb2,0.3049212184202522
90,1,im,0
90,1,im2,0
90,1,lp,0
