run,rho,method,NMI_scores
100,1,wt,0.3461725528976483
100,1,wt2,0
100,1,l,0.04725683668006154
100,1,l2,0.11960423735489281
100,1,fg,0.02862368894454339
100,1,fg2,0.12825572068697805
100,1,eb,0
100,1,eb2,0.2967258105186744
100,1,im,0
100,1,im2,0
100,1,lp,0
100,1,lp2,0
100,1,le,0
100,1,le2,0.20246519829559811
100,1,sl,0.04426361599394221
100,1,sl2,0.056033193139496236
99,1,wt,0.354780300829402
99,1,wt2,0
99,1,l,0.06770305089281378
99,1,l2,0.1381923440578432
99,1,fg,0.09237476988366347
99,1,fg2,0.14677182308789083
99,1,eb,0
99,1,eb2,0
99,1,im,0
99,1,im2,0
99,1,lp,0
99,1,lp2,0
99,1,le,0
99,1,le2,0
99,1,sl,0.09323777820563807
99,1,sl2,0.0842511861304121
98,1,wt,0.3708445620405558
98,1,wt2,0
98,1,l,0.06167905783576221
98,1,l2,0.23897771149877
98,1,fg,0.033219879726946386
98,1,fg2,0.26431004008047787
98,1,eb,0
98,1,eb2,0
98,1,im,0
98,1,im2,0
98,1,lp,0
98,1,lp2,0
98,1,le,0
98,1,le2,0
98,1,sl,0.06368059876988026
98,1,sl2,0.06368059876988026
97,1,wt,0.3457820237978711
97,1,wt2,0
97,1,l,0.01771670990011448
97,1,l2,0.10765642299640996
97,1,fg,0.007832179770164276
97,1,fg2,0.11952271354835853
97,1,eb,0
97,1,eb2,0
97,1,im,0
97,1,im2,0
97,1,lp,0
97,1,lp2,0
97,1,le,0
97,1,le2,0.19975194053285977
97,1,sl,0.016446529609058985
97,1,sl2,0.016446529609058985
96,1,wt,0.35103577237576433
96,1,wt2,0
96,1,l,0.09173010343761544
96,1,l2,0.1838061085722921
96,1,fg,0.10700439174301984
96,1,fg2,0.19537465373150456
96,1,eb,0
96,1,eb2,0.011339277379452563
96,1,im,0
96,1,im2,0
96,1,lp,0
96,1,lp2,0
96,1,le,0
96,1,le2,0
96,1,sl,0.0940592158492132
96,1,sl2,0.09105030387044244
95,1,wt,0.3471860014843446
95,1,wt2,0
95,1,l,0.09044869455223865
95,1,l2,0.16259550936026404
95,1,fg,0.10662347821311231
95,1,fg2,0.16689526703720853
95,1,eb,0
95,1,eb2,0
95,1,im,0
95,1,im2,0
95,1,lp,0
95,1,lp2,0
95,1,le,0
95,1,le2,0
95,1,sl,0.0840442982543923
95,1,sl2,0.11361667402918332
94,1,wt,0.3462180237824393
94,1,wt2,0
94,1,l,0.059972739165877906
94,1,l2,0.15130059064261686
94,1,fg,0.12614379359826497
94,1,fg2,0.1561025771023919
94,1,eb,0
94,1,eb2,0.03505777709486739
94,1,im,0
94,1,im2,0
94,1,lp,0
94,1,lp2,0
94,1,le,0
94,1,le2,0
94,1,sl,0.13921268849448695
94,1,sl2,0.13101386308206014
93,1,wt,0.35085755781849526
93,1,wt2,0
93,1,l,0.06813474877141995
93,1,l2,0.20536258944160526
93,1,fg,0.10480868982245124
93,1,fg2,0.22128958698142553
93,1,eb,0
93,1,eb2,0
93,1,im,0
93,1,im2,0
93,1,lp,0
93,1,lp2,0
93,1,le,0
93,1,le2,0
93,1,sl,0.10943413180050617
93,1,sl2,0.09587708550838044
92,1,wt,0.3381425789063622
92,1,wt2,0
92,1,l,0.019905305647542178
92,1,l2,0.1200846526590846
92,1,fg,0.04599176420978524
92,1,fg2,0.1462763835528955
92,1,eb,0
92,1,eb2,0.00878545364544787
92,1,im,0
92,1,im2,0
92,1,lp,0
92,1,lp2,0
92,1,le,0
92,1,le2,0.20129752693790548
92,1,sl,0.061240754659268044
92,1,sl2,0.05146385960159855
91,1,wt,0.35041887557923457
91,1,wt2,0
91,1,l,0.057244179404193636
91,1,l2,0.10966340661809626
91,1,fg,0.04286828772286125
91,1,fg2,0.11531068759240787
91,1,eb,0
91,1,eb2,0
91,1,im,0
91,1,im2,0
91,1,lp,0
91,1,lp2,0
91,1,le,0
91,1,le2,0.19921973142906324
91,1,sl,0.04575477697895042
91,1,sl2,0.04464548772801398
90,1,wt,0.34013603928166575
90,1,wt2,0
90,1,l,0
90,1,l2,0.12598175055233682
90,1,fg,0.05129907348874029
90,1,fg2,0.15221020274926045
90,1,eb,0
90,1,eb2,0
90,1,im,0
90,1,im2,0
90,1,lp,0
90,1,lp2,0
90,1,le,0
90,1,le2,0
90,1,sl,0.04832360108431589
90,1,sl2,0.04832360108431589
89,1,wt,0.3444599543400459
89,1,wt2,0
89,1,l,0.04530490255315533
89,1,l2,0.1244247244899781
89,1,fg,0.04267093369888681
89,1,fg2,0.1213409656436647
89,1,eb,0
89,1,eb2,0
89,1,im,0
89,1,im2,0
89,1,lp,0
89,1,lp2,0
89,1,le,0
89,1,le2,0.17999963338867264
89,1,sl,0.032422529046710086
89,1,sl2,0.0341762872650804
88,1,wt,0.5255757935678301
88,1,wt2,0
88,1,l,0
88,1,l2,0.5219368172071902
88,1,fg,0.05897915444063105
88,1,fg2,0.5219368172071902
88,1,eb,0
88,1,eb2,0
88,1,im,0
88,1,im2,0
88,1,lp,0
88,1,lp2,0
88,1,le,0
88,1,le2,0.45073399849165396
88,1,sl,0.05897915444063105
88,1,sl2,0.10656533843257877
87,1,wt,0.3473801971019642
87,1,wt2,0
87,1,l,0.03450480976613839
87,1,l2,0.1658977199622117
87,1,fg,0.028715256368495957
87,1,fg2,0.12124371070926468
87,1,eb,0
87,1,eb2,0
87,1,im,0
87,1,im2,0
87,1,lp,0
87,1,lp2,0
87,1,le,0
87,1,le2,0.1925821369159774
87,1,sl,0.03762415634555371
87,1,sl2,0.07500090308117986
86,1,wt,0.34760601142402175
86,1,wt2,0
86,1,l,0.041679166086785846
86,1,l2,0.13570781663657394
86,1,fg,0.07679581836579477
86,1,fg2,0.12843047772603522
86,1,eb,0
86,1,eb2,0
86,1,im,0
86,1,im2,0
86,1,lp,0
86,1,lp2,0
86,1,le,0
86,1,le2,0
86,1,sl,0.06433644204235453
86,1,sl2,0.052532890345360135
85,1,wt,0.34426264782962074
85,1,wt2,0
85,1,l,0.0642951199963068
85,1,l2,0.14329962465872303
85,1,fg,0.041044755855343854
85,1,fg2,0.17015962172814333
85,1,eb,0
85,1,eb2,0
85,1,im,0
85,1,im2,0
85,1,lp,0
85,1,lp2,0
85,1,le,0
85,1,le2,0
85,1,sl,0.07334716155165917
85,1,sl2,0.07334716155165917
84,1,wt,0.3413600377698247
84,1,wt2,0
84,1,l,0.04467281279280642
84,1,l2,0.1305471114086707
84,1,fg,0.044116995783248014
84,1,fg2,0.1334896004352957
84,1,eb,0
84,1,eb2,0.30058247233563007
84,1,im,0
84,1,im2,0
84,1,lp,0
84,1,lp2,0
