run,rho,method,NMI_scores
100,0.8,wt,0.3464915803977124
100,0.8,wt2,0
100,0.8,l,0.21475324027325046
100,0.8,l2,0.43743119613152304
100,0.8,fg,0.19021176951963648
100,0.8,fg2,0.4493860807288646
100,0.8,eb,0
100,0.8,eb2,0
100,0.8,im,0
100,0.8,im2,0
100,0.8,lp,0
100,0.8,lp2,0
100,0.8,le,0.29027831319496833
100,0.8,le2,0.5192575908853813
100,0.8,sl,0.24718126370303914
100,0.8,sl2,0.24505173968758603
99,0.8,wt,0.34624002388104835
99,0.8,wt2,0
99,0.8,l,0.221792987873721
99,0.8,l2,0.508381657026544
99,0.8,fg,0.21803957949466954
99,0.8,fg2,0.5140264113747134
99,0.8,eb,0
99,0.8,eb2,0
99,0.8,im,0
99,0.8,im2,0
99,0.8,lp,0
99,0.8,lp2,0
99,0.8,le,0.29116006913536036
99,0.8,le2,0.5550691796463874
99,0.8,sl,0.26054336458257576
99,0.8,sl2,0.2683948812325229
98,0.8,wt,0.3466937602686294
98,0.8,wt2,0
98,0.8,l,0.2543188033227207
98,0.8,l2,0.5361374052471566
98,0.8,fg,0.22811660809262002
98,0.8,fg2,0.41717864950431777
98,0.8,eb,0
98,0.8,eb2,0
98,0.8,im,0
98,0.8,im2,0
98,0.8,lp,0
98,0.8,lp2,0
98,0.8,le,0.3037849989673069
98,0.8,le2,0.4669454605359936
98,0.8,sl,0.24127289996859597
98,0.8,sl2,0.24127289996859597
97,0.8,wt,0.3480227935690604
97,0.8,wt2,0
97,0.8,l,0.22609265302356105
97,0.8,l2,0.3612274500856039
97,0.8,fg,0.18074108073167552
97,0.8,fg2,0.3373134466564083
97,0.8,eb,0
97,0.8,eb2,0
97,0.8,im,0
97,0.8,im2,0
97,0.8,lp,0
97,0.8,lp2,0
97,0.8,le,0.19969906911032065
97,0.8,le2,0.32551654114719725
97,0.8,sl,0.23844170988489707
97,0.8,sl2,0.22609265302356105
96,0.8,wt,0.34596239569819065
96,0.8,wt2,0
96,0.8,l,0.05491672263910217
96,0.8,l2,0.3634548215455045
96,0.8,fg,0.07076370733859201
96,0.8,fg2,0.34439827364107267
96,0.8,eb,0
96,0.8,eb2,0
96,0.8,im,0
96,0.8,im2,0
96,0.8,lp,0
96,0.8,lp2,0
96,0.8,le,0
96,0.8,le2,0.34257648103113697
96,0.8,sl,0.1681589248426303
96,0.8,sl2,0.15504815087689122
95,0.8,wt,0
95,0.8,wt2,0
95,0.8,l,0.2626235655480442
95,0.8,l2,0.5913186210314277
95,0.8,fg,0.02503202947535556
95,0.8,fg2,0.4897097415472624
95,0.8,eb,0
95,0.8,eb2,0.3313327438503513
95,0.8,im,0
95,0.8,im2,0
95,0.8,lp,0
95,0.8,lp2,0
95,0.8,le,0
95,0.8,le2,0.525509428087283
95,0.8,sl,0.21519302057066353
95,0.8,sl2,0.2233615641417825
94,0.8,wt,0.3449586076326274
94,0.8,wt2,0
