run,rho,method,NMI_scores
100,0.5,wt,1
100,0.5,wt2,1
100,0.5,l,1
100,0.5,l2,1
100,0.5,fg,1
100,0.5,fg2,1
100,0.5,eb,0
100,0.5,eb2,0.3472133415007778
100,0.5,im,0
100,0.5,im2,0
100,0.5,lp,0
100,0.5,lp2,0
100,0.5,le,0.814250452903034
100,0.5,le2,0.9254737330508324
100,0.5,sl,0.97491978684571
100,0.5,sl2,1
99,0.5,wt,1
99,0.5,wt2,1
99,0.5,l,1
99,0.5,l2,1
99,0.5,fg,1
99,0.5,fg2,1
99,0.5,eb,0.31899298788142116
99,0.5,eb2,0.31531817423296954
99,0.5,im,0
99,0.5,im2,0
99,0.5,lp,0
99,0.5,lp2,0
99,0.5,le,0.8736885686700081
99,0.5,le2,0.846541245909628
99,0.5,sl,0.9749347115917215
99,0.5,sl2,1
98,0.5,wt,0.813798950819886
98,0.5,wt2,0.813798950819886
98,0.5,l,0.813798950819886
98,0.5,l2,0.9742268199931782
98,0.5,fg,0.813798950819886
98,0.5,fg2,0.813798950819886
98,0.5,eb,0
98,0.5,eb2,0.3755999730703982
98,0.5,im,0
98,0.5,im2,0
98,0.5,lp,0
98,0.5,lp2,0
98,0.5,le,0.813798950819886
98,0.5,le2,0.8593876449872249
98,0.5,sl,0.8177865078852051
98,0.5,sl2,0.813798950819886
97,0.5,wt,1
97,0.5,wt2,1
97,0.5,l,1
97,0.5,l2,1
97,0.5,fg,1
97,0.5,fg2,1
97,0.5,eb,0
97,0.5,eb2,0.3568016462742521
97,0.5,im,0
97,0.5,im2,0
97,0.5,lp,0
97,0.5,lp2,0
97,0.5,le,0.912886952621734
97,0.5,le2,0.8804815058788202
97,0.5,sl,1
97,0.5,sl2,1
96,0.5,wt,1
96,0.5,wt2,1
96,0.5,l,1
96,0.5,l2,1
96,0.5,fg,1
96,0.5,fg2,1
96,0.5,eb,0
96,0.5,eb2,0.3629796554740698
96,0.5,im,0
96,0.5,im2,0
96,0.5,lp,0
96,0.5,lp2,0
96,0.5,le,0.853842298545348
96,0.5,le2,0.7716991662238613
96,0.5,sl,0.9758957306767068
96,0.5,sl2,0.9529859265367611
95,0.5,wt,0.8148827611287048
95,0.5,wt2,0.8148827611287048
95,0.5,l,0.8148827611287048
95,0.5,l2,1
95,0.5,fg,0.8148827611287048
95,0.5,fg2,1
95,0.5,eb,0
95,0.5,eb2,0.35255414266817353
95,0.5,im,0
95,0.5,im2,0
95,0.5,lp,0
95,0.5,lp2,0
95,0.5,le,0.8420590520168425
95,0.5,le2,0.8941185734898798
95,0.5,sl,0.7934923937494414
95,0.5,sl2,0.7941010739807893
94,0.5,wt,0.8153009202244522
94,0.5,wt2,0.8153009202244522
94,0.5,l,0.8153009202244522
94,0.5,l2,0.7959898110179284
94,0.5,fg,0.531671741290333
94,0.5,fg2,0.523665102608452
94,0.5,eb,0
94,0.5,eb2,0.32328554459869824
94,0.5,im,0
94,0.5,im2,0
94,0.5,lp,0
94,0.5,lp2,0
94,0.5,le,0.662890366052398
94,0.5,le2,0.8104495336613313
94,0.5,sl,0.556188473478289
94,0.5,sl2,0.556188473478289
93,0.5,wt,1
93,0.5,wt2,1
93,0.5,l,1
93,0.5,l2,1
93,0.5,fg,1
93,0.5,fg2,1
93,0.5,eb,0
93,0.5,eb2,0.35552324127189416
93,0.5,im,0
93,0.5,im2,0
93,0.5,lp,0
93,0.5,lp2,0
93,0.5,le,0.7151166641821785
93,0.5,le2,0.7475837083098393
93,0.5,sl,1
93,0.5,sl2,1
92,0.5,wt,1
92,0.5,wt2,1
92,0.5,l,1
92,0.5,l2,1
92,0.5,fg,1
92,0.5,fg2,1
92,0.5,eb,0
92,0.5,eb2,0.37680817620373463
92,0.5,im,0
92,0.5,im2,0
92,0.5,lp,0
92,0.5,lp2,0
92,0.5,le,0.7573526165726924
92,0.5,le2,0.9751013076844326
92,0.5,sl,1
92,0.5,sl2,1
91,0.5,wt,1
91,0.5,wt2,1
91,0.5,l,1
91,0.5,l2,1
91,0.5,fg,1
91,0.5,fg2,1
91,0.5,eb,0.3293716826757394
91,0.5,eb2,0.3293716826757394
91,0.5,im,0
91,0.5,im2,0
91,0.5,lp,0
91,0.5,lp2,0
91,0.5,le,0.9219056670533633
91,0.5,le2,0.9391433610087836
91,0.5,sl,1
91,0.5,sl2,1
90,0.5,wt,1
90,0.5,wt2,0.7823336464165394
90,0.5,l,1
90,0.5,l2,1
90,0.5,fg,1
90,0.5,fg2,1
90,0.5,eb,0
90,0.5,eb2,0.35859675038447014
90,0.5,im,0
90,0.5,im2,0
90,0.5,lp,0
90,0.5,lp2,0
90,0.5,le,0.8179668379776209
90,0.5,le2,0.7843721218972165
90,0.5,sl,1
90,0.5,sl2,1
89,0.5,wt,1
89,0.5,wt2,1
89,0.5,l,1
89,0.5,l2,1
89,0.5,fg,1
89,0.5,fg2,1
89,0.5,eb,0
89,0.5,eb2,0.33803348950321904
89,0.5,im,0
89,0.5,im2,0
89,0.5,lp,0
89,0.5,lp2,0
89,0.5,le,0.8842170211958654
89,0.5,le2,0.7941115367565471
89,0.5,sl,1
89,0.5,sl2,1
88,0.5,wt,1
88,0.5,wt2,1
88,0.5,l,1
88,0.5,l2,1
88,0.5,fg,1
88,0.5,fg2,1
88,0.5,eb,0
88,0.5,eb2,0.34645938184494884
88,0.5,im,0
88,0.5,im2,0
88,0.5,lp,0
88,0.5,lp2,0
88,0.5,le,0.8941789890420102
88,0.5,le2,0.8287346998395273
88,0.5,sl,0.9498678499364631
88,0.5,sl2,0.9758096063573953
87,0.5,wt,1
87,0.5,wt2,1
87,0.5,l,1
87,0.5,l2,1
87,0.5,fg,1
87,0.5,fg2,1
87,0.5,eb,0
87,0.5,eb2,0.3470501970742287
87,0.5,im,0
87,0.5,im2,0
87,0.5,lp,0
87,0.5,lp2,0
87,0.5,le,0.8825651004731305
87,0.5,le2,0.8652360370656985
87,0.5,sl,0.9748313831697992
87,0.5,sl2,1
86,0.5,wt,1
86,0.5,wt2,1
86,0.5,l,1
86,0.5,l2,1
86,0.5,fg,1
86,0.5,fg2,1
86,0.5,eb,0
86,0.5,eb2,0.4114824161732898
86,0.5,im,0
86,0.5,im2,0
86,0.5,lp,0
86,0.5,lp2,0
86,0.5,le,0.7893747201969237
86,0.5,le2,0.7869344088173427
86,0.5,sl,0.9747904947093515
86,0.5,sl2,1
85,0.5,wt,1
85,0.5,wt2,1
85,0.5,l,1
85,0.5,l2,1
85,0.5,fg,1
85,0.5,fg2,1
85,0.5,eb,0
85,0.5,eb2,0.35614968564166094
85,0.5,im,0
85,0.5,im2,0
85,0.5,lp,0
85,0.5,lp2,0
85,0.5,le,0.9510661607740039
85,0.5,le2,0.9053521020034262
85,0.5,sl,1
85,0.5,sl2,0.9753402568156992
84,0.5,wt,1
