run,rho,method,NMI_scores
100,1,wt,0.3457282156447226
100,1,wt2,0
100,1,l,0.009053795153396816
100,1,l2,0.12728334138870304
100,1,fg,0.0038108240806650497
100,1,fg2,0.16441891004108605
100,1,eb,0
100,1,eb2,0.3457282156447226
100,1,im,0
100,1,im2,0
100,1,lp,0
100,1,lp2,0
100,1,le,0
100,1,le2,0.16902656481284908
100,1,sl,0.015516890574073221
100,1,sl2,0.015516890574073221
99,1,wt,0.3485162224259222
99,1,wt2,0
99,1,l,0.020416933181601354
99,1,l2,0.11812983079930896
99,1,fg,0.02099340053555477
99,1,fg2,0.1304450566772895
99,1,eb,0
99,1,eb2,0.3468520609193863
99,1,im,0
99,1,im2,0
99,1,lp,0
99,1,lp2,0
99,1,le,0.022804210382860717
99,1,le2,0.17803260129465273
99,1,sl,0.03390243150171175
99,1,sl2,0.02789408391547507
98,1,wt,0.33345485796275387
98,1,wt2,0
98,1,l,0.0038645559777415713
98,1,l2,0.13240592752012154
98,1,fg,0.0058761473473472586
98,1,fg2,0.11661266534601214
98,1,eb,0
98,1,eb2,0.33244608286377375
98,1,im,0
98,1,im2,0
98,1,lp,0
98,1,lp2,0
98,1,le,0.010217965644901454
98,1,le2,0.1722470893451389
98,1,sl,0.014549548939866437
98,1,sl2,0.014549548939866437
97,1,wt,0.34596239569819065
97,1,wt2,0
97,1,l,0.005524799581086984
97,1,l2,0.14836468541942055
97,1,fg,0.005953668874260706
97,1,fg2,0.13029506262969673
97,1,eb,0
97,1,eb2,0.34596239569819065
97,1,im,0
97,1,im2,0
97,1,lp,0
97,1,lp2,0
97,1,le,0.01869676648114966
97,1,le2,0.18263768351655746
97,1,sl,0.004118455274148244
97,1,sl2,0.006000136137132936
96,1,wt,0.347312078808977
96,1,wt2,0
96,1,l,0.02616952955871997
96,1,l2,0.1431061412561066
96,1,fg,0.009578873540676177
96,1,fg2,0.1823794701693812
96,1,eb,0
96,1,eb2,0.327977153539982
96,1,im,0
96,1,im2,0
96,1,lp,0
96,1,lp2,0
96,1,le,0
96,1,le2,0.2016090657777475
96,1,sl,0.024729232313584055
96,1,sl2,0.025364010333559058
95,1,wt,0.3430075281961387
95,1,wt2,0
95,1,l,0.012670221851613822
95,1,l2,0.18796355204834866
95,1,fg,0.008130270921777856
95,1,fg2,0.1360641068687648
95,1,eb,0
95,1,eb2,0.3332352220519779
95,1,im,0
95,1,im2,0
95,1,lp,0
95,1,lp2,0
95,1,le,0
95,1,le2,0.20812949276187942
95,1,sl,0.03615725778688603
95,1,sl2,0.041535924683115094
94,1,wt,0.3479240562608612
94,1,wt2,0
94,1,l,0.0026830434163282423
94,1,l2,0.13550999777407974
94,1,fg,0.0031372949959838203
94,1,fg2,0.14953726411106813
94,1,eb,0
94,1,eb2,0.3479240562608612
94,1,im,0
94,1,im2,0
94,1,lp,0
94,1,lp2,0.3479240562608612
94,1,le,0.004715355040870371
94,1,le2,0.19332192137964024
94,1,sl,0.018544754448062944
94,1,sl2,0.018544754448062944
93,1,wt,0.3475976539487012
93,1,wt2,0
93,1,l,0.02880838060825615
93,1,l2,0.14405616899573873
93,1,fg,0.025224670530521284
93,1,fg2,0.14104988224221054
93,1,eb,0
93,1,eb2,0.3475976539487012
93,1,im,0
93,1,im2,0
93,1,lp,0
93,1,lp2,0.3475976539487012
93,1,le,0.0032407361234699696
93,1,le2,0.165022456792621
93,1,sl,0.012809262805759211
93,1,sl2,0.01577616995514757
92,1,wt,0.3484942602450445
92,1,wt2,0
92,1,l,0.005600437246784338
92,1,l2,0.11658243159512746
92,1,fg,0.02160003534740174
92,1,fg2,0.14893550923882137
92,1,eb,0
92,1,eb2,0.3399710492372712
92,1,im,0
92,1,im2,0
92,1,lp,0
92,1,lp2,0
92,1,le,0
92,1,le2,0.1411320384889151
92,1,sl,0.003001066288350575
92,1,sl2,0.015624653087260007
91,1,wt,0.344216284926842
91,1,wt2,0
91,1,l,0.002388689314087562
91,1,l2,0.14889809920170258
91,1,fg,0.0064060686710668314
91,1,fg2,0.15827855169100755
91,1,eb,0
91,1,eb2,0.3295571731501679
91,1,im,0
91,1,im2,0
91,1,lp,0
91,1,lp2,0.344216284926842
91,1,le,0.00926419650090055
91,1,le2,0.16602493117852077
91,1,sl,0.002523820044818934
91,1,sl2,0.002523820044818934
90,1,wt,0.34634995296906856
90,1,wt2,0
90,1,l,0
90,1,l2,0.13266491787963197
90,1,fg,0.02685115195670587
90,1,fg2,0.09162805054660035
90,1,eb,0
90,1,eb2,0.347395718284758
90,1,im,0
90,1,im2,0
90,1,lp,0
90,1,lp2,0
90,1,le,0
90,1,le2,0.19149798260997292
90,1,sl,0.006724397384436524
90,1,sl2,0.007872551761198112
89,1,wt,0.3392897496131077
89,1,wt2,0
89,1,l,0.005814672831337943
89,1,l2,0.15105233535291446
89,1,fg,0.007038376183408606
89,1,fg2,0.14087655641645255
89,1,eb,0
89,1,eb2,0.3244306193756264
89,1,im,0
89,1,im2,0
89,1,lp,0
89,1,lp2,0
89,1,le,0
89,1,le2,0.16328309500157143
89,1,sl,0.03394991359363852
89,1,sl2,0.02802318302625654
88,1,wt,0.3439278026163063
88,1,wt2,0
88,1,l,0.0044611636759639105
88,1,l2,0.14115812260427688
88,1,fg,0.013427153408008905
88,1,fg2,0.14410402295596703
88,1,eb,0
88,1,eb2,0.3439278026163063
88,1,im,0
88,1,im2,0
88,1,lp,0
88,1,lp2,0
88,1,le,0
88,1,le2,0.11913279881169322
88,1,sl,0.0018333446365744633
88,1,sl2,0.002379982070376586
87,1,wt,0
87,1,wt2,0
87,1,l,0.01847878330651972
87,1,l2,0.14333588231342664
87,1,fg,0.00867427740532363
87,1,fg2,0.12636215871821474
87,1,eb,0
87,1,eb2,0.34243666568344083
87,1,im,0
87,1,im2,0
87,1,lp,0
87,1,lp2,0
87,1,le,0
87,1,le2,0.17779385003738282
87,1,sl,0.010852532550384117
87,1,sl2,0.009655324835697221
86,1,wt,0.34937638326322557
86,1,wt2,0
86,1,l,0
86,1,l2,0.134329789472554
86,1,fg,0.009819073234165575
86,1,fg2,0.1170253809360252
86,1,eb,0
86,1,eb2,0.34937638326322557
86,1,im,0
86,1,im2,0
86,1,lp,0
86,1,lp2,0
86,1,le,0
86,1,le2,0.16365547784071366
86,1,sl,0.03170978709641959
86,1,sl2,0.02406400054727368
85,1,wt,0.33848676255865323
85,1,wt2,0
85,1,l,0
85,1,l2,0.14570376070898902
85,1,fg,0.04452267885404501
85,1,fg2,0.14346610999661694
