run,rho,method,NMI_scores
100,1,wt,0.3487063217125463
100,1,wt2,0
100,1,l,0.00242825193040583
100,1,l2,0.13931089545168265
100,1,fg,0.019767559777914976
100,1,fg2,0.13427381321261234
100,1,eb,0
100,1,eb2,0.3487063217125463
100,1,im,0
100,1,im2,0
100,1,lp,0
100,1,lp2,0.3487063217125463
100,1,le,0.009721758212887595
100,1,le2,0.17155055328367924
100,1,sl,0.03447111820702722
100,1,sl2,0.03959443470497043
99,1,wt,0.3473801971019642
99,1,wt2,0
99,1,l,0.04586465170999874
99,1,l2,0.11780883424421443
99,1,fg,0.004655178145106671
99,1,fg2,0.10768341368891753
99,1,eb,0
99,1,eb2,0.34540968390179705
99,1,im,0
99,1,im2,0
99,1,lp,0
99,1,lp2,0.3473801971019642
99,1,le,0.011835503868368692
99,1,le2,0.13521068248746312
99,1,sl,0.005681887546490993
99,1,sl2,0.009206074412428657
98,1,wt,0.34155501800375954
98,1,wt2,0
98,1,l,0.005392702601919092
98,1,l2,0.13211919245483766
98,1,fg,0.019638146035272596
98,1,fg2,0.1080519909335286
98,1,eb,0
98,1,eb2,0.34155501800375954
98,1,im,0
98,1,im2,0
98,1,lp,0
98,1,lp2,0
98,1,le,0
98,1,le2,0.17853953983820425
98,1,sl,0.004452225289499591
98,1,sl2,0.004584099850695741
97,1,wt,0.3475232815152491
97,1,wt2,0
97,1,l,0.018523399301874403
97,1,l2,0.13848209975734913
97,1,fg,0.02598917589887647
97,1,fg2,0.13252194894923222
97,1,eb,0
97,1,eb2,0.3475232815152491
97,1,im,0
97,1,im2,0
97,1,lp,0
97,1,lp2,0.3475232815152491
97,1,le,0.016464071952189786
97,1,le2,0.1686862059868903
97,1,sl,0.016696448435031968
97,1,sl2,0.019696833877314662
96,1,wt,0.34817256318740303
96,1,wt2,0
96,1,l,0.010130209885727588
96,1,l2,0.17230149796248306
96,1,fg,0.011454033682204608
96,1,fg2,0.13578652629086008
96,1,eb,0
96,1,eb2,0.34620444244885556
96,1,im,0
96,1,im2,0
96,1,lp,0
96,1,lp2,0.34817256318740303
96,1,le,0.04150849603321165
96,1,le2,0.14505023476723244
96,1,sl,0.0232997749052376
96,1,sl2,0.03439711717543891
95,1,wt,0.3463801482429031
95,1,wt2,0
95,1,l,0.006655746047834366
95,1,l2,0.09929619886313705
95,1,fg,0.01750066007727976
95,1,fg2,0.1431374259429511
95,1,eb,0
95,1,eb2,0.3463801482429031
95,1,im,0
95,1,im2,0
95,1,lp,0
95,1,lp2,0
95,1,le,0
95,1,le2,0.1663880515573461
95,1,sl,0.01388872781473864
95,1,sl2,0.0022796979429095103
94,1,wt,0.3420878173440415
94,1,wt2,0
94,1,l,0.023993942377209206
94,1,l2,0.15411730624692482
94,1,fg,0.007297461900686505
94,1,fg2,0.13566857575096172
94,1,eb,0
94,1,eb2,0.3420878173440415
94,1,im,0
94,1,im2,0
94,1,lp,0
94,1,lp2,0
94,1,le,0
94,1,le2,0.19814074576113028
94,1,sl,0.014869536540940764
94,1,sl2,0.014869536540940764
93,1,wt,0.34872930057877966
93,1,wt2,0
93,1,l,0.021526814220602243
93,1,l2,0.1404976388419005
93,1,fg,0.024253733109572136
93,1,fg2,0.11990115816667295
93,1,eb,0
93,1,eb2,0.34872930057877966
93,1,im,0
93,1,im2,0
93,1,lp,0
93,1,lp2,0.34872930057877966
93,1,le,0.02351440886656281
93,1,le2,0.1890694762904964
93,1,sl,0.03447688639265271
93,1,sl2,0.04660888120459878
92,1,wt,0.01852248748959959
92,1,wt2,0
92,1,l,0.024866678486645012
92,1,l2,0.13112334981844004
92,1,fg,0.01399086597732454
92,1,fg2,0.11669664636093594
92,1,eb,0
92,1,eb2,0.3453139743063039
92,1,im,0
92,1,im2,0
92,1,lp,0
92,1,lp2,0.3453139743063039
92,1,le,0.01542627031910933
92,1,le2,0.1760848342530833
92,1,sl,0.021501973206794058
92,1,sl2,0.014407742997257784
91,1,wt,0.023036120154609686
91,1,wt2,0
91,1,l,0.004315607475240337
91,1,l2,0.1468566468834404
91,1,fg,0.0011495516759991106
91,1,fg2,0.15442064571940686
91,1,eb,0
91,1,eb2,0.3473801971019642
91,1,im,0
91,1,im2,0
91,1,lp,0
91,1,lp2,0.3473801971019642
91,1,le,0.014277912577437064
91,1,le2,0.1690757048957639
91,1,sl,0.03132020527421431
91,1,sl2,0.034119850596659555
90,1,wt,0.34232310616244976
90,1,wt2,0
90,1,l,0.003405638836105212
90,1,l2,0.13300849809608223
90,1,fg,0.005792109380030069
90,1,fg2,0.11127204228468952
90,1,eb,0
90,1,eb2,0.34232310616244976
90,1,im,0
90,1,im2,0
90,1,lp,0
90,1,lp2,0
90,1,le,0
90,1,le2,0.1764441985405491
90,1,sl,0.00890250018963224
90,1,sl2,0.0076680691891081055
89,1,wt,0.34244617457681015
89,1,wt2,0
89,1,l,0.024730738659935997
89,1,l2,0.16888981188185676
89,1,fg,0.020908911936003395
89,1,fg2,0.11862597278962779
89,1,eb,0
89,1,eb2,0.34167598235046376
89,1,im,0
89,1,im2,0
89,1,lp,0
89,1,lp2,0
89,1,le,0.0275364031345818
89,1,le2,0.16708911407266797
