run,rho,method,NMI_scores
100,0.9,wt,0.33780092503111225
100,0.9,wt2,0
100,0.9,l,0.09732872712818148
100,0.9,l2,0.24921233964836423
100,0.9,fg,0.07346462389521918
100,0.9,fg2,0.2593114575190545
100,0.9,eb,0
100,0.9,eb2,0.33780092503111225
100,0.9,im,0
100,0.9,im2,0
100,0.9,lp,0
100,0.9,lp2,0.33780092503111225
100,0.9,le,0.06619722586991224
100,0.9,le2,0.2508547122396574
100,0.9,sl,0.0776075289415471
100,0.9,sl2,0.07200453853612643
99,0.9,wt,0.3402321868796195
99,0.9,wt2,0
99,0.9,l,0.11011533910128765
99,0.9,l2,0.2404232943793822
99,0.9,fg,0.08325126856322698
99,0.9,fg2,0.2503231519616894
99,0.9,eb,0
99,0.9,eb2,0.3381293411079792
99,0.9,im,0
99,0.9,im2,0
99,0.9,lp,0
99,0.9,lp2,0
99,0.9,le,0
99,0.9,le2,0.22765158189387244
99,0.9,sl,0.1330676083700116
99,0.9,sl2,0.1386828942693547
98,0.9,wt,0.3473010324659949
98,0.9,wt2,0
98,0.9,l,0.08821367659183904
98,0.9,l2,0.20780798327811403
98,0.9,fg,0.07337096450587435
98,0.9,fg2,0.20248541333996659
98,0.9,eb,0
98,0.9,eb2,0.33638259547637644
98,0.9,im,0
98,0.9,im2,0
98,0.9,lp,0
98,0.9,lp2,0.3473010324659949
98,0.9,le,0.09164782721182002
98,0.9,le2,0.22424551074130056
98,0.9,sl,0.01671014197154184
98,0.9,sl2,0.022645048918611937
97,0.9,wt,0.34399782666643175
97,0.9,wt2,0
97,0.9,l,0.037533415288849875
97,0.9,l2,0.22093843789617013
97,0.9,fg,0.03134111613499574
97,0.9,fg2,0.2201975410665372
97,0.9,eb,0
97,0.9,eb2,0.3423010947193426
97,0.9,im,0
97,0.9,im2,0
97,0.9,lp,0
97,0.9,lp2,0
97,0.9,le,0
97,0.9,le2,0.20909207357032544
97,0.9,sl,0.008864439610217168
97,0.9,sl2,0.07642354898934386
96,0.9,wt,0.34863056327058034
96,0.9,wt2,0
96,0.9,l,0.12899410254708893
96,0.9,l2,0.20525400619545592
96,0.9,fg,0.0353584050571701
96,0.9,fg2,0.18338115752015566
96,0.9,eb,0
96,0.9,eb2,0.34498120938155064
96,0.9,im,0
96,0.9,im2,0
96,0.9,lp,0
96,0.9,lp2,0
96,0.9,le,0
96,0.9,le2,0.24992073348563368
96,0.9,sl,0.03777563332505663
96,0.9,sl2,0.03777563332505663
95,0.9,wt,0.3447368231116595
95,0.9,wt2,0
95,0.9,l,0.11213600580839145
95,0.9,l2,0.19350735949574302
95,0.9,fg,0.014099017253902314
95,0.9,fg2,0.1880389160730506
95,0.9,eb,0
95,0.9,eb2,0.34577771776044075
95,0.9,im,0
95,0.9,im2,0
95,0.9,lp,0
95,0.9,lp2,0
95,0.9,le,0.13781532347730288
95,0.9,le2,0.20314729574757562
95,0.9,sl,0.05367876551765534
95,0.9,sl2,0.028702091778422215
94,0.9,wt,0.3436920422817337
94,0.9,wt2,0
94,0.9,l,0.037208897369987164
94,0.9,l2,0.2853550010519409
94,0.9,fg,0.010630190966123365
94,0.9,fg2,0.2640122660803691
94,0.9,eb,0
94,0.9,eb2,0.3389611066888067
94,0.9,im,0
94,0.9,im2,0
94,0.9,lp,0
94,0.9,lp2,0
94,0.9,le,0
94,0.9,le2,0.253257529760421
94,0.9,sl,0.011000696683418304
94,0.9,sl2,0.019044406107308533
93,0.9,wt,0.34691672001807167
93,0.9,wt2,0
93,0.9,l,0
93,0.9,l2,0.22800413486279744
93,0.9,fg,0.06195910163710798
93,0.9,fg2,0.20756781960751514
93,0.9,eb,0
93,0.9,eb2,0.3452410286454367
93,0.9,im,0
93,0.9,im2,0
93,0.9,lp,0
93,0.9,lp2,0
93,0.9,le,0
93,0.9,le2,0.22888681768897998
93,0.9,sl,0.0689062933929086
93,0.9,sl2,0.06917688838359635
92,0.9,wt,0
92,0.9,wt2,0
92,0.9,l,0.07602988009731887
