run,rho,method,NMI_scores
100,1,wt,0.34276393052831966
100,1,wt2,0
100,1,l,0.00762289451622968
100,1,l2,0.09145690712403408
100,1,fg,0.003919914369639412
100,1,fg2,0.120895012598902
100,1,eb,0
100,1,eb2,0.3408475440027693
100,1,im,0
100,1,im2,0
100,1,lp,0
100,1,lp2,0
100,1,le,0
100,1,le2,0.17689816124652294
100,1,sl,0.010157208989528302
100,1,sl2,0.005651945283044321
99,1,wt,0.3466937602686294
99,1,wt2,0
99,1,l,0.00317445106247881
99,1,l2,0.1469634433801291
99,1,fg,0.023166160597804537
99,1,fg2,0.13250155725906532
99,1,eb,0
99,1,eb2,0.34472117444848477
99,1,im,0
99,1,im2,0
99,1,lp,0
99,1,lp2,0
99,1,le,0
99,1,le2,0.15699027360406007
99,1,sl,0.0017601018014756545
99,1,sl2,0.0035908330889331238
98,1,wt,0.3460504102065187
98,1,wt2,0
98,1,l,0.01033019286200306
98,1,l2,0.14146943706577542
98,1,fg,0.013746142347437245
98,1,fg2,0.14677391391180553
98,1,eb,0
98,1,eb2,0.3413364746920234
98,1,im,0
98,1,im2,0
98,1,lp,0
98,1,lp2,0
98,1,le,0
98,1,le2,0.16727805190473383
98,1,sl,0.021755149083546223
98,1,sl2,0.0023582757853967233
97,1,wt,0.3459360693618605
97,1,wt2,0
97,1,l,0.010331382689177838
97,1,l2,0.1488296127200132
97,1,fg,0.007368057252934909
97,1,fg2,0.15839623713896456
97,1,eb,0
97,1,eb2,0.34425330905910034
97,1,im,0
97,1,im2,0
97,1,lp,0
97,1,lp2,0
97,1,le,0
97,1,le2,0.11739752813240546
97,1,sl,0.01812258360891948
97,1,sl2,0.004112993479037291
96,1,wt,0.3475232815152491
96,1,wt2,0
96,1,l,0.011985864790342343
96,1,l2,0.12770804563698798
96,1,fg,0.010715463995567
96,1,fg2,0.14733818825216285
96,1,eb,0
96,1,eb2,0.3475232815152491
96,1,im,0
96,1,im2,0
96,1,lp,0
96,1,lp2,0
96,1,le,0
96,1,le2,0.1513812383787445
96,1,sl,0.013273211462710682
96,1,sl2,0.019126309810050725
95,1,wt,0.34702016258078944
95,1,wt2,0
95,1,l,0
95,1,l2,0.14844181098401113
95,1,fg,0.0071669923699481455
95,1,fg2,0.15665578169329583
95,1,eb,0
95,1,eb2,0.33704164504491296
95,1,im,0
95,1,im2,0
95,1,lp,0
95,1,lp2,0
95,1,le,0
95,1,le2,0.17994714240452336
95,1,sl,0.005043134848302531
95,1,sl2,0.010731988765741586
94,1,wt,0.3457240078943587
94,1,wt2,0
