run,rho,method,NMI_scores
10,0.5,wt,1
10,0.5,wt2,1
10,0.5,l,1
10,0.5,l2,1
10,0.5,fg,1
10,0.5,fg2,1
10,0.5,eb,0.3522661070787584
10,0.5,eb2,0.34198795511268987
10,0.5,im,0
10,0.5,im2,0
10,0.5,lp,0
10,0.5,lp2,0
10,0.5,le,0.8140696362550339
10,0.5,le2,0.9013791473652806
10,0.5,sl,1
10,0.5,sl2,0.9509505693199262
10,0.5,op,1
10,0.5,op2,1
9,0.5,wt,1
9,0.5,wt2,1
9,0.5,l,1
9,0.5,l2,1
9,0.5,fg,1
9,0.5,fg2,1
9,0.5,eb,0.3947526510916718
9,0.5,eb2,0.39692203365221657
9,0.5,im,0
9,0.5,im2,0
9,0.5,lp,0
9,0.5,lp2,0
9,0.5,le,0.9021157419856699
9,0.5,le2,0.8247629653130906
9,0.5,sl,1
9,0.5,sl2,1
9,0.5,op,1
9,0.5,op2,1
8,0.5,wt,1
8,0.5,wt2,1
8,0.5,l,1
8,0.5,l2,1
8,0.5,fg,1
8,0.5,fg2,1
8,0.5,eb,0.3762927358538902
8,0.5,eb2,0.3762927358538902
8,0.5,im,0
8,0.5,im2,0
8,0.5,lp,0
8,0.5,lp2,0
8,0.5,le,1
8,0.5,le2,1
8,0.5,sl,1
8,0.5,sl2,0.9742523038324297
8,0.5,op,1
8,0.5,op2,1
7,0.5,wt,1
7,0.5,wt2,1
7,0.5,l,1
7,0.5,l2,1
7,0.5,fg,1
7,0.5,fg2,1
7,0.5,eb,0.41971506089823624
7,0.5,eb2,0.4206532782395988
7,0.5,im,0
7,0.5,im2,0
7,0.5,lp,0
7,0.5,lp2,0
7,0.5,le,0.8222950747135754
7,0.5,le2,0.8680187298388503
7,0.5,sl,0.9756638591802634
7,0.5,sl2,1
7,0.5,op,1
7,0.5,op2,1
6,0.5,wt,1
6,0.5,wt2,1
6,0.5,l,1
6,0.5,l2,1
6,0.5,fg,1
6,0.5,fg2,1
6,0.5,eb,0.36356157860689303
6,0.5,eb2,0.374058510236883
6,0.5,im,0
6,0.5,im2,0
6,0.5,lp,0
6,0.5,lp2,0
6,0.5,le,0.7343859251671111
6,0.5,le2,0.9221296259877204
6,0.5,sl,1
6,0.5,sl2,1
6,0.5,op,1
6,0.5,op2,1
5,0.5,wt,1
5,0.5,wt2,1
5,0.5,l,1
5,0.5,l2,1
5,0.5,fg,1
5,0.5,fg2,1
5,0.5,eb,0.34365537906677734
5,0.5,eb2,0.3480686987332892
5,0.5,im,0
5,0.5,im2,0
5,0.5,lp,0
5,0.5,lp2,0
5,0.5,le,0.828963922711927
5,0.5,le2,0.7620922019110581
5,0.5,sl,1
5,0.5,sl2,1
5,0.5,op,1
5,0.5,op2,1
4,0.5,wt,1
4,0.5,wt2,1
4,0.5,l,1
4,0.5,l2,1
4,0.5,fg,1
4,0.5,fg2,1
4,0.5,eb,0.30756195436767525
4,0.5,eb2,0.3516371671963044
4,0.5,im,0
4,0.5,im2,0
4,0.5,lp,0
4,0.5,lp2,0
4,0.5,le,0.8935995056283147
4,0.5,le2,0.846888661694978
4,0.5,sl,1
4,0.5,sl2,1
4,0.5,op,1
4,0.5,op2,1
3,0.5,wt,1
3,0.5,wt2,1
3,0.5,l,1
3,0.5,l2,1
3,0.5,fg,1
3,0.5,fg2,1
3,0.5,eb,0
3,0.5,eb2,0.42743488918945566
3,0.5,im,0
3,0.5,im2,0
3,0.5,lp,0
3,0.5,lp2,0
3,0.5,le,0.9038958028027604
3,0.5,le2,0.7841917701394684
3,0.5,sl,1
3,0.5,sl2,1
3,0.5,op,1
3,0.5,op2,1
2,0.5,wt,0.7915536064957845
2,0.5,wt2,0.7915536064957845
2,0.5,l,0.8257142189172063
2,0.5,l2,1
2,0.5,fg,0.7915536064957845
2,0.5,fg2,0.7915536064957845
2,0.5,eb,0
2,0.5,eb2,0.44247877797300234
2,0.5,im,0
2,0.5,im2,0
2,0.5,lp,0
2,0.5,lp2,0
2,0.5,le,0.7771889539598515
2,0.5,le2,0.7908063082574428
2,0.5,sl,0.8203036547316821
2,0.5,sl2,0.7959628946742088
2,0.5,op,0.7915536064957845
2,0.5,op2,1
1,0.5,wt,1
1,0.5,wt2,1
1,0.5,l,1
1,0.5,l2,1
1,0.5,fg,1
1,0.5,fg2,1
1,0.5,eb,0
1,0.5,eb2,0.3550565898333155
1,0.5,im,0
1,0.5,im2,0
1,0.5,lp,0
1,0.5,lp2,0
1,0.5,le,0.8801141477604123
1,0.5,le2,0.8776903340848112
1,0.5,sl,1
1,0.5,sl2,0.9750027621089818
1,0.5,op,1
1,0.5,op2,1
