run,rho,method,NMI_scores_max,NMI_scores_min,NMI_scores_sqrt,NMI_scores_sum,NMI_scores_joint
100,0,wt,1,1,1,1,1
100,0,wt2,1,1,1,1,1
100,0,l,1,1,1,1,1
100,0,l2,1,1,1,1,1
100,0,fg,1,1,1,1,1
100,0,fg2,1,1,1,1,1
100,0,eb,1,1,1,1,1
100,0,eb2,1,1,1,1,1
100,0,im,1,1,1,1,1
100,0,im2,1,1,1,1,1
100,0,lp,1,1,1,1,1
100,0,lp2,1,1,1,1,1
100,0,le,1,1,1,1,1
100,0,le2,1,1,1,1,1
100,0,sl,NA,NA,NA,NA,NA
100,0,sl2,NA,NA,NA,NA,NA
99,0,wt,1,1,1,1,1
99,0,wt2,1,1,1,1,1
99,0,l,1,1,1,1,1
99,0,l2,1,1,1,1,1
99,0,fg,1,1,1,1,1
99,0,fg2,1,1,1,1,1
99,0,eb,1,1,1,1,1
99,0,eb2,1,1,1,1,1
99,0,im,1,1,1,1,1
99,0,im2,1,1,1,1,1
99,0,lp,1,1,1,1,1
99,0,lp2,1,1,1,1,1
99,0,le,1,1,1,1,1
99,0,le2,1,1,1,1,1
99,0,sl,NA,NA,NA,NA,NA
99,0,sl2,NA,NA,NA,NA,NA
98,0,wt,1,1,1,1,1
98,0,wt2,1,1,1,1,1
98,0,l,1,1,1,1,1
98,0,l2,1,1,1,1,1
98,0,fg,1,1,1,1,1
98,0,fg2,1,1,1,1,1
98,0,eb,1,1,1,1,1
98,0,eb2,1,1,1,1,1
98,0,im,1,1,1,1,1
98,0,im2,1,1,1,1,1
98,0,lp,1,1,1,1,1
98,0,lp2,1,1,1,1,1
98,0,le,1,1,1,1,1
98,0,le2,1,1,1,1,1
98,0,sl,NA,NA,NA,NA,NA
98,0,sl2,NA,NA,NA,NA,NA
97,0,wt,1,1,1,1,1
97,0,wt2,1,1,1,1,1
97,0,l,1,1,1,1,1
97,0,l2,1,1,1,1,1
97,0,fg,1,1,1,1,1
97,0,fg2,1,1,1,1,1
97,0,eb,1,1,1,1,1
97,0,eb2,1,1,1,1,1
97,0,im,1,1,1,1,1
97,0,im2,1,1,1,1,1
97,0,lp,1,1,1,1,1
97,0,lp2,1,1,1,1,1
97,0,le,1,1,1,1,1
97,0,le2,1,1,1,1,1
97,0,sl,NA,NA,NA,NA,NA
97,0,sl2,NA,NA,NA,NA,NA
96,0,wt,1,1,1,1,1
96,0,wt2,1,1,1,1,1
96,0,l,1,1,1,1,1
96,0,l2,1,1,1,1,1
96,0,fg,1,1,1,1,1
96,0,fg2,1,1,1,1,1
96,0,eb,1,1,1,1,1
96,0,eb2,1,1,1,1,1
96,0,im,1,1,1,1,1
96,0,im2,1,1,1,1,1
96,0,lp,1,1,1,1,1
96,0,lp2,1,1,1,1,1
96,0,le,1,1,1,1,1
96,0,le2,1,1,1,1,1
96,0,sl,NA,NA,NA,NA,NA
96,0,sl2,NA,NA,NA,NA,NA
95,0,wt,1,1,1,1,1
95,0,wt2,1,1,1,1,1
95,0,l,1,1,1,1,1
95,0,l2,1,1,1,1,1
95,0,fg,1,1,1,1,1
95,0,fg2,1,1,1,1,1
95,0,eb,1,1,1,1,1
95,0,eb2,1,1,1,1,1
95,0,im,1,1,1,1,1
95,0,im2,1,1,1,1,1
95,0,lp,1,1,1,1,1
95,0,lp2,1,1,1,1,1
95,0,le,1,1,1,1,1
95,0,le2,1,1,1,1,1
95,0,sl,NA,NA,NA,NA,NA
95,0,sl2,NA,NA,NA,NA,NA
94,0,wt,1,1,1,1,1
94,0,wt2,1,1,1,1,1
94,0,l,1,1,1,1,1
94,0,l2,1,1,1,1,1
94,0,fg,1,1,1,1,1
94,0,fg2,1,1,1,1,1
94,0,eb,1,1,1,1,1
94,0,eb2,1,1,1,1,1
94,0,im,1,1,1,1,1
94,0,im2,1,1,1,1,1
94,0,lp,1,1,1,1,1
94,0,lp2,1,1,1,1,1
94,0,le,1,1,1,1,1
94,0,le2,1,1,1,1,1
94,0,sl,NA,NA,NA,NA,NA
94,0,sl2,NA,NA,NA,NA,NA
93,0,wt,1,1,1,1,1
93,0,wt2,1,1,1,1,1
93,0,l,1,1,1,1,1
93,0,l2,1,1,1,1,1
93,0,fg,1,1,1,1,1
93,0,fg2,1,1,1,1,1
93,0,eb,1,1,1,1,1
93,0,eb2,1,1,1,1,1
93,0,im,1,1,1,1,1
93,0,im2,1,1,1,1,1
93,0,lp,1,1,1,1,1
93,0,lp2,1,1,1,1,1
93,0,le,1,1,1,1,1
93,0,le2,1,1,1,1,1
93,0,sl,NA,NA,NA,NA,NA
93,0,sl2,NA,NA,NA,NA,NA
92,0,wt,1,1,1,1,1
92,0,wt2,1,1,1,1,1
92,0,l,1,1,1,1,1
92,0,l2,1,1,1,1,1
92,0,fg,1,1,1,1,1
92,0,fg2,1,1,1,1,1
92,0,eb,1,1,1,1,1
92,0,eb2,1,1,1,1,1
92,0,im,1,1,1,1,1
92,0,im2,1,1,1,1,1
92,0,lp,1,1,1,1,1
92,0,lp2,1,1,1,1,1
92,0,le,1,1,1,1,1
92,0,le2,1,1,1,1,1
92,0,sl,NA,NA,NA,NA,NA
92,0,sl2,NA,NA,NA,NA,NA
91,0,wt,1,1,1,1,1
91,0,wt2,1,1,1,1,1
91,0,l,1,1,1,1,1
91,0,l2,1,1,1,1,1
91,0,fg,1,1,1,1,1
91,0,fg2,1,1,1,1,1
91,0,eb,1,1,1,1,1
91,0,eb2,1,1,1,1,1
91,0,im,1,1,1,1,1
91,0,im2,1,1,1,1,1
91,0,lp,1,1,1,1,1
91,0,lp2,1,1,1,1,1
91,0,le,1,1,1,1,1
91,0,le2,1,1,1,1,1
91,0,sl,NA,NA,NA,NA,NA
91,0,sl2,NA,NA,NA,NA,NA
90,0,wt,1,1,1,1,1
90,0,wt2,1,1,1,1,1
90,0,l,1,1,1,1,1
90,0,l2,1,1,1,1,1
90,0,fg,1,1,1,1,1
90,0,fg2,1,1,1,1,1
90,0,eb,1,1,1,1,1
90,0,eb2,1,1,1,1,1
90,0,im,1,1,1,1,1
90,0,im2,1,1,1,1,1
90,0,lp,1,1,1,1,1
90,0,lp2,1,1,1,1,1
90,0,le,1,1,1,1,1
90,0,le2,1,1,1,1,1
90,0,sl,NA,NA,NA,NA,NA
90,0,sl2,NA,NA,NA,NA,NA
89,0,wt,1,1,1,1,1
89,0,wt2,1,1,1,1,1
89,0,l,1,1,1,1,1
89,0,l2,1,1,1,1,1
89,0,fg,1,1,1,1,1
89,0,fg2,1,1,1,1,1
89,0,eb,1,1,1,1,1
89,0,eb2,1,1,1,1,1
89,0,im,1,1,1,1,1
89,0,im2,1,1,1,1,1
89,0,lp,1,1,1,1,1
89,0,lp2,1,1,1,1,1
89,0,le,1,1,1,1,1
89,0,le2,1,1,1,1,1
89,0,sl,NA,NA,NA,NA,NA
89,0,sl2,NA,NA,NA,NA,NA
88,0,wt,1,1,1,1,1
88,0,wt2,1,1,1,1,1
88,0,l,1,1,1,1,1
88,0,l2,1,1,1,1,1
88,0,fg,1,1,1,1,1
88,0,fg2,1,1,1,1,1
88,0,eb,1,1,1,1,1
88,0,eb2,1,1,1,1,1
88,0,im,1,1,1,1,1
88,0,im2,1,1,1,1,1
88,0,lp,1,1,1,1,1
88,0,lp2,1,1,1,1,1
88,0,le,1,1,1,1,1
88,0,le2,1,1,1,1,1
88,0,sl,NA,NA,NA,NA,NA
88,0,sl2,NA,NA,NA,NA,NA
87,0,wt,1,1,1,1,1
87,0,wt2,1,1,1,1,1
87,0,l,1,1,1,1,1
87,0,l2,1,1,1,1,1
87,0,fg,1,1,1,1,1
87,0,fg2,1,1,1,1,1
87,0,eb,1,1,1,1,1
87,0,eb2,1,1,1,1,1
87,0,im,1,1,1,1,1
87,0,im2,1,1,1,1,1
87,0,lp,1,1,1,1,1
87,0,lp2,1,1,1,1,1
87,0,le,1,1,1,1,1
87,0,le2,1,1,1,1,1
87,0,sl,NA,NA,NA,NA,NA
87,0,sl2,NA,NA,NA,NA,NA
86,0,wt,1,1,1,1,1
86,0,wt2,1,1,1,1,1
86,0,l,1,1,1,1,1
86,0,l2,1,1,1,1,1
86,0,fg,1,1,1,1,1
86,0,fg2,1,1,1,1,1
86,0,eb,1,1,1,1,1
86,0,eb2,1,1,1,1,1
86,0,im,1,1,1,1,1
86,0,im2,1,1,1,1,1
86,0,lp,1,1,1,1,1
86,0,lp2,1,1,1,1,1
86,0,le,1,1,1,1,1
86,0,le2,1,1,1,1,1
86,0,sl,NA,NA,NA,NA,NA
86,0,sl2,NA,NA,NA,NA,NA
85,0,wt,1,1,1,1,1
85,0,wt2,1,1,1,1,1
85,0,l,1,1,1,1,1
85,0,l2,1,1,1,1,1
85,0,fg,1,1,1,1,1
85,0,fg2,1,1,1,1,1
85,0,eb,1,1,1,1,1
85,0,eb2,1,1,1,1,1
85,0,im,1,1,1,1,1
85,0,im2,1,1,1,1,1
85,0,lp,1,1,1,1,1
85,0,lp2,1,1,1,1,1
85,0,le,1,1,1,1,1
85,0,le2,1,1,1,1,1
85,0,sl,NA,NA,NA,NA,NA
85,0,sl2,NA,NA,NA,NA,NA
84,0,wt,1,1,1,1,1
84,0,wt2,1,1,1,1,1
84,0,l,1,1,1,1,1
84,0,l2,1,1,1,1,1
84,0,fg,1,1,1,1,1
84,0,fg2,1,1,1,1,1
84,0,eb,1,1,1,1,1
84,0,eb2,1,1,1,1,1
84,0,im,1,1,1,1,1
84,0,im2,1,1,1,1,1
84,0,lp,1,1,1,1,1
84,0,lp2,1,1,1,1,1
84,0,le,1,1,1,1,1
84,0,le2,1,1,1,1,1
84,0,sl,NA,NA,NA,NA,NA
84,0,sl2,NA,NA,NA,NA,NA
83,0,wt,1,1,1,1,1
83,0,wt2,1,1,1,1,1
83,0,l,1,1,1,1,1
83,0,l2,1,1,1,1,1
83,0,fg,1,1,1,1,1
83,0,fg2,1,1,1,1,1
83,0,eb,1,1,1,1,1
83,0,eb2,1,1,1,1,1
83,0,im,1,1,1,1,1
83,0,im2,1,1,1,1,1
83,0,lp,1,1,1,1,1
83,0,lp2,1,1,1,1,1
83,0,le,1,1,1,1,1
83,0,le2,1,1,1,1,1
83,0,sl,NA,NA,NA,NA,NA
83,0,sl2,NA,NA,NA,NA,NA
82,0,wt,1,1,1,1,1
82,0,wt2,1,1,1,1,1
82,0,l,1,1,1,1,1
82,0,l2,1,1,1,1,1
82,0,fg,1,1,1,1,1
82,0,fg2,1,1,1,1,1
82,0,eb,1,1,1,1,1
82,0,eb2,1,1,1,1,1
82,0,im,1,1,1,1,1
82,0,im2,1,1,1,1,1
82,0,lp,1,1,1,1,1
82,0,lp2,1,1,1,1,1
82,0,le,1,1,1,1,1
82,0,le2,1,1,1,1,1
82,0,sl,NA,NA,NA,NA,NA
82,0,sl2,NA,NA,NA,NA,NA
81,0,wt,1,1,1,1,1
81,0,wt2,1,1,1,1,1
81,0,l,1,1,1,1,1
81,0,l2,1,1,1,1,1
81,0,fg,1,1,1,1,1
81,0,fg2,1,1,1,1,1
81,0,eb,1,1,1,1,1
81,0,eb2,1,1,1,1,1
81,0,im,1,1,1,1,1
81,0,im2,1,1,1,1,1
81,0,lp,1,1,1,1,1
81,0,lp2,1,1,1,1,1
81,0,le,1,1,1,1,1
81,0,le2,1,1,1,1,1
81,0,sl,NA,NA,NA,NA,NA
81,0,sl2,NA,NA,NA,NA,NA
80,0,wt,1,1,1,1,1
80,0,wt2,1,1,1,1,1
80,0,l,1,1,1,1,1
80,0,l2,1,1,1,1,1
80,0,fg,1,1,1,1,1
80,0,fg2,1,1,1,1,1
80,0,eb,1,1,1,1,1
80,0,eb2,1,1,1,1,1
80,0,im,1,1,1,1,1
80,0,im2,1,1,1,1,1
80,0,lp,1,1,1,1,1
80,0,lp2,1,1,1,1,1
80,0,le,1,1,1,1,1
80,0,le2,1,1,1,1,1
80,0,sl,NA,NA,NA,NA,NA
80,0,sl2,NA,NA,NA,NA,NA
79,0,wt,1,1,1,1,1
79,0,wt2,1,1,1,1,1
79,0,l,1,1,1,1,1
79,0,l2,1,1,1,1,1
79,0,fg,1,1,1,1,1
79,0,fg2,1,1,1,1,1
79,0,eb,1,1,1,1,1
79,0,eb2,1,1,1,1,1
79,0,im,1,1,1,1,1
79,0,im2,1,1,1,1,1
79,0,lp,1,1,1,1,1
79,0,lp2,1,1,1,1,1
79,0,le,1,1,1,1,1
79,0,le2,1,1,1,1,1
79,0,sl,NA,NA,NA,NA,NA
79,0,sl2,NA,NA,NA,NA,NA
78,0,wt,1,1,1,1,1
78,0,wt2,1,1,1,1,1
78,0,l,1,1,1,1,1
78,0,l2,1,1,1,1,1
78,0,fg,1,1,1,1,1
78,0,fg2,1,1,1,1,1
78,0,eb,1,1,1,1,1
78,0,eb2,1,1,1,1,1
78,0,im,1,1,1,1,1
78,0,im2,1,1,1,1,1
78,0,lp,1,1,1,1,1
78,0,lp2,1,1,1,1,1
78,0,le,1,1,1,1,1
78,0,le2,1,1,1,1,1
78,0,sl,NA,NA,NA,NA,NA
78,0,sl2,NA,NA,NA,NA,NA
77,0,wt,1,1,1,1,1
77,0,wt2,1,1,1,1,1
77,0,l,1,1,1,1,1
77,0,l2,1,1,1,1,1
77,0,fg,1,1,1,1,1
77,0,fg2,1,1,1,1,1
77,0,eb,1,1,1,1,1
77,0,eb2,1,1,1,1,1
77,0,im,1,1,1,1,1
77,0,im2,1,1,1,1,1
77,0,lp,1,1,1,1,1
77,0,lp2,1,1,1,1,1
77,0,le,1,1,1,1,1
77,0,le2,1,1,1,1,1
77,0,sl,NA,NA,NA,NA,NA
77,0,sl2,NA,NA,NA,NA,NA
76,0,wt,1,1,1,1,1
76,0,wt2,1,1,1,1,1
76,0,l,1,1,1,1,1
76,0,l2,1,1,1,1,1
76,0,fg,1,1,1,1,1
76,0,fg2,1,1,1,1,1
76,0,eb,1,1,1,1,1
76,0,eb2,1,1,1,1,1
76,0,im,1,1,1,1,1
76,0,im2,1,1,1,1,1
76,0,lp,1,1,1,1,1
76,0,lp2,1,1,1,1,1
76,0,le,1,1,1,1,1
76,0,le2,1,1,1,1,1
76,0,sl,NA,NA,NA,NA,NA
76,0,sl2,NA,NA,NA,NA,NA
75,0,wt,1,1,1,1,1
75,0,wt2,1,1,1,1,1
75,0,l,1,1,1,1,1
75,0,l2,1,1,1,1,1
75,0,fg,1,1,1,1,1
75,0,fg2,1,1,1,1,1
75,0,eb,1,1,1,1,1
75,0,eb2,1,1,1,1,1
75,0,im,1,1,1,1,1
75,0,im2,1,1,1,1,1
75,0,lp,1,1,1,1,1
75,0,lp2,1,1,1,1,1
75,0,le,1,1,1,1,1
75,0,le2,1,1,1,1,1
75,0,sl,NA,NA,NA,NA,NA
75,0,sl2,NA,NA,NA,NA,NA
74,0,wt,1,1,1,1,1
74,0,wt2,1,1,1,1,1
74,0,l,1,1,1,1,1
74,0,l2,1,1,1,1,1
74,0,fg,1,1,1,1,1
74,0,fg2,1,1,1,1,1
74,0,eb,1,1,1,1,1
74,0,eb2,1,1,1,1,1
74,0,im,1,1,1,1,1
74,0,im2,1,1,1,1,1
74,0,lp,1,1,1,1,1
74,0,lp2,1,1,1,1,1
74,0,le,1,1,1,1,1
74,0,le2,1,1,1,1,1
74,0,sl,NA,NA,NA,NA,NA
74,0,sl2,NA,NA,NA,NA,NA
73,0,wt,1,1,1,1,1
73,0,wt2,1,1,1,1,1
73,0,l,1,1,1,1,1
73,0,l2,1,1,1,1,1
73,0,fg,1,1,1,1,1
73,0,fg2,1,1,1,1,1
