run,rho,method,NMI_scores
10,0.7000000000000001,wt,0.8172830999616003
10,0.7000000000000001,wt2,0.8172830999616003
10,0.7000000000000001,l,1
10,0.7000000000000001,l2,1
10,0.7000000000000001,fg,0.9727791974061786
10,0.7000000000000001,fg2,1
10,0.7000000000000001,eb,0
10,0.7000000000000001,eb2,0.3427590212695969
10,0.7000000000000001,im,0
10,0.7000000000000001,im2,0
10,0.7000000000000001,lp,0
10,0.7000000000000001,lp2,0
10,0.7000000000000001,le,0.7911924875844982
10,0.7000000000000001,le2,0.7209046529453593
10,0.7000000000000001,sl,1
10,0.7000000000000001,sl2,1
10,0.7000000000000001,op,1
10,0.7000000000000001,op2,1
9,0.7000000000000001,wt,0.9742110400711075
9,0.7000000000000001,wt2,0.8045153639858292
9,0.7000000000000001,l,1
9,0.7000000000000001,l2,1
9,0.7000000000000001,fg,0.974234160648665
9,0.7000000000000001,fg2,1
9,0.7000000000000001,eb,0
9,0.7000000000000001,eb2,0.3400940994361659
9,0.7000000000000001,im,0
9,0.7000000000000001,im2,0
9,0.7000000000000001,lp,0
9,0.7000000000000001,lp2,0.34635775448909606
9,0.7000000000000001,le,0.7682995859360106
9,0.7000000000000001,le2,0.7632493713574545
9,0.7000000000000001,sl,1
9,0.7000000000000001,sl2,0.9742110400711075
9,0.7000000000000001,op,1
9,0.7000000000000001,op2,1
8,0.7000000000000001,wt,0.8374792361760038
8,0.7000000000000001,wt2,0.26561713147717797
8,0.7000000000000001,l,1
8,0.7000000000000001,l2,1
8,0.7000000000000001,fg,0.8374792361760038
8,0.7000000000000001,fg2,1
8,0.7000000000000001,eb,0
8,0.7000000000000001,eb2,0.34660095546448166
8,0.7000000000000001,im,0
8,0.7000000000000001,im2,0
8,0.7000000000000001,lp,0
8,0.7000000000000001,lp2,0
8,0.7000000000000001,le,0.8083112707733082
8,0.7000000000000001,le2,0.7515676674812304
8,0.7000000000000001,sl,1
8,0.7000000000000001,sl2,1
8,0.7000000000000001,op,1
8,0.7000000000000001,op2,1
7,0.7000000000000001,wt,1
