run,rho,method,NMI_scores
100,1,wt,0.012370728820082433
100,1,wt2,0
100,1,l,0.019533926610824693
100,1,l2,0.13804431080168628
100,1,fg,0.020186323754426517
100,1,fg2,0.11875403745628652
100,1,eb,0
100,1,eb2,0.3458771761098484
100,1,im,0
100,1,im2,0
100,1,lp,0
100,1,lp2,0.3458771761098484
100,1,le,0.004416574193971
100,1,le2,0.16799648812664794
100,1,sl,0.03943244589161792
100,1,sl2,0.02952123935124007
99,1,wt,0.3416407155428047
99,1,wt2,0
99,1,l,0.01603706761624198
99,1,l2,0.19104189762061602
99,1,fg,0.011130000870422044
99,1,fg2,0.14229741259991213
99,1,eb,0
99,1,eb2,0.333232147212739
99,1,im,0
99,1,im2,0
99,1,lp,0
99,1,lp2,0
99,1,le,0.010372686006128057
99,1,le2,0.15980112332523883
99,1,sl,0.019743012701110882
99,1,sl2,0.018989654723101858
98,1,wt,0.3479240562608612
98,1,wt2,0
98,1,l,0.003039278530164596
98,1,l2,0.16174863553716323
98,1,fg,0.015133543172808444
98,1,fg2,0.18000386897842974
98,1,eb,0
98,1,eb2,0.3430235717637693
98,1,im,0
98,1,im2,0
98,1,lp,0
98,1,lp2,0
98,1,le,0.013630874010543102
98,1,le2,0.14066164027583283
98,1,sl,0.009542991034356366
98,1,sl2,0.009542991034356366
97,1,wt,0.34357269590140516
97,1,wt2,0
97,1,l,0.006725530604627122
97,1,l2,0.1341721284906243
97,1,fg,0.0056768832104690135
97,1,fg2,0.11304219111536315
97,1,eb,0
97,1,eb2,0.34357269590140516
97,1,im,0
97,1,im2,0
97,1,lp,0
97,1,lp2,0
97,1,le,0
97,1,le2,0.13176613451398583
97,1,sl,0.007964698152174494
97,1,sl2,0.007494064105337307
96,1,wt,0.3466711489966909
96,1,wt2,0
96,1,l,0.008411280483970359
96,1,l2,0.13664957888991497
96,1,fg,0.0025471802163898167
96,1,fg2,0.11040510614013722
96,1,eb,0
96,1,eb2,0.3466711489966909
96,1,im,0
96,1,im2,0
96,1,lp,0
96,1,lp2,0
96,1,le,0.008402997686862881
96,1,le2,0.17828126567080876
96,1,sl,0.0024265663140959318
96,1,sl2,0.015072031684604604
95,1,wt,0.3473801971019642
95,1,wt2,0
95,1,l,0.04086638094188
95,1,l2,0.11050617596223507
95,1,fg,0.004769392688836301
95,1,fg2,0.1125121828171979
95,1,eb,0
95,1,eb2,0.33883717244757566
95,1,im,0
95,1,im2,0
95,1,lp,0
95,1,lp2,0.3473801971019642
95,1,le,0.007879250573837464
95,1,le2,0.1766359311582161
95,1,sl,0.01800780059942764
95,1,sl2,0.014382136408647139
94,1,wt,0.3422429001506268
94,1,wt2,0
94,1,l,0.011973470437429383
94,1,l2,0.15003676385120038
94,1,fg,0.009904793833079113
94,1,fg2,0.16209078833868446
94,1,eb,0
94,1,eb2,0.3422429001506268
94,1,im,0
94,1,im2,0
94,1,lp,0
94,1,lp2,0
94,1,le,0
94,1,le2,0.19062358839825463
94,1,sl,0.020416605178673584
94,1,sl2,0.009248208409967106
93,1,wt,0.33734413263739316
93,1,wt2,0
93,1,l,0.027184562752705078
93,1,l2,0.13194708570895236
93,1,fg,0.01335028438703254
93,1,fg2,0.15206781652196336
93,1,eb,0
93,1,eb2,0.33734413263739316
93,1,im,0
93,1,im2,0
93,1,lp,0
93,1,lp2,0
93,1,le,0
93,1,le2,0.17702063094462284
93,1,sl,0.023094160468854295
93,1,sl2,0.015481514639771406
92,1,wt,0.34428271912978375
92,1,wt2,0
92,1,l,0.009402616229940949
92,1,l2,0.11844769363346341
92,1,fg,0.010033817879839669
92,1,fg2,0.13041033796376844
92,1,eb,0
92,1,eb2,0.33933785417064877
92,1,im,0
92,1,im2,0
92,1,lp,0
92,1,lp2,0
92,1,le,0
92,1,le2,0.18015228521073623
92,1,sl,0.01486796302873956
92,1,sl2,0.014916091973961425
91,1,wt,0.007456228132131692
91,1,wt2,0
91,1,l,0.013549115224827386
91,1,l2,0.14568109823703262
91,1,fg,0.008621249267601922
91,1,fg2,0.1578105710413168
91,1,eb,0
91,1,eb2,0.34028720607238033
91,1,im,0
91,1,im2,0
91,1,lp,0
91,1,lp2,0.3450086510122808
91,1,le,0.007161578383983852
91,1,le2,0.15719232297054525
91,1,sl,0.0027035584010949134
91,1,sl2,0.0035874063090594126
90,1,wt,0.34863056327058034
90,1,wt2,0
90,1,l,0.009378371033041236
90,1,l2,0.1508745049149258
90,1,fg,0.0049868360088767116
90,1,fg2,0.17121306219721305
90,1,eb,0
90,1,eb2,0.34863056327058034
90,1,im,0
90,1,im2,0
90,1,lp,0
90,1,lp2,0
90,1,le,0
90,1,le2,0.1672354090738778
90,1,sl,0.01638370784142392
90,1,sl2,0.019557747674498954
89,1,wt,0.33512610320055564
89,1,wt2,0
89,1,l,0.024651208854258568
89,1,l2,0.1035976755684006
89,1,fg,0.0148989842939075
89,1,fg2,0.14065371765309606
89,1,eb,0
89,1,eb2,0.3289058261932851
89,1,im,0
89,1,im2,0
89,1,lp,0
89,1,lp2,0.33512610320055564
89,1,le,0.019826213697300657
89,1,le2,0.18084740104219582
89,1,sl,0.014637643315331877
89,1,sl2,0.008636439677545453
88,1,wt,0.34431985612052857
88,1,wt2,0
88,1,l,0.017881501682084393
88,1,l2,0.127177793216498
88,1,fg,0.01672901253406895
88,1,fg2,0.1350287046719212
88,1,eb,0
88,1,eb2,0.3348119486160683
88,1,im,0
88,1,im2,0
88,1,lp,0
88,1,lp2,0
88,1,le,0
88,1,le2,0.1924171183360794
88,1,sl,0.032163447768043876
88,1,sl2,0.01977531366984514
87,1,wt,0.3454602543025497
87,1,wt2,0
87,1,l,0.04353780246662468
87,1,l2,0.13630961464505362
87,1,fg,0.026594661305299767
87,1,fg2,0.1349687822673347
87,1,eb,0
87,1,eb2,0.3454602543025497
87,1,im,0
87,1,im2,0
87,1,lp,0
87,1,lp2,0
87,1,le,0
87,1,le2,0.14871572279067188
87,1,sl,0.022407897582991235
87,1,sl2,0.02418786265327186
86,1,wt,0.3438526821426804
86,1,wt2,0
86,1,l,0.02334331969145778
86,1,l2,0.14242067222891688
86,1,fg,0.005018799960431371
86,1,fg2,0.13639502241119164
86,1,eb,0
86,1,eb2,0.3401542520046663
86,1,im,0
86,1,im2,0
86,1,lp,0
86,1,lp2,0
86,1,le,0
86,1,le2,0.173104410082449
86,1,sl,0.002268360349781659
86,1,sl2,0.002268360349781659
85,1,wt,0.3474254029682797
85,1,wt2,0
85,1,l,0.011280596136428143
85,1,l2,0.1302271824778276
85,1,fg,0.004117474426733873
85,1,fg2,0.11012835816980152
85,1,eb,0
85,1,eb2,0.3474254029682797
85,1,im,0
85,1,im2,0
85,1,lp,0
85,1,lp2,0
85,1,le,0
85,1,le2,0.16242083770958068
