run,rho,method,NMI_scores
100,0.30000000000000004,wt,1
100,0.30000000000000004,wt2,1
100,0.30000000000000004,l,1
100,0.30000000000000004,l2,1
100,0.30000000000000004,fg,1
100,0.30000000000000004,fg2,1
100,0.30000000000000004,eb,0.3261554154787525
100,0.30000000000000004,eb2,0.3261554154787525
100,0.30000000000000004,im,1
100,0.30000000000000004,im2,1
100,0.30000000000000004,lp,1
100,0.30000000000000004,lp2,0
100,0.30000000000000004,le,1
100,0.30000000000000004,le2,1
100,0.30000000000000004,sl,1
100,0.30000000000000004,sl2,1
99,0.30000000000000004,wt,1
99,0.30000000000000004,wt2,1
99,0.30000000000000004,l,1
99,0.30000000000000004,l2,1
99,0.30000000000000004,fg,1
99,0.30000000000000004,fg2,1
99,0.30000000000000004,eb,0.32389817434284857
99,0.30000000000000004,eb2,0.32389817434284857
99,0.30000000000000004,im,1
99,0.30000000000000004,im2,1
99,0.30000000000000004,lp,0.834146125902407
99,0.30000000000000004,lp2,0.2551653297235747
99,0.30000000000000004,le,1
99,0.30000000000000004,le2,1
99,0.30000000000000004,sl,1
99,0.30000000000000004,sl2,0.975293991382821
98,0.30000000000000004,wt,1
98,0.30000000000000004,wt2,1
98,0.30000000000000004,l,1
98,0.30000000000000004,l2,1
98,0.30000000000000004,fg,1
98,0.30000000000000004,fg2,1
98,0.30000000000000004,eb,0.3237845789279906
98,0.30000000000000004,eb2,0.3237845789279906
98,0.30000000000000004,im,1
98,0.30000000000000004,im2,1
98,0.30000000000000004,lp,1
98,0.30000000000000004,lp2,0.7864494188689668
98,0.30000000000000004,le,0.8957543382119875
98,0.30000000000000004,le2,0.9337614096717658
98,0.30000000000000004,sl,0.9736187096656391
98,0.30000000000000004,sl2,0.9736187096656391
97,0.30000000000000004,wt,1
97,0.30000000000000004,wt2,1
97,0.30000000000000004,l,1
97,0.30000000000000004,l2,1
97,0.30000000000000004,fg,1
97,0.30000000000000004,fg2,1
97,0.30000000000000004,eb,0.3165396387409019
97,0.30000000000000004,eb2,0.3274116872406433
97,0.30000000000000004,im,1
97,0.30000000000000004,im2,1
97,0.30000000000000004,lp,1
97,0.30000000000000004,lp2,0.6111406674183383
97,0.30000000000000004,le,0.7514381260242262
97,0.30000000000000004,le2,0.7798487252702655
97,0.30000000000000004,sl,1
97,0.30000000000000004,sl2,0.9489353066686816
96,0.30000000000000004,wt,1
96,0.30000000000000004,wt2,1
96,0.30000000000000004,l,1
96,0.30000000000000004,l2,1
96,0.30000000000000004,fg,1
96,0.30000000000000004,fg2,1
96,0.30000000000000004,eb,0.30056674315553433
96,0.30000000000000004,eb2,0.30977425844942647
96,0.30000000000000004,im,1
96,0.30000000000000004,im2,1
96,0.30000000000000004,lp,1
96,0.30000000000000004,lp2,0.8275400194365662
96,0.30000000000000004,le,1
96,0.30000000000000004,le2,1
96,0.30000000000000004,sl,0.9742748720159158
96,0.30000000000000004,sl2,1
95,0.30000000000000004,wt,1
95,0.30000000000000004,wt2,1
95,0.30000000000000004,l,1
95,0.30000000000000004,l2,1
95,0.30000000000000004,fg,1
95,0.30000000000000004,fg2,1
95,0.30000000000000004,eb,0.3197041579212607
95,0.30000000000000004,eb2,0.3197041579212607
95,0.30000000000000004,im,1
95,0.30000000000000004,im2,1
95,0.30000000000000004,lp,1
95,0.30000000000000004,lp2,0.7963391229277805
95,0.30000000000000004,le,1
95,0.30000000000000004,le2,1
95,0.30000000000000004,sl,1
95,0.30000000000000004,sl2,1
94,0.30000000000000004,wt,1
94,0.30000000000000004,wt2,1
94,0.30000000000000004,l,1
94,0.30000000000000004,l2,1
94,0.30000000000000004,fg,1
94,0.30000000000000004,fg2,1
94,0.30000000000000004,eb,0.30056236429498556
94,0.30000000000000004,eb2,0.30056236429498556
94,0.30000000000000004,im,1
94,0.30000000000000004,im2,1
94,0.30000000000000004,lp,1
94,0.30000000000000004,lp2,0.40966402674030017
94,0.30000000000000004,le,0.8612359716553046
94,0.30000000000000004,le2,0.8799791253606445
94,0.30000000000000004,sl,0.9725432501361058
94,0.30000000000000004,sl2,0.9725432501361058
93,0.30000000000000004,wt,1
93,0.30000000000000004,wt2,1
93,0.30000000000000004,l,1
93,0.30000000000000004,l2,1
93,0.30000000000000004,fg,1
93,0.30000000000000004,fg2,1
93,0.30000000000000004,eb,0.3254821046153806
93,0.30000000000000004,eb2,0.3210570170134931
93,0.30000000000000004,im,1
93,0.30000000000000004,im2,1
93,0.30000000000000004,lp,1
93,0.30000000000000004,lp2,0
93,0.30000000000000004,le,0.9388227790757198
93,0.30000000000000004,le2,0.9752168978070537
93,0.30000000000000004,sl,1
93,0.30000000000000004,sl2,0.9752168978070537
92,0.30000000000000004,wt,1
92,0.30000000000000004,wt2,1
92,0.30000000000000004,l,1
92,0.30000000000000004,l2,1
92,0.30000000000000004,fg,1
92,0.30000000000000004,fg2,1
92,0.30000000000000004,eb,0.3177031202333337
92,0.30000000000000004,eb2,0.3177031202333337
92,0.30000000000000004,im,1
92,0.30000000000000004,im2,1
92,0.30000000000000004,lp,0.8237589231289749
92,0.30000000000000004,lp2,0.2593277617645676
92,0.30000000000000004,le,0.9550605910584683
92,0.30000000000000004,le2,0.9726905897090958
92,0.30000000000000004,sl,0.9726905897090958
92,0.30000000000000004,sl2,0.9726905897090958
91,0.30000000000000004,wt,1
91,0.30000000000000004,wt2,1
91,0.30000000000000004,l,1
91,0.30000000000000004,l2,1
91,0.30000000000000004,fg,1
91,0.30000000000000004,fg2,1
91,0.30000000000000004,eb,0.3020627498777028
91,0.30000000000000004,eb2,0.3020627498777028
91,0.30000000000000004,im,1
91,0.30000000000000004,im2,1
91,0.30000000000000004,lp,1
91,0.30000000000000004,lp2,0.5695978290393959
91,0.30000000000000004,le,0.9739979730379066
91,0.30000000000000004,le2,0.9739979730379066
91,0.30000000000000004,sl,1
91,0.30000000000000004,sl2,1
90,0.30000000000000004,wt,1
90,0.30000000000000004,wt2,1
90,0.30000000000000004,l,1
90,0.30000000000000004,l2,1
90,0.30000000000000004,fg,1
90,0.30000000000000004,fg2,1
90,0.30000000000000004,eb,0.32897292573754666
90,0.30000000000000004,eb2,0.3624220676761639
90,0.30000000000000004,im,1
90,0.30000000000000004,im2,1
90,0.30000000000000004,lp,1
90,0.30000000000000004,lp2,0.3204521097041226
90,0.30000000000000004,le,1
90,0.30000000000000004,le2,1
90,0.30000000000000004,sl,1
90,0.30000000000000004,sl2,1
89,0.30000000000000004,wt,1
89,0.30000000000000004,wt2,1
89,0.30000000000000004,l,1
89,0.30000000000000004,l2,1
89,0.30000000000000004,fg,1
89,0.30000000000000004,fg2,1
89,0.30000000000000004,eb,0.3722811709210525
89,0.30000000000000004,eb2,0.3719272673716866
89,0.30000000000000004,im,1
89,0.30000000000000004,im2,1
89,0.30000000000000004,lp,1
89,0.30000000000000004,lp2,0.23343472583699731
89,0.30000000000000004,le,1
89,0.30000000000000004,le2,1
89,0.30000000000000004,sl,1
89,0.30000000000000004,sl2,0.9739837460831047
88,0.30000000000000004,wt,1
88,0.30000000000000004,wt2,1
88,0.30000000000000004,l,1
88,0.30000000000000004,l2,1
88,0.30000000000000004,fg,1
88,0.30000000000000004,fg2,1
88,0.30000000000000004,eb,0.3007090962703684
88,0.30000000000000004,eb2,0.3079167014843879
88,0.30000000000000004,im,1
88,0.30000000000000004,im2,1
88,0.30000000000000004,lp,1
88,0.30000000000000004,lp2,0
88,0.30000000000000004,le,0.9739566511849553
88,0.30000000000000004,le2,1
88,0.30000000000000004,sl,1
88,0.30000000000000004,sl2,1
87,0.30000000000000004,wt,1
87,0.30000000000000004,wt2,1
87,0.30000000000000004,l,1
87,0.30000000000000004,l2,1
87,0.30000000000000004,fg,1
87,0.30000000000000004,fg2,1
87,0.30000000000000004,eb,0.3995202264412977
87,0.30000000000000004,eb2,0.40122495607851
87,0.30000000000000004,im,1
87,0.30000000000000004,im2,1
87,0.30000000000000004,lp,0.8263542370622515
87,0.30000000000000004,lp2,0.2942479855369562
87,0.30000000000000004,le,0.8399486902286057
87,0.30000000000000004,le2,0.8254372895842563
87,0.30000000000000004,sl,0.9747083710591905
87,0.30000000000000004,sl2,1
86,0.30000000000000004,wt,1
86,0.30000000000000004,wt2,1
86,0.30000000000000004,l,1
86,0.30000000000000004,l2,1
86,0.30000000000000004,fg,1
86,0.30000000000000004,fg2,1
86,0.30000000000000004,eb,0.34092206301471595
86,0.30000000000000004,eb2,0.37775067025659753
86,0.30000000000000004,im,1
86,0.30000000000000004,im2,1
86,0.30000000000000004,lp,1
86,0.30000000000000004,lp2,0.5728032641395655
86,0.30000000000000004,le,1
86,0.30000000000000004,le2,1
86,0.30000000000000004,sl,0.9751452544417764
86,0.30000000000000004,sl2,1
85,0.30000000000000004,wt,1
85,0.30000000000000004,wt2,1
85,0.30000000000000004,l,1
85,0.30000000000000004,l2,1
85,0.30000000000000004,fg,1
85,0.30000000000000004,fg2,1
85,0.30000000000000004,eb,0.3040622090624107
85,0.30000000000000004,eb2,0.3040622090624107
85,0.30000000000000004,im,1
85,0.30000000000000004,im2,1
85,0.30000000000000004,lp,1
85,0.30000000000000004,lp2,0.5598879525980571
85,0.30000000000000004,le,0.814348102417147
85,0.30000000000000004,le2,0.8028733631985544
85,0.30000000000000004,sl,0.9722105080827305
85,0.30000000000000004,sl2,0.9722105080827305
84,0.30000000000000004,wt,1
84,0.30000000000000004,wt2,1
84,0.30000000000000004,l,1
84,0.30000000000000004,l2,1
84,0.30000000000000004,fg,1
84,0.30000000000000004,fg2,1
84,0.30000000000000004,eb,0.3430654149120589
84,0.30000000000000004,eb2,0.3430654149120589
84,0.30000000000000004,im,1
84,0.30000000000000004,im2,1
84,0.30000000000000004,lp,1
84,0.30000000000000004,lp2,0.8004998215186329
84,0.30000000000000004,le,0.9472178663873869
84,0.30000000000000004,le2,0.9103136954892534
84,0.30000000000000004,sl,1
84,0.30000000000000004,sl2,1
83,0.30000000000000004,wt,1
83,0.30000000000000004,wt2,1
83,0.30000000000000004,l,1
83,0.30000000000000004,l2,1
83,0.30000000000000004,fg,1
83,0.30000000000000004,fg2,1
83,0.30000000000000004,eb,0.39601137029435723
83,0.30000000000000004,eb2,0.3599473337140181
83,0.30000000000000004,im,1
83,0.30000000000000004,im2,1
83,0.30000000000000004,lp,0.7973324673168566
83,0.30000000000000004,lp2,0.3223696574332154
83,0.30000000000000004,le,1
83,0.30000000000000004,le2,1
83,0.30000000000000004,sl,1
83,0.30000000000000004,sl2,1
82,0.30000000000000004,wt,1
82,0.30000000000000004,wt2,1
82,0.30000000000000004,l,1
82,0.30000000000000004,l2,1
82,0.30000000000000004,fg,1
82,0.30000000000000004,fg2,1
82,0.30000000000000004,eb,0.3709715083180956
82,0.30000000000000004,eb2,0.3709715083180956
82,0.30000000000000004,im,1
82,0.30000000000000004,im2,1
82,0.30000000000000004,lp,1
82,0.30000000000000004,lp2,0
82,0.30000000000000004,le,1
82,0.30000000000000004,le2,1
82,0.30000000000000004,sl,0.950943163245089
