run,rho,method,NMI_scores
100,1,wt,0.021948088089332664
100,1,wt2,0
100,1,l,0.0050892610722127404
100,1,l2,0.11904298549659885
100,1,fg,0.005225279934334824
100,1,fg2,0.10807473583345831
100,1,eb,0
100,1,eb2,0.344179276567066
100,1,im,0
100,1,im2,0
100,1,lp,0
100,1,lp2,0.344179276567066
100,1,le,0.004753998733619623
100,1,le2,0.18454796271890622
100,1,sl,0.014510929898877024
100,1,sl2,0.01274238250002424
99,1,wt,0.009490833280008786
99,1,wt2,0
99,1,l,0.0325053484282304
99,1,l2,0.13094171815483321
99,1,fg,0.008542016096546956
99,1,fg2,0.12279747702671714
99,1,eb,0
99,1,eb2,0.345987620853205
99,1,im,0
99,1,im2,0
99,1,lp,0
99,1,lp2,0.345987620853205
99,1,le,0.024535568849103045
99,1,le2,0.2173949012926089
99,1,sl,0.03144733338440263
99,1,sl2,0.023312665247050345
98,1,wt,0.014963502019978314
98,1,wt2,0
98,1,l,0.0058135921389332575
98,1,l2,0.14454745712287784
98,1,fg,0.014769101904468326
98,1,fg2,0.1748821225444447
98,1,eb,0
98,1,eb2,0.3401180345557065
98,1,im,0
98,1,im2,0
98,1,lp,0
98,1,lp2,0.3453555550737545
98,1,le,0.011349272152687846
98,1,le2,0.19169438397782584
98,1,sl,0.013105302862195552
98,1,sl2,0.009456392774032452
97,1,wt,0.02381264105478666
97,1,wt2,0
97,1,l,0.0114898973010979
97,1,l2,0.10905124735597066
97,1,fg,0.03575167563480912
97,1,fg2,0.10271374579093517
97,1,eb,0
97,1,eb2,0.33936427449805096
97,1,im,0
97,1,im2,0
97,1,lp,0
97,1,lp2,0.3413529861938841
97,1,le,0.013516654622581574
97,1,le2,0.13954442706363823
97,1,sl,0.008355323023728782
97,1,sl2,0.008409411829969774
96,1,wt,0.3445633969027636
96,1,wt2,0
96,1,l,0.020451507444157618
96,1,l2,0.09317399268835226
96,1,fg,0.001441737512850049
96,1,fg2,0.12095109654544049
96,1,eb,0
96,1,eb2,0.3456037679103186
96,1,im,0
96,1,im2,0
96,1,lp,0
96,1,lp2,0.3445633969027636
96,1,le,0.013024678093324117
96,1,le2,0.21108757530449396
96,1,sl,0.0034733861995192117
96,1,sl2,0.006487306044046371
95,1,wt,0.02110883450479638
95,1,wt2,0
95,1,l,0.01500205394954516
95,1,l2,0.13645362934490715
95,1,fg,0.012115401531033503
95,1,fg2,0.12657893302518658
95,1,eb,0
95,1,eb2,0.3444844083671724
95,1,im,0
95,1,im2,0
95,1,lp,0
95,1,lp2,0.3444844083671724
95,1,le,0.011413284148915749
95,1,le2,0.17831562696266845
95,1,sl,0.0025118967760941143
95,1,sl2,0.003343972048869922
94,1,wt,0.019155376840497094
94,1,wt2,0
94,1,l,0.025154910478805075
94,1,l2,0.14104656523742184
94,1,fg,0.008346626871849056
94,1,fg2,0.1666265185060383
94,1,eb,0
94,1,eb2,0.31984348543432833
94,1,im,0
94,1,im2,0
94,1,lp,0
94,1,lp2,0.3480227935690604
94,1,le,0.0350526626924138
94,1,le2,0.14526815196961765
94,1,sl,0.02365103055831323
94,1,sl2,0.03119325702983832
93,1,wt,0.02794255040414411
93,1,wt2,0
93,1,l,0.02933529274346413
93,1,l2,0.16822005284726851
93,1,fg,0.026539377356419386
93,1,fg2,0.15611460647888903
93,1,eb,0
93,1,eb2,0.34099087660447996
93,1,im,0
93,1,im2,0
93,1,lp,0
93,1,lp2,0.3426969855452329
93,1,le,0.022534989576700245
93,1,le2,0.20171769308098583
93,1,sl,0.04209673835523996
93,1,sl2,0.047940578327347765
92,1,wt,0.0021639339842674495
92,1,wt2,0
92,1,l,0.014560869369971237
92,1,l2,0.12630309397841605
92,1,fg,0.004423746475889822
92,1,fg2,0.15928911075048344
92,1,eb,0
92,1,eb2,0.3395800336822967
92,1,im,0
92,1,im2,0
92,1,lp,0
92,1,lp2,0.3475322824661778
92,1,le,0.0029297930449992955
92,1,le2,0.14352648154560235
92,1,sl,0.023273070303977447
92,1,sl2,0.004554831291076958
91,1,wt,0.003037942218806905
91,1,wt2,0
91,1,l,0.013136494742783332
91,1,l2,0.13255228855789383
91,1,fg,0.013715034326952154
91,1,fg2,0.1287407983366412
91,1,eb,0
91,1,eb2,0.3433372223752933
91,1,im,0
91,1,im2,0
91,1,lp,0
91,1,lp2,0.3453139743063039
91,1,le,0.005165131331160037
91,1,le2,0.1825002176080962
91,1,sl,0.02830755452792202
91,1,sl2,0.027071001710864077
90,1,wt,0.00886870170056599
90,1,wt2,0
90,1,l,0.03517987149802466
90,1,l2,0.11528759876373877
90,1,fg,0.009351468377666775
90,1,fg2,0.12924793678697089
90,1,eb,0
90,1,eb2,0.34494350160032294
90,1,im,0
90,1,im2,0
90,1,lp,0
90,1,lp2,0.34494350160032294
90,1,le,0.0069221192233939926
90,1,le2,0.16017504946291003
90,1,sl,0.008898154988452507
90,1,sl2,0.008898154988452507
89,1,wt,0.03636138176415435
89,1,wt2,0
89,1,l,0.02138476488393659
89,1,l2,0.11217220538556587
89,1,fg,0.007879794808385205
89,1,fg2,0.14022206748248947
89,1,eb,0
89,1,eb2,0.34329301891580016
89,1,im,0
89,1,im2,0
89,1,lp,0
89,1,lp2,0.3452699039124829
89,1,le,0.015828558104511118
89,1,le2,0.18176092511051126
89,1,sl,0.01992142641169688
89,1,sl2,0.023830000162067547
88,1,wt,0.009903495856659287
88,1,wt2,0
88,1,l,0.05852844277040551
88,1,l2,0.15984708192888272
88,1,fg,0.011268381385058666
88,1,fg2,0.1980872387295818
88,1,eb,0
88,1,eb2,0.3446319140666989
88,1,im,0
88,1,im2,0
88,1,lp,0
88,1,lp2,0.3446319140666989
88,1,le,0.002047046298441865
88,1,le2,0.17279602234918778
88,1,sl,0.043061512297290036
88,1,sl2,0.015757072280932927
87,1,wt,0.008589299347584936
87,1,wt2,0
87,1,l,0.006578059754875618
87,1,l2,0.12197384660734993
87,1,fg,0.012664307775232737
87,1,fg2,0.14329884687046143
87,1,eb,0
87,1,eb2,0.34260173634009317
87,1,im,0
87,1,im2,0
87,1,lp,0
87,1,lp2,0.34260173634009317
87,1,le,0.021222282118523443
87,1,le2,0.15119763785638385
87,1,sl,0.014343689240166577
87,1,sl2,0.013308357259866187
86,1,wt,0.34555899161074893
86,1,wt2,0
86,1,l,0.03515626324120416
