run,rho,method,NMI_scores
100,0.2,wt,0.7928525876682738
100,0.2,wt2,0.634492795922504
100,0.2,l,0.7928525876682738
100,0.2,l2,0.7928525876682738
100,0.2,fg,0.7928525876682738
100,0.2,fg2,0.7928525876682738
100,0.2,eb,0.4064892487060356
100,0.2,eb2,0.4064892487060356
100,0.2,im,0.3120742728293061
100,0.2,im2,0.3120742728293061
100,0.2,lp,0.5475212322873994
100,0.2,lp2,0.7928525876682738
100,0.2,le,0.739230388417426
100,0.2,le2,0.7444314189618307
100,0.2,sl,0.7928525876682742
100,0.2,sl2,0.7928525876682742
99,0.2,wt,0.7424196067504234
99,0.2,wt2,0.7424196067504234
99,0.2,l,0.7600532734981934
99,0.2,l2,0.8465985368540119
99,0.2,fg,0.7600532734981934
99,0.2,fg2,0.8465985368540119
99,0.2,eb,0.5142233197214506
99,0.2,eb2,0.5142233197214506
99,0.2,im,0.7600532734981934
99,0.2,im2,0.7600532734981934
99,0.2,lp,0.5339467880382379
99,0.2,lp2,0.8465985368540119
99,0.2,le,0.7373216992469263
99,0.2,le2,0.7960064893430859
99,0.2,sl,0.8465985368540119
99,0.2,sl2,0.7600532734981934
98,0.2,wt,0.8285076286892655
98,0.2,wt2,0.8285076286892655
98,0.2,l,0.8285076286892655
98,0.2,l2,0.957584065368949
98,0.2,fg,0.8285076286892655
98,0.2,fg2,0.957584065368949
98,0.2,eb,0
98,0.2,eb2,0.268552851907661
98,0.2,im,0.8285076286892655
98,0.2,im2,0.8285076286892655
98,0.2,lp,0.8285076286892655
98,0.2,lp2,0.957584065368949
98,0.2,le,0.7317295055212365
98,0.2,le2,0.840297722708922
98,0.2,sl,0.959309970979997
98,0.2,sl2,0.8386608482092461
97,0.2,wt,0.5894942750413688
97,0.2,wt2,0.5894942750413688
97,0.2,l,0.5718678979138069
97,0.2,l2,0.5718678979138069
97,0.2,fg,0.5718678979138069
97,0.2,fg2,0.5718678979138069
97,0.2,eb,0.26250571126098954
97,0.2,eb2,0.5176002146500388
97,0.2,im,0.2869614639768468
97,0.2,im2,0.2869614639768468
97,0.2,lp,0.2869614639768468
97,0.2,lp2,0.3464529335875373
97,0.2,le,0.5718678979138069
97,0.2,le2,0.7893392487870805
97,0.2,sl,0.5718678979138069
97,0.2,sl2,0.5718678979138069
96,0.2,wt,0.7201817871539699
96,0.2,wt2,0.7201817871539699
96,0.2,l,0.771763773997394
96,0.2,l2,0.771763773997394
96,0.2,fg,0.771763773997394
96,0.2,fg2,0.771763773997394
96,0.2,eb,0.35195083583002673
96,0.2,eb2,0.35195083583002673
96,0.2,im,0.5137175006830217
96,0.2,im2,0.5137175006830217
96,0.2,lp,0.771763773997394
96,0.2,lp2,0.6572606211493524
96,0.2,le,0.8222432457737758
96,0.2,le2,0.8316168449061926
96,0.2,sl,0.7306579013534285
96,0.2,sl2,0.7306579013534285
95,0.2,wt,0.7121860216954957
95,0.2,wt2,0.7121860216954957
95,0.2,l,0.7121860216954957
95,0.2,l2,0.8508627670504842
95,0.2,fg,0.7121860216954957
95,0.2,fg2,0.8508627670504842
95,0.2,eb,0.5433285614018118
95,0.2,eb2,0.5004041430186688
95,0.2,im,0.7121860216954957
95,0.2,im2,0.7121860216954957
95,0.2,lp,0.7121860216954957
95,0.2,lp2,0.7121860216954957
95,0.2,le,0.7121860216954957
95,0.2,le2,0.8508627670504842
95,0.2,sl,0.7162062584283931
95,0.2,sl2,0.7121860216954957
94,0.2,wt,0.5449299836226769
94,0.2,wt2,0.7123812255352858
94,0.2,l,0.868413011562523
94,0.2,l2,0.868413011562523
94,0.2,fg,0.868413011562523
94,0.2,fg2,0.868413011562523
94,0.2,eb,0.17610946269650973
94,0.2,eb2,0.4045598447996992
94,0.2,im,0
94,0.2,im2,0
94,0.2,lp,0.29442706519200534
94,0.2,lp2,0.9118817108239791
94,0.2,le,0.7961340600003254
94,0.2,le2,0.8275430276998923
94,0.2,sl,0.733974498589954
94,0.2,sl2,0.868413011562523
93,0.2,wt,0.5481500481081415
93,0.2,wt2,0.7720551374033725
93,0.2,l,0.7720551374033725
93,0.2,l2,0.8551288297912225
93,0.2,fg,0.7720551374033725
93,0.2,fg2,0.7720551374033725
93,0.2,eb,-2.805926749109211e-16
93,0.2,eb2,0.4325690908097828
93,0.2,im,-2.805926749109211e-16
93,0.2,im2,-2.805926749109211e-16
93,0.2,lp,0.7720551374033725
93,0.2,lp2,0.8551288297912225
93,0.2,le,0.767616454051528
93,0.2,le2,0.6640973397217549
93,0.2,sl,0.7720551374033725
93,0.2,sl2,0.7720551374033725
92,0.2,wt,0.7915576464266341
92,0.2,wt2,0.7915576464266341
92,0.2,l,0.7915576464266341
92,0.2,l2,0.9152635389083789
92,0.2,fg,0.7915576464266341
92,0.2,fg2,0.9152635389083789
92,0.2,eb,0.4387898944695186
92,0.2,eb2,0.4387898944695186
92,0.2,im,0.5631708283661229
92,0.2,im2,0.5631708283661229
92,0.2,lp,0.7915576464266341
92,0.2,lp2,0.9152635389083789
92,0.2,le,0.7562402080196321
92,0.2,le2,0.830358293283518
92,0.2,sl,0.8012884161518563
92,0.2,sl2,0.7915576464266341
91,0.2,wt,0.8721659063729295
91,0.2,wt2,0.8721659063729295
91,0.2,l,0.8721659063729295
91,0.2,l2,0.8721659063729295
91,0.2,fg,0.8721659063729295
91,0.2,fg2,0.8721659063729295
91,0.2,eb,0.4654566338039041
91,0.2,eb2,0.4654566338039041
91,0.2,im,0.6184748824662921
91,0.2,im2,0.6184748824662921
91,0.2,lp,0.32730724625554597
91,0.2,lp2,0.8299241441622115
91,0.2,le,0.8721659063729295
91,0.2,le2,0.8721659063729295
