run,rho,method,NMI_scores
100,1,wt,0.403241444477835
100,1,wt2,0
100,1,l,0
100,1,l2,0.3099997877443431
100,1,fg,0.035820907131371926
100,1,fg2,0.3287969440847732
100,1,eb,0
100,1,eb2,0
100,1,im,0
100,1,im2,0
100,1,lp,0
100,1,lp2,0
100,1,le,0
100,1,le2,0
100,1,sl,0.02956691513721366
100,1,sl2,0.04663915497602164
99,1,wt,0.3573197011596071
99,1,wt2,0
99,1,l,0.06049356506945043
99,1,l2,0.14971531954909048
99,1,fg,0.07435699326221508
99,1,fg2,0.1463706882162927
99,1,eb,0
99,1,eb2,0
99,1,im,0
99,1,im2,0
99,1,lp,0
99,1,lp2,0
99,1,le,0
99,1,le2,0
99,1,sl,0.05189169632900408
99,1,sl2,0.051503537056565026
98,1,wt,0.46569912412748127
98,1,wt2,0
98,1,l,0
98,1,l2,0.43505054358877165
98,1,fg,0.05370390259707444
98,1,fg2,0.43505054358877165
98,1,eb,0
98,1,eb2,0.05313087294125614
98,1,im,0
98,1,im2,0
98,1,lp,0
98,1,lp2,0
98,1,le,0
98,1,le2,0
98,1,sl,0.11574966115134597
98,1,sl2,0.20116898472339156
97,1,wt,0.3503270094527688
97,1,wt2,0
97,1,l,0.07538664329810585
97,1,l2,0.12727558610801992
97,1,fg,0.06482872540539722
97,1,fg2,0.12286630264961047
97,1,eb,0
97,1,eb2,0.09743072558138145
97,1,im,0
97,1,im2,0
97,1,lp,0
97,1,lp2,0
97,1,le,0
97,1,le2,NA
97,1,sl,0.04738713029526569
97,1,sl2,0.04835045534861534
96,1,wt,0.36464376330159587
96,1,wt2,0
96,1,l,0.10970255053979602
96,1,l2,0.14818095650016605
96,1,fg,0.11565613153277804
96,1,fg2,0.13590206867958765
96,1,eb,0
96,1,eb2,0
96,1,im,0
96,1,im2,0
96,1,lp,0
96,1,lp2,0
96,1,le,0
96,1,le2,0
96,1,sl,0.09386739292070585
96,1,sl2,0.09386739292070585
95,1,wt,0.45987672196125473
95,1,wt2,0
95,1,l,0
95,1,l2,0.356445743686114
95,1,fg,0.03582339729196309
95,1,fg2,0.356445743686114
95,1,eb,0
95,1,eb2,0
95,1,im,0
95,1,im2,0
95,1,lp,0
95,1,lp2,0
95,1,le,0
95,1,le2,0
95,1,sl,0.12920280814867893
95,1,sl2,0.07874790959517623
94,1,wt,0
94,1,wt2,0
94,1,l,0.04715256160701229
94,1,l2,0.16807709811810162
94,1,fg,0.05688127679434545
94,1,fg2,0.1397945224416656
94,1,eb,0
94,1,eb2,0.03397695464979776
94,1,im,0
94,1,im2,0
94,1,lp,0
94,1,lp2,0
94,1,le,0.007270424182814802
94,1,le2,NA
94,1,sl,0.03053979389716071
94,1,sl2,0.048725221817584624
93,1,wt,0.388167152424156
93,1,wt2,0
93,1,l,0.08520862170733155
93,1,l2,0.2405175719937729
93,1,fg,0.10539540592128635
93,1,fg2,0.2405175719937729
93,1,eb,0
93,1,eb2,0
93,1,im,0
93,1,im2,0
93,1,lp,0
93,1,lp2,0
93,1,le,0
93,1,le2,0
93,1,sl,0.10539540592128635
