run,rho,method,NMI_scores
100,0.2,wt,1
100,0.2,wt2,1
100,0.2,l,1
100,0.2,l2,1
100,0.2,fg,1
100,0.2,fg2,1
100,0.2,eb,0.3092154126437176
100,0.2,eb2,0.32232250905601506
100,0.2,im,1
100,0.2,im2,1
100,0.2,lp,1
100,0.2,lp2,1
100,0.2,le,0.9232721683097603
100,0.2,le2,0.9331301583170215
100,0.2,sl,0.9756143009635901
100,0.2,sl2,1
99,0.2,wt,1
99,0.2,wt2,1
99,0.2,l,1
99,0.2,l2,1
99,0.2,fg,1
99,0.2,fg2,1
99,0.2,eb,0.3933427582204053
99,0.2,eb2,0.3933427582204053
99,0.2,im,1
99,0.2,im2,1
99,0.2,lp,1
99,0.2,lp2,0.8429769295190619
99,0.2,le,1
99,0.2,le2,1
99,0.2,sl,1
99,0.2,sl2,1
98,0.2,wt,1
98,0.2,wt2,1
98,0.2,l,1
98,0.2,l2,1
98,0.2,fg,1
98,0.2,fg2,1
98,0.2,eb,0.37747582973020766
98,0.2,eb2,0.37747582973020766
98,0.2,im,1
98,0.2,im2,1
98,0.2,lp,1
98,0.2,lp2,0.5689611373031896
98,0.2,le,0.9744137704808165
98,0.2,le2,0.9744137704808165
98,0.2,sl,1
98,0.2,sl2,1
97,0.2,wt,1
97,0.2,wt2,1
97,0.2,l,1
97,0.2,l2,1
97,0.2,fg,1
97,0.2,fg2,1
97,0.2,eb,0.3861297658710086
97,0.2,eb2,0.3861297658710086
97,0.2,im,1
97,0.2,im2,1
97,0.2,lp,1
97,0.2,lp2,0.8306762160721339
97,0.2,le,1
97,0.2,le2,1
97,0.2,sl,1
97,0.2,sl2,1
96,0.2,wt,1
96,0.2,wt2,1
96,0.2,l,1
96,0.2,l2,1
96,0.2,fg,1
96,0.2,fg2,1
96,0.2,eb,0.45633542625924706
96,0.2,eb2,0.45633542625924706
96,0.2,im,1
96,0.2,im2,1
96,0.2,lp,1
96,0.2,lp2,0.8239436282308693
96,0.2,le,1
96,0.2,le2,1
96,0.2,sl,1
96,0.2,sl2,1
95,0.2,wt,1
95,0.2,wt2,1
95,0.2,l,1
95,0.2,l2,1
95,0.2,fg,1
95,0.2,fg2,1
95,0.2,eb,0.35979147158595315
95,0.2,eb2,0.35979147158595315
95,0.2,im,1
95,0.2,im2,1
95,0.2,lp,1
95,0.2,lp2,0.5782789661679937
95,0.2,le,1
95,0.2,le2,1
95,0.2,sl,1
95,0.2,sl2,0.9752496361708342
94,0.2,wt,1
94,0.2,wt2,1
94,0.2,l,1
94,0.2,l2,1
94,0.2,fg,1
94,0.2,fg2,1
94,0.2,eb,0.3266547660540854
94,0.2,eb2,0.3266547660540854
94,0.2,im,1
94,0.2,im2,1
94,0.2,lp,1
94,0.2,lp2,0.23248279129769178
94,0.2,le,1
94,0.2,le2,1
94,0.2,sl,1
94,0.2,sl2,0.9267814474241344
93,0.2,wt,1
93,0.2,wt2,1
93,0.2,l,1
93,0.2,l2,1
93,0.2,fg,1
93,0.2,fg2,1
93,0.2,eb,0.3075189661904525
93,0.2,eb2,0.3075189661904525
93,0.2,im,1
93,0.2,im2,1
93,0.2,lp,1
93,0.2,lp2,0.47413148652978493
93,0.2,le,1
93,0.2,le2,1
93,0.2,sl,1
93,0.2,sl2,0.9724524171192434
92,0.2,wt,1
92,0.2,wt2,1
92,0.2,l,1
92,0.2,l2,1
92,0.2,fg,1
92,0.2,fg2,1
92,0.2,eb,0.3241653529248213
92,0.2,eb2,0.3114861425765977
92,0.2,im,1
92,0.2,im2,1
92,0.2,lp,1
92,0.2,lp2,0.7960585398963684
92,0.2,le,1
92,0.2,le2,1
92,0.2,sl,0.9730036439648703
92,0.2,sl2,0.9730036439648703
91,0.2,wt,1
91,0.2,wt2,1
91,0.2,l,1
91,0.2,l2,1
91,0.2,fg,1
91,0.2,fg2,1
91,0.2,eb,0.31110261620913143
91,0.2,eb2,0.3449139041162555
91,0.2,im,1
91,0.2,im2,1
91,0.2,lp,1
91,0.2,lp2,0.8143105688857646
91,0.2,le,0.9749274335921614
91,0.2,le2,0.9749274335921614
91,0.2,sl,1
91,0.2,sl2,0.9749274335921614
90,0.2,wt,1
90,0.2,wt2,1
90,0.2,l,1
90,0.2,l2,1
90,0.2,fg,1
90,0.2,fg2,1
90,0.2,eb,0.40084639160230434
90,0.2,eb2,0.3909535265688171
90,0.2,im,1
90,0.2,im2,1
90,0.2,lp,1
90,0.2,lp2,0.5628662409662895
90,0.2,le,1
90,0.2,le2,1
90,0.2,sl,1
90,0.2,sl2,1
89,0.2,wt,1
89,0.2,wt2,1
89,0.2,l,1
89,0.2,l2,1
89,0.2,fg,1
89,0.2,fg2,1
89,0.2,eb,0.29687129964577946
89,0.2,eb2,0.32003380055108016
89,0.2,im,1
89,0.2,im2,1
89,0.2,lp,1
89,0.2,lp2,0.8069522302682625
89,0.2,le,1
89,0.2,le2,1
89,0.2,sl,1
89,0.2,sl2,0.9761192359151342
88,0.2,wt,1
88,0.2,wt2,1
88,0.2,l,1
88,0.2,l2,1
88,0.2,fg,1
88,0.2,fg2,1
88,0.2,eb,0.3351475637143203
88,0.2,eb2,0.3882401304303963
88,0.2,im,1
88,0.2,im2,1
88,0.2,lp,1
88,0.2,lp2,0.7954147559227043
88,0.2,le,1
88,0.2,le2,1
88,0.2,sl,0.9727137962290022
88,0.2,sl2,1
87,0.2,wt,1
87,0.2,wt2,1
87,0.2,l,1
87,0.2,l2,1
87,0.2,fg,1
87,0.2,fg2,1
87,0.2,eb,0.3261169952510102
87,0.2,eb2,0.3261169952510102
87,0.2,im,1
87,0.2,im2,1
87,0.2,lp,1
87,0.2,lp2,0.5625946363177882
87,0.2,le,1
87,0.2,le2,1
87,0.2,sl,1
87,0.2,sl2,0.9514972612341605
86,0.2,wt,1
86,0.2,wt2,1
86,0.2,l,1
86,0.2,l2,1
86,0.2,fg,1
86,0.2,fg2,1
86,0.2,eb,0.32871423383060294
86,0.2,eb2,0.32871423383060294
86,0.2,im,1
86,0.2,im2,1
86,0.2,lp,1
86,0.2,lp2,0.8009261888254979
86,0.2,le,1
86,0.2,le2,1
86,0.2,sl,1
86,0.2,sl2,0.971986608186613
85,0.2,wt,1
85,0.2,wt2,1
85,0.2,l,1
85,0.2,l2,1
85,0.2,fg,1
85,0.2,fg2,1
85,0.2,eb,0.31748069571840887
85,0.2,eb2,0.318421872279973
85,0.2,im,1
85,0.2,im2,1
85,0.2,lp,1
85,0.2,lp2,0.8448645851062978
85,0.2,le,0.9562568501289234
85,0.2,le2,0.9562568501289234
85,0.2,sl,1
85,0.2,sl2,1
84,0.2,wt,1
84,0.2,wt2,1
84,0.2,l,1
84,0.2,l2,1
84,0.2,fg,1
84,0.2,fg2,1
84,0.2,eb,0.34047571083899913
84,0.2,eb2,0.3514475576421445
84,0.2,im,1
84,0.2,im2,1
84,0.2,lp,1
84,0.2,lp2,0.796332259276939
84,0.2,le,0.8533653883845016
84,0.2,le2,0.8533653883845016
84,0.2,sl,1
84,0.2,sl2,1
83,0.2,wt,1
83,0.2,wt2,1
83,0.2,l,1
83,0.2,l2,1
83,0.2,fg,1
83,0.2,fg2,1
83,0.2,eb,0.32092409333238137
83,0.2,eb2,0.32092409333238137
83,0.2,im,1
83,0.2,im2,1
83,0.2,lp,1
83,0.2,lp2,0.8298971686217036
