run,rho,method,NMI_scores
100,1,wt,0.002753779746028357
100,1,wt2,0
100,1,l,0.015238494585198822
100,1,l2,0.18193032597272468
100,1,fg,0.013929292908687722
100,1,fg2,0.1273157749619403
100,1,eb,0
100,1,eb2,0.3457240078943587
100,1,im,0
100,1,im2,0
100,1,lp,0
100,1,lp2,0.3457240078943587
100,1,le,0.01728107931427397
100,1,le2,0.16883056743887942
100,1,sl,0.04148095701857866
100,1,sl2,0.02268852172714185
99,1,wt,0.010716280730504164
99,1,wt2,0
99,1,l,0.0042999439974796645
99,1,l2,0.12428988499181105
99,1,fg,0.009723319490260906
99,1,fg2,0.13880467941336638
99,1,eb,0
99,1,eb2,0.3490448046089993
99,1,im,0
99,1,im2,0
99,1,lp,0
99,1,lp2,0.3490448046089993
99,1,le,0.0059009729141754255
99,1,le2,0.18803411701759498
99,1,sl,0.005970371036494974
99,1,sl2,0.004475290413938825
98,1,wt,0.3478206136981434
98,1,wt2,0
98,1,l,0.014403918569356616
98,1,l2,0.10606207167361004
98,1,fg,0.006919691548495296
98,1,fg2,0.12853146326571188
98,1,eb,0
98,1,eb2,0.3478206136981434
98,1,im,0
98,1,im2,0
98,1,lp,0
98,1,lp2,0.3478206136981434
98,1,le,0.01153285449722556
98,1,le2,0.18085230957902873
98,1,sl,0.011305342105339683
98,1,sl2,0.015776950296617916
97,1,wt,0.345987620853205
97,1,wt2,0
97,1,l,0.008110329385637943
97,1,l2,0.14328238126959292
97,1,fg,0.0037876749979664603
97,1,fg2,0.12206013077890256
97,1,eb,0
97,1,eb2,0.3440129029233189
97,1,im,0
97,1,im2,0
97,1,lp,0
97,1,lp2,0.345987620853205
97,1,le,0.017288090440105035
97,1,le2,0.1536617707949341
97,1,sl,0.012098663066503581
97,1,sl2,0.012098663066503581
96,1,wt,0.010990253148643986
96,1,wt2,0
96,1,l,0.022129994326148754
96,1,l2,0.12264117820890388
96,1,fg,0.006235212778851336
96,1,fg2,0.148654798083395
96,1,eb,0
96,1,eb2,0.34038056907075026
96,1,im,0
96,1,im2,0
96,1,lp,0
96,1,lp2,0.34038056907075026
96,1,le,0.005996554450269453
96,1,le2,0.18677687568339044
96,1,sl,0.020131744246635754
96,1,sl2,0.017656123250855058
95,1,wt,0.0029956779498603293
95,1,wt2,0
95,1,l,0.014894352722871164
95,1,l2,0.13954206575892883
95,1,fg,0.0053116192942035635
95,1,fg2,0.13083916631573386
95,1,eb,0
95,1,eb2,0.3438069085516112
95,1,im,0
95,1,im2,0
95,1,lp,0
95,1,lp2,0.345492863661925
95,1,le,0.01288747178308701
95,1,le2,0.1476864660840402
95,1,sl,0.04156108953570377
95,1,sl2,0.03329638670546272
94,1,wt,0.011069680141677909
94,1,wt2,0
94,1,l,0.006689722066280702
94,1,l2,0.1621598874264182
94,1,fg,0.011231131447285282
94,1,fg2,0.160110309606632
94,1,eb,0
94,1,eb2,0.3474288399034599
94,1,im,0
94,1,im2,0
94,1,lp,0
94,1,lp2,0.3474288399034599
94,1,le,6.705445606729763e-4
94,1,le2,0.14927157128725368
94,1,sl,0.0036627226724633088
94,1,sl2,0.0010439655086880468
93,1,wt,0.0063005975812507045
93,1,wt2,0
93,1,l,0.07342046573480725
93,1,l2,0.19209532806684432
93,1,fg,0.012605516247093303
93,1,fg2,0.18077270006251012
93,1,eb,0
93,1,eb2,0.33874017665054923
93,1,im,0
93,1,im2,0
93,1,lp,0
93,1,lp2,0.34702016258078944
93,1,le,0.0036976376437855723
93,1,le2,0.2170332048733075
93,1,sl,0.008695391856039935
93,1,sl2,0.008695391856039935
92,1,wt,0.004981087864344726
92,1,wt2,0
92,1,l,0.005148463309970454
92,1,l2,0.15122862150979588
92,1,fg,0.008575419077914979
92,1,fg2,0.1400952777567153
92,1,eb,0
92,1,eb2,0.34307851548696994
92,1,im,0
92,1,im2,0
92,1,lp,0
92,1,lp2,0.3447696835744777
92,1,le,0.03260262673487601
92,1,le2,0.19549902475962433
92,1,sl,0.009649498472043026
92,1,sl2,0.00373494635495292
91,1,wt,0.00456484444649001
91,1,wt2,0
91,1,l,0.005210568761722002
91,1,l2,0.14772567525011662
91,1,fg,0.01088662851280765
91,1,fg2,0.13854071775376361
91,1,eb,0
91,1,eb2,0.3450058551139928
91,1,im,0
91,1,im2,0
91,1,lp,0
91,1,lp2,0.34668322958098374
91,1,le,0.009310639265098807
91,1,le2,0.15966067215700766
91,1,sl,0.005502021936756577
91,1,sl2,0.017832541247280218
90,1,wt,0.010580387719069526
90,1,wt2,0
90,1,l,0.007044848069362953
90,1,l2,0.1685029558733059
90,1,fg,0.010295403494576276
90,1,fg2,0.12153898019405486
90,1,eb,0
90,1,eb2,0.3300495661627819
90,1,im,0
90,1,im2,0
90,1,lp,0
90,1,lp2,0.3351062732538662
90,1,le,0.01229994218590618
90,1,le2,0.1739117378329648
90,1,sl,0.010505998647596267
90,1,sl2,0.005772954951819077
89,1,wt,0.03851699604799461
89,1,wt2,0
89,1,l,0.06277640761302056
89,1,l2,0.16753819753872726
89,1,fg,0.002159388318502689
89,1,fg2,0.17810805630646842
89,1,eb,0
89,1,eb2,0.3483955229368453
89,1,im,0
89,1,im2,0
89,1,lp,0
89,1,lp2,0.3483955229368453
89,1,le,0.015448674533141915
89,1,le2,0.17009973145299692
89,1,sl,0.046387351651850366
89,1,sl2,0.0422442490602552
88,1,wt,0.01894198660684705
88,1,wt2,0
88,1,l,0.03740476791787366
88,1,l2,0.14820805152233796
88,1,fg,0.041573817939554066
88,1,fg2,0.1268536486293824
88,1,eb,0
88,1,eb2,0.3426917348525414
88,1,im,0
88,1,im2,0
88,1,lp,0
88,1,lp2,0.3443856710589731
88,1,le,0.00533895433952152
88,1,le2,0.1823342213553488
88,1,sl,0.010789964559398312
88,1,sl2,0.010789964559398312
87,1,wt,0.009871197617011877
87,1,wt2,0
87,1,l,0.016573515909107522
87,1,l2,0.15141668066143277
87,1,fg,0.011027682598488662
87,1,fg2,0.1603212663005164
87,1,eb,0
87,1,eb2,0.34210397136711523
87,1,im,0
87,1,im2,0
87,1,lp,0
87,1,lp2,0.34210397136711523
87,1,le,0.010951319297019542
87,1,le2,0.17642694866499414
87,1,sl,0.02011473867609652
87,1,sl2,0.026832255032535515
86,1,wt,0.00795757839771536
86,1,wt2,0
86,1,l,0.03692896415991606
86,1,l2,0.14053776148701538
86,1,fg,0.02182279707497507
86,1,fg2,0.14733708276966467
86,1,eb,0
86,1,eb2,0.3471412296641612
86,1,im,0
86,1,im2,0
86,1,lp,0
86,1,lp2,0.3471412296641612
86,1,le,0.011868215335715103
86,1,le2,0.16203072767690743
86,1,sl,0.009049936719027318
86,1,sl2,0.045296801606176225
85,1,wt,0.0012525829733157805
85,1,wt2,0
85,1,l,0.010770012942904344
85,1,l2,0.12349978261779136
85,1,fg,0.018205332625052896
