run,rho,method,NMI_scores
100,0.4,wt,1
100,0.4,wt2,1
100,0.4,l,1
100,0.4,l2,1
100,0.4,fg,1
100,0.4,fg2,1
100,0.4,eb,0
100,0.4,eb2,0.34867720581674816
100,0.4,im,0
100,0.4,im2,0
100,0.4,lp,1
100,0.4,lp2,1
100,0.4,le,0.9248349687610429
100,0.4,le2,0.758536946155112
100,0.4,sl,1
100,0.4,sl2,1
99,0.4,wt,1
99,0.4,wt2,1
99,0.4,l,1
99,0.4,l2,1
99,0.4,fg,1
99,0.4,fg2,1
99,0.4,eb,0
99,0.4,eb2,0.31215917217922423
99,0.4,im,0
99,0.4,im2,0
99,0.4,lp,0
99,0.4,lp2,1
99,0.4,le,1
99,0.4,le2,0.9505341439476224
99,0.4,sl,1
99,0.4,sl2,1
98,0.4,wt,0.8528070545292878
98,0.4,wt2,0.8528070545292878
98,0.4,l,0.8528070545292878
98,0.4,l2,0.8528070545292878
98,0.4,fg,0.8528070545292878
98,0.4,fg2,0.8528070545292878
98,0.4,eb,0
98,0.4,eb2,0
98,0.4,im,0
98,0.4,im2,0
98,0.4,lp,0
98,0.4,lp2,0
98,0.4,le,0.8296586966594033
98,0.4,le2,0.8306100519395587
98,0.4,sl,0.8528070545292878
98,0.4,sl2,0.8568734535276319
97,0.4,wt,1
97,0.4,wt2,1
97,0.4,l,1
97,0.4,l2,1
97,0.4,fg,1
97,0.4,fg2,1
97,0.4,eb,0
97,0.4,eb2,0.34239507925864177
97,0.4,im,0
97,0.4,im2,0
97,0.4,lp,1
97,0.4,lp2,1
97,0.4,le,0.8754654280501596
97,0.4,le2,0.8230532020065862
97,0.4,sl,0.9748524321286643
97,0.4,sl2,1
96,0.4,wt,1
96,0.4,wt2,1
96,0.4,l,1
96,0.4,l2,1
96,0.4,fg,1
96,0.4,fg2,1
96,0.4,eb,0.3845756368974894
96,0.4,eb2,0.3845756368974894
96,0.4,im,0
96,0.4,im2,0
96,0.4,lp,0
96,0.4,lp2,0
96,0.4,le,0.8569185285746749
96,0.4,le2,0.9516887230701564
96,0.4,sl,1
96,0.4,sl2,1
95,0.4,wt,1
95,0.4,wt2,0.7865155081738426
95,0.4,l,1
95,0.4,l2,1
95,0.4,fg,0.7865155081738426
95,0.4,fg2,0.7865155081738426
95,0.4,eb,0
95,0.4,eb2,0.3383242732501255
95,0.4,im,0
95,0.4,im2,0
95,0.4,lp,0
95,0.4,lp2,0
95,0.4,le,0.8138427318063528
95,0.4,le2,0.8490325506463751
95,0.4,sl,0.7865155081738426
95,0.4,sl2,0.7865155081738426
94,0.4,wt,1
94,0.4,wt2,1
94,0.4,l,1
94,0.4,l2,1
94,0.4,fg,1
94,0.4,fg2,1
94,0.4,eb,0
94,0.4,eb2,0.3440551887277713
94,0.4,im,0
94,0.4,im2,0
94,0.4,lp,0
94,0.4,lp2,0
94,0.4,le,0.9736203014689933
94,0.4,le2,0.8370617866181894
94,0.4,sl,1
94,0.4,sl2,0.9488159548433688
93,0.4,wt,1
93,0.4,wt2,1
93,0.4,l,1
93,0.4,l2,1
93,0.4,fg,1
93,0.4,fg2,1
93,0.4,eb,0
93,0.4,eb2,0.31163168924621465
93,0.4,im,0
93,0.4,im2,0
93,0.4,lp,0.8453467222699789
93,0.4,lp2,1
93,0.4,le,0.8747818363943606
93,0.4,le2,0.915163385421909
93,0.4,sl,0.9744157115471511
93,0.4,sl2,0.9757731526748238
92,0.4,wt,1
92,0.4,wt2,1
92,0.4,l,1
92,0.4,l2,1
92,0.4,fg,1
92,0.4,fg2,1
92,0.4,eb,0
92,0.4,eb2,0.3466937602686294
92,0.4,im,0
92,0.4,im2,0
92,0.4,lp,0
92,0.4,lp2,1
92,0.4,le,0.9479711581946457
92,0.4,le2,0.9312268746931114
92,0.4,sl,1
92,0.4,sl2,1
91,0.4,wt,1
91,0.4,wt2,1
91,0.4,l,1
91,0.4,l2,1
91,0.4,fg,1
91,0.4,fg2,1
91,0.4,eb,0
91,0.4,eb2,0.347524140276479
91,0.4,im,0
91,0.4,im2,0
91,0.4,lp,0
91,0.4,lp2,0
91,0.4,le,0.89299859175541
91,0.4,le2,0.9374839994108181
91,0.4,sl,1
91,0.4,sl2,0.9518923852483945
90,0.4,wt,1
90,0.4,wt2,1
90,0.4,l,1
90,0.4,l2,1
90,0.4,fg,1
90,0.4,fg2,1
90,0.4,eb,0.38663510436618237
90,0.4,eb2,0.3672648179667477
90,0.4,im,0
90,0.4,im2,0
90,0.4,lp,1
90,0.4,lp2,0.5581175960861844
90,0.4,le,0.8392314968352379
90,0.4,le2,0.7583256042530024
90,0.4,sl,0.9497440168481084
90,0.4,sl2,0.9757784746614335
89,0.4,wt,1
89,0.4,wt2,0.8092280175376366
89,0.4,l,1
89,0.4,l2,1
89,0.4,fg,1
89,0.4,fg2,1
89,0.4,eb,0
89,0.4,eb2,0.3471505521474642
89,0.4,im,0
89,0.4,im2,0
89,0.4,lp,0
89,0.4,lp2,0
89,0.4,le,0.9041616249804356
89,0.4,le2,0.8939798553996562
89,0.4,sl,0.813636485058434
89,0.4,sl2,0.8092280175376366
88,0.4,wt,1
88,0.4,wt2,1
88,0.4,l,1
88,0.4,l2,1
88,0.4,fg,1
88,0.4,fg2,1
88,0.4,eb,0
88,0.4,eb2,0.3371641716869435
88,0.4,im,0
88,0.4,im2,0
88,0.4,lp,0
88,0.4,lp2,0
88,0.4,le,0.8695405643774703
88,0.4,le2,0.8881731029473566
88,0.4,sl,1
88,0.4,sl2,1
87,0.4,wt,1
87,0.4,wt2,1
87,0.4,l,1
87,0.4,l2,1
87,0.4,fg,1
87,0.4,fg2,1
87,0.4,eb,0.3165038412414715
87,0.4,eb2,0.3124498372764821
87,0.4,im,0
87,0.4,im2,0
87,0.4,lp,0
87,0.4,lp2,1
87,0.4,le,0.864106380770245
87,0.4,le2,0.9136702773986355
