run,alpha,method,accuracies
1000,0.7,wt,0.62
1000,0.7,wt2,0.38
1000,0.7,l,0.74
1000,0.7,l2,0.86
1000,0.7,fg,0.56
1000,0.7,fg2,0.78
1000,0.7,eb,0.28
1000,0.7,eb2,1
1000,0.7,im,0.28
1000,0.7,im2,0.28
1000,0.7,lp,0.28
1000,0.7,lp2,1
1000,0.7,sl,0.74
1000,0.7,sl2,0.72
999,0.7,wt,0.56
999,0.7,wt2,0.34
999,0.7,l,0.7
999,0.7,l2,0.96
999,0.7,fg,0.46
999,0.7,fg2,0.8
999,0.7,eb,0.24
999,0.7,eb2,0.92
999,0.7,im,0.24
999,0.7,im2,0.24
999,0.7,lp,0.24
999,0.7,lp2,0.24
999,0.7,sl,0.96
999,0.7,sl2,0.96
998,0.7,wt,0.94
998,0.7,wt2,0.48
998,0.7,l,0.8
998,0.7,l2,0.94
998,0.7,fg,0.68
998,0.7,fg2,0.84
998,0.7,eb,0.26
998,0.7,eb2,0.94
998,0.7,im,0.26
998,0.7,im2,0.26
998,0.7,lp,0.26
998,0.7,lp2,1
998,0.7,sl,0.78
998,0.7,sl2,0.78
997,0.7,wt,0.66
997,0.7,wt2,0.4
997,0.7,l,0.7
997,0.7,l2,0.7
997,0.7,fg,0.52
997,0.7,fg2,0.66
997,0.7,eb,0.32
997,0.7,eb2,0.98
997,0.7,im,0.32
997,0.7,im2,0.32
997,0.7,lp,0.32
997,0.7,lp2,1
997,0.7,sl,0.7
997,0.7,sl2,0.7
996,0.7,wt,0.72
996,0.7,wt2,0.42
996,0.7,l,0.68
996,0.7,l2,0.72
996,0.7,fg,0.66
996,0.7,fg2,0.72
996,0.7,eb,0.32
996,0.7,eb2,0.94
996,0.7,im,0.32
996,0.7,im2,0.32
996,0.7,lp,0.32
996,0.7,lp2,1
996,0.7,sl,0.7
996,0.7,sl2,0.72
995,0.7,wt,0.6
995,0.7,wt2,0.54
995,0.7,l,0.72
995,0.7,l2,0.92
995,0.7,fg,0.58
995,0.7,fg2,0.84
995,0.7,eb,0.3
995,0.7,eb2,0.98
995,0.7,im,0.3
995,0.7,im2,0.3
995,0.7,lp,0.3
995,0.7,lp2,0.3
995,0.7,sl,0.68
995,0.7,sl2,0.66
994,0.7,wt,0.82
994,0.7,wt2,0.58
994,0.7,l,0.92
994,0.7,l2,0.94
994,0.7,fg,0.58
994,0.7,fg2,0.9
994,0.7,eb,0.28
994,0.7,eb2,0.88
994,0.7,im,0.28
994,0.7,im2,0.28
994,0.7,lp,0.28
994,0.7,lp2,1
994,0.7,sl,0.92
994,0.7,sl2,0.92
993,0.7,wt,0.58
993,0.7,wt2,0.44
993,0.7,l,0.8
993,0.7,l2,0.78
993,0.7,fg,0.54
993,0.7,fg2,0.68
993,0.7,eb,0.28
993,0.7,eb2,1
993,0.7,im,0.28
993,0.7,im2,0.28
993,0.7,lp,0.28
993,0.7,lp2,1
993,0.7,sl,0.7
993,0.7,sl2,0.7
992,0.7,wt,0.78
992,0.7,wt2,0.38
992,0.7,l,0.72
992,0.7,l2,0.82
992,0.7,fg,0.52
992,0.7,fg2,0.72
992,0.7,eb,0.34
992,0.7,eb2,0.82
992,0.7,im,0.34
992,0.7,im2,0.34
992,0.7,lp,0.34
992,0.7,lp2,1
992,0.7,sl,0.7
992,0.7,sl2,0.7
991,0.7,wt,0.78
991,0.7,wt2,0.44
991,0.7,l,0.72
991,0.7,l2,0.9
991,0.7,fg,0.56
991,0.7,fg2,0.82
991,0.7,eb,0.28
991,0.7,eb2,0.94
991,0.7,im,0.28
991,0.7,im2,0.28
991,0.7,lp,0.28
991,0.7,lp2,1
991,0.7,sl,0.72
991,0.7,sl2,0.72
990,0.7,wt,0.62
990,0.7,wt2,0.62
990,0.7,l,0.82
990,0.7,l2,0.98
990,0.7,fg,0.62
990,0.7,fg2,0.94
990,0.7,eb,0.26
990,0.7,eb2,1
990,0.7,im,0.26
990,0.7,im2,0.26
990,0.7,lp,0.26
990,0.7,lp2,1
990,0.7,sl,0.8
990,0.7,sl2,0.98
989,0.7,wt,0.74
989,0.7,wt2,0.52
989,0.7,l,0.84
989,0.7,l2,0.9
989,0.7,fg,0.72
989,0.7,fg2,0.86
989,0.7,eb,0.38
989,0.7,eb2,0.96
989,0.7,im,0.38
989,0.7,im2,0.38
989,0.7,lp,0.38
989,0.7,lp2,1
989,0.7,sl,0.94
989,0.7,sl2,0.94
988,0.7,wt,0.44
988,0.7,wt2,0.44
988,0.7,l,0.62
988,0.7,l2,0.9
988,0.7,fg,0.54
988,0.7,fg2,0.64
988,0.7,eb,0.24
988,0.7,eb2,0.98
988,0.7,im,0.24
988,0.7,im2,0.24
988,0.7,lp,0.24
988,0.7,lp2,1
988,0.7,sl,0.56
988,0.7,sl2,0.54
987,0.7,wt,0.56
987,0.7,wt2,0.48
987,0.7,l,0.94
987,0.7,l2,0.9
987,0.7,fg,0.52
987,0.7,fg2,0.84
987,0.7,eb,0.32
987,0.7,eb2,0.84
987,0.7,im,0.32
987,0.7,im2,0.32
987,0.7,lp,0.32
987,0.7,lp2,1
987,0.7,sl,0.94
987,0.7,sl2,0.94
986,0.7,wt,0.58
986,0.7,wt2,0.5
986,0.7,l,0.68
986,0.7,l2,0.88
986,0.7,fg,0.5
986,0.7,fg2,0.76
986,0.7,eb,0.32
986,0.7,eb2,0.9
986,0.7,im,0.32
986,0.7,im2,0.32
986,0.7,lp,0.32
986,0.7,lp2,0.32
986,0.7,sl,0.46
986,0.7,sl2,0.48
985,0.7,wt,0.38
985,0.7,wt2,0.44
985,0.7,l,0.66
985,0.7,l2,0.78
985,0.7,fg,0.52
985,0.7,fg2,0.74
985,0.7,eb,0.3
985,0.7,eb2,1
985,0.7,im,0.3
985,0.7,im2,0.3
985,0.7,lp,0.3
985,0.7,lp2,0.3
985,0.7,sl,0.66
985,0.7,sl2,0.66
984,0.7,wt,0.66
984,0.7,wt2,0.54
984,0.7,l,0.82
984,0.7,l2,0.96
984,0.7,fg,0.64
984,0.7,fg2,0.96
984,0.7,eb,0.36
984,0.7,eb2,1
984,0.7,im,0.36
