run,alpha,method,accuracies,c_count
100,0.4,wt,1,5
100,0.4,wt2,1,5
100,0.4,l,1,5
100,0.4,l2,1,5
100,0.4,fg,1,5
100,0.4,fg2,1,5
100,0.4,eb,0.28,1
100,0.4,eb2,1,50
100,0.4,im,0.28,1
100,0.4,im2,0.28,1
100,0.4,lp,1,5
100,0.4,lp2,0.28,1
100,0.4,sl,1,5
100,0.4,sl2,1,5
99,0.4,wt,1,5
99,0.4,wt2,1,5
99,0.4,l,1,5
99,0.4,l2,1,5
99,0.4,fg,1,5
99,0.4,fg2,1,5
99,0.4,eb,0.66,23
99,0.4,eb2,0.66,23
99,0.4,im,0.26,1
99,0.4,im2,0.26,1
99,0.4,lp,1,5
99,0.4,lp2,0.26,1
99,0.4,sl,1,5
99,0.4,sl2,1,5
98,0.4,wt,1,5
98,0.4,wt2,1,5
98,0.4,l,1,5
98,0.4,l2,1,5
98,0.4,fg,0.98,5
98,0.4,fg2,1,5
98,0.4,eb,0.9,31
98,0.4,eb2,0.9,31
98,0.4,im,0.28,1
98,0.4,im2,0.28,1
98,0.4,lp,0.28,1
98,0.4,lp2,0.28,1
98,0.4,sl,1,5
98,0.4,sl2,1,5
97,0.4,wt,1,5
97,0.4,wt2,1,5
97,0.4,l,1,5
97,0.4,l2,1,5
97,0.4,fg,1,5
97,0.4,fg2,1,5
97,0.4,eb,0.48,11
97,0.4,eb2,1,49
97,0.4,im,0.28,1
97,0.4,im2,0.28,1
97,0.4,lp,1,5
97,0.4,lp2,0.28,1
97,0.4,sl,1,6
97,0.4,sl2,1,5
96,0.4,wt,1,5
96,0.4,wt2,1,5
96,0.4,l,1,5
96,0.4,l2,1,5
96,0.4,fg,0.82,4
96,0.4,fg2,1,5
96,0.4,eb,0.82,27
96,0.4,eb2,0.82,27
96,0.4,im,0.24,1
96,0.4,im2,0.24,1
96,0.4,lp,1,5
96,0.4,lp2,0.24,1
96,0.4,sl,1,5
96,0.4,sl2,1,5
95,0.4,wt,1,5
95,0.4,wt2,1,5
95,0.4,l,0.98,5
95,0.4,l2,0.98,5
95,0.4,fg,0.96,5
95,0.4,fg2,0.96,5
95,0.4,eb,0.24,1
95,0.4,eb2,0.92,42
95,0.4,im,0.24,1
95,0.4,im2,0.24,1
95,0.4,lp,0.24,1
95,0.4,lp2,0.84,4
95,0.4,sl,0.98,6
95,0.4,sl2,0.98,6
94,0.4,wt,1,5
94,0.4,wt2,1,5
94,0.4,l,1,5
94,0.4,l2,1,5
94,0.4,fg,0.98,5
94,0.4,fg2,1,5
94,0.4,eb,0.26,1
94,0.4,eb2,0.92,37
94,0.4,im,0.26,1
94,0.4,im2,0.26,1
94,0.4,lp,0.8,4
94,0.4,lp2,0.26,1
94,0.4,sl,1,5
94,0.4,sl2,1,5
93,0.4,wt,1,5
93,0.4,wt2,1,5
93,0.4,l,1,5
93,0.4,l2,1,5
93,0.4,fg,1,5
93,0.4,fg2,1,5
93,0.4,eb,0.4,9
93,0.4,eb2,0.88,39
93,0.4,im,0.26,1
93,0.4,im2,0.26,1
93,0.4,lp,0.26,1
93,0.4,lp2,0.26,1
93,0.4,sl,1,5
93,0.4,sl2,1,5
92,0.4,wt,1,5
92,0.4,wt2,1,5
92,0.4,l,1,5
92,0.4,l2,1,5
92,0.4,fg,1,5
