run,rho,method,NMI_scores
100,0.6000000000000001,wt,0.4504820228176978
100,0.6000000000000001,wt2,0.41262010270741367
100,0.6000000000000001,l,0.5068624849422774
100,0.6000000000000001,l2,0.5296308677402488
100,0.6000000000000001,fg,0.5068624849422774
100,0.6000000000000001,fg2,0.5296308677402488
100,0.6000000000000001,eb,0
100,0.6000000000000001,eb2,0
100,0.6000000000000001,im,0
100,0.6000000000000001,im2,0
100,0.6000000000000001,lp,0
100,0.6000000000000001,lp2,0
100,0.6000000000000001,le,0.5098108477349743
100,0.6000000000000001,le2,0.4656605937081883
100,0.6000000000000001,sl,0.5068624849422774
100,0.6000000000000001,sl2,0.5068624849422774
99,0.6000000000000001,wt,0.4269703700224521
99,0.6000000000000001,wt2,0.4269703700224521
99,0.6000000000000001,l,0.4269703700224521
99,0.6000000000000001,l2,0.6377102209983608
99,0.6000000000000001,fg,0.4269703700224521
99,0.6000000000000001,fg2,0.7225944139094949
99,0.6000000000000001,eb,0.4269703700224521
99,0.6000000000000001,eb2,0.4269703700224521
99,0.6000000000000001,im,0
99,0.6000000000000001,im2,0
99,0.6000000000000001,lp,0
99,0.6000000000000001,lp2,0
99,0.6000000000000001,le,0.8696317641446344
99,0.6000000000000001,le2,0.9277083137444693
99,0.6000000000000001,sl,0.7225944139094949
99,0.6000000000000001,sl2,0.7225944139094949
98,0.6000000000000001,wt,0.3239123926077529
98,0.6000000000000001,wt2,0.3239123926077529
98,0.6000000000000001,l,0.6126629461274662
98,0.6000000000000001,l2,0.5874794019095403
98,0.6000000000000001,fg,0.37145826692781225
98,0.6000000000000001,fg2,0.5874794019095403
98,0.6000000000000001,eb,0
98,0.6000000000000001,eb2,0.4071938628557541
98,0.6000000000000001,im,0
98,0.6000000000000001,im2,0
98,0.6000000000000001,lp,0
98,0.6000000000000001,lp2,0
98,0.6000000000000001,le,0.5744806774232849
98,0.6000000000000001,le2,0.5935060615145735
98,0.6000000000000001,sl,0.6126629461274662
98,0.6000000000000001,sl2,0.6297642171156954
97,0.6000000000000001,wt,0.19854318153205952
97,0.6000000000000001,wt2,0.28486736580154826
97,0.6000000000000001,l,0.4306814819597146
97,0.6000000000000001,l2,0.4316732622222512
97,0.6000000000000001,fg,0.2327328526703763
97,0.6000000000000001,fg2,0.4316732622222512
97,0.6000000000000001,eb,0
97,0.6000000000000001,eb2,0.021130321872911376
97,0.6000000000000001,im,0
97,0.6000000000000001,im2,0
97,0.6000000000000001,lp,0
97,0.6000000000000001,lp2,0
97,0.6000000000000001,le,0.38259535914112003
97,0.6000000000000001,le2,0.3254727874988208
97,0.6000000000000001,sl,0.2327328526703763
97,0.6000000000000001,sl2,0.2327328526703763
96,0.6000000000000001,wt,0.4361833677558518
96,0.6000000000000001,wt2,0.21633329108880306
96,0.6000000000000001,l,0.19422713684722379
96,0.6000000000000001,l2,0.21553265037758565
96,0.6000000000000001,fg,0.19422713684722379
96,0.6000000000000001,fg2,0.21553265037758565
96,0.6000000000000001,eb,2.779058033899649e-16
96,0.6000000000000001,eb2,0.3059382863685476
96,0.6000000000000001,im,2.779058033899649e-16
96,0.6000000000000001,im2,2.779058033899649e-16
96,0.6000000000000001,lp,2.779058033899649e-16
96,0.6000000000000001,lp2,2.779058033899649e-16
96,0.6000000000000001,le,0.19422713684722379
96,0.6000000000000001,le2,0.21553265037758565
96,0.6000000000000001,sl,0.19422713684722379
96,0.6000000000000001,sl2,0.19422713684722379
95,0.6000000000000001,wt,0.03307268411085407
95,0.6000000000000001,wt2,0.33532474566000725
95,0.6000000000000001,l,0.2616121854790937
95,0.6000000000000001,l2,0.5268738846626219
95,0.6000000000000001,fg,0.3198513043419354
95,0.6000000000000001,fg2,0.5268738846626219
95,0.6000000000000001,eb,2.8723308671979065e-16
95,0.6000000000000001,eb2,2.8723308671979065e-16
95,0.6000000000000001,im,2.8723308671979065e-16
95,0.6000000000000001,im2,2.8723308671979065e-16
95,0.6000000000000001,lp,2.8723308671979065e-16
95,0.6000000000000001,lp2,2.8723308671979065e-16
95,0.6000000000000001,le,0.5932490249217491
95,0.6000000000000001,le2,0.5329286135001007
95,0.6000000000000001,sl,0.47176222447636995
95,0.6000000000000001,sl2,0.47176222447636995
94,0.6000000000000001,wt,0.39717444770460203
94,0.6000000000000001,wt2,0.31108939023318344
94,0.6000000000000001,l,0.4775671166212066
94,0.6000000000000001,l2,0.5839325143846001
94,0.6000000000000001,fg,0.3084290570238773
94,0.6000000000000001,fg2,0.5148502807825988
94,0.6000000000000001,eb,0
94,0.6000000000000001,eb2,0
94,0.6000000000000001,im,0
94,0.6000000000000001,im2,0
94,0.6000000000000001,lp,0
94,0.6000000000000001,lp2,0
94,0.6000000000000001,le,0
94,0.6000000000000001,le2,0.4720456270590104
94,0.6000000000000001,sl,0.4775671166212066
94,0.6000000000000001,sl2,0.4775671166212066
93,0.6000000000000001,wt,0.39880871215698005
93,0.6000000000000001,wt2,0.4298989435683199
93,0.6000000000000001,l,0.6504115568974165
93,0.6000000000000001,l2,0.6625908080949353
93,0.6000000000000001,fg,0.4449564270658198
93,0.6000000000000001,fg2,0.6895552974775742
93,0.6000000000000001,eb,0
93,0.6000000000000001,eb2,0.7018288726373532
93,0.6000000000000001,im,0
93,0.6000000000000001,im2,0
93,0.6000000000000001,lp,0
93,0.6000000000000001,lp2,0
93,0.6000000000000001,le,0.3972797338729549
93,0.6000000000000001,le2,0.3972797338729549
93,0.6000000000000001,sl,0.6504115568974165
93,0.6000000000000001,sl2,0.6504115568974165
92,0.6000000000000001,wt,0.06275243923311266
92,0.6000000000000001,wt2,0.44700424342154643
92,0.6000000000000001,l,0.5220575292322536
92,0.6000000000000001,l2,0.5102813058842329
92,0.6000000000000001,fg,0.5220575292322536
92,0.6000000000000001,fg2,0.5102813058842329
92,0.6000000000000001,eb,0
92,0.6000000000000001,eb2,0
92,0.6000000000000001,im,0
92,0.6000000000000001,im2,0
92,0.6000000000000001,lp,0
92,0.6000000000000001,lp2,0
92,0.6000000000000001,le,0.5220575292322536
92,0.6000000000000001,le2,0.5797705029650181
92,0.6000000000000001,sl,0.5220575292322536
92,0.6000000000000001,sl2,0.5220575292322536
91,0.6000000000000001,wt,0.463042193811441
91,0.6000000000000001,wt2,0.41708233938440986
91,0.6000000000000001,l,0.6625856764684611
91,0.6000000000000001,l2,0.6625856764684611
91,0.6000000000000001,fg,0.3436082502880497
91,0.6000000000000001,fg2,0.6625856764684611
91,0.6000000000000001,eb,0.377327332310153
91,0.6000000000000001,eb2,0.377327332310153
91,0.6000000000000001,im,-2.9099394132237035e-16
91,0.6000000000000001,im2,-2.9099394132237035e-16
91,0.6000000000000001,lp,-2.9099394132237035e-16
