run,rho,method,NMI_scores
100,0.4,wt,0.5213043292003271
100,0.4,wt2,0.5193555823425982
100,0.4,l,0.49162888798754667
100,0.4,l2,0.5193555823425982
100,0.4,fg,0.49162888798754667
100,0.4,fg2,0.5193555823425982
100,0.4,eb,0
100,0.4,eb2,0.28815029811728854
100,0.4,im,0
100,0.4,im2,0
100,0.4,lp,0
100,0.4,lp2,0
100,0.4,le,0.49162888798754667
100,0.4,le2,0.5193555823425982
100,0.4,sl,0.49162888798754667
100,0.4,sl2,0.5193555823425982
99,0.4,wt,0.7045827760110351
99,0.4,wt2,0.7615165915582652
99,0.4,l,0.6640280972511545
99,0.4,l2,0.6640280972511545
99,0.4,fg,0.6640280972511545
99,0.4,fg2,0.6640280972511545
99,0.4,eb,0.32664763700620575
99,0.4,eb2,0.32664763700620575
99,0.4,im,0
99,0.4,im2,0
99,0.4,lp,0
99,0.4,lp2,0.41776998303726237
99,0.4,le,0.6640280972511545
99,0.4,le2,0.6640280972511545
99,0.4,sl,0.6640280972511545
99,0.4,sl2,0.6640280972511545
98,0.4,wt,0.45611181178828913
98,0.4,wt2,0.41718252619855917
98,0.4,l,0.554503623874053
98,0.4,l2,0.6018744637257826
98,0.4,fg,0.4096096439098161
98,0.4,fg2,0.6018744637257826
98,0.4,eb,-2.810452483073622e-16
98,0.4,eb2,-2.810452483073622e-16
98,0.4,im,-2.810452483073622e-16
98,0.4,im2,-2.810452483073622e-16
98,0.4,lp,-2.810452483073622e-16
98,0.4,lp2,-2.810452483073622e-16
98,0.4,le,0.5668526599032316
98,0.4,le2,0.5829353493459932
98,0.4,sl,0.42424948341498125
98,0.4,sl2,0.4096096439098161
97,0.4,wt,0.3531553816947332
97,0.4,wt2,0.3531553816947332
97,0.4,l,0.3531553816947332
97,0.4,l2,0.6394206954111421
97,0.4,fg,0.3531553816947332
97,0.4,fg2,0.3531553816947332
97,0.4,eb,2.884906334821142e-16
97,0.4,eb2,2.884906334821142e-16
97,0.4,im,2.884906334821142e-16
97,0.4,im2,2.884906334821142e-16
97,0.4,lp,2.884906334821142e-16
97,0.4,lp2,2.884906334821142e-16
97,0.4,le,0.3531553816947332
97,0.4,le2,0.5871262169717102
97,0.4,sl,0.3531553816947332
97,0.4,sl2,0.37210433162431245
96,0.4,wt,0.3027590603636642
96,0.4,wt2,0.3027590603636642
96,0.4,l,0.3027590603636642
96,0.4,l2,0.5995919354950551
96,0.4,fg,0.3027590603636642
96,0.4,fg2,0.5995919354950551
96,0.4,eb,2.8569433032986867e-16
96,0.4,eb2,2.8569433032986867e-16
96,0.4,im,2.8569433032986867e-16
96,0.4,im2,2.8569433032986867e-16
96,0.4,lp,2.8569433032986867e-16
96,0.4,lp2,2.8569433032986867e-16
96,0.4,le,0.3027590603636642
96,0.4,le2,0.5995919354950551
96,0.4,sl,0.3027590603636642
96,0.4,sl2,0.3027590603636642
95,0.4,wt,0.3853949279584028
95,0.4,wt2,0.6544760878725527
95,0.4,l,0.6544760878725527
95,0.4,l2,0.6544760878725527
95,0.4,fg,0.6544760878725527
95,0.4,fg2,0.6544760878725527
95,0.4,eb,0.18675296240246497
95,0.4,eb2,0.4386677325213633
95,0.4,im,2.97372634234124e-16
95,0.4,im2,2.97372634234124e-16
95,0.4,lp,2.97372634234124e-16
95,0.4,lp2,2.97372634234124e-16
95,0.4,le,0.484072071306997
95,0.4,le2,0.7946919786229818
95,0.4,sl,0.6544760878725527
95,0.4,sl2,0.6544760878725527
94,0.4,wt,0.694094280143566
94,0.4,wt2,0.694094280143566
