run,rho,method,NMI_scores
100,0.5,wt,0.5160824548342403
100,0.5,wt2,0.4042225521604169
100,0.5,l,0.4042225521604169
100,0.5,l2,0.7068371539773671
100,0.5,fg,0.7068371539773671
100,0.5,fg2,0.7068371539773671
100,0.5,eb,0.4042225521604169
100,0.5,eb2,0.4042225521604169
100,0.5,im,-3.03374319335889e-16
100,0.5,im2,-3.03374319335889e-16
100,0.5,lp,-3.03374319335889e-16
100,0.5,lp2,-3.03374319335889e-16
100,0.5,le,NA
100,0.5,le2,NA
100,0.5,sl,0.7068371539773671
100,0.5,sl2,0.7101300792386697
99,0.5,wt,0.7171972617022014
99,0.5,wt2,0.4713179561823188
99,0.5,l,0.4380777712892515
99,0.5,l2,0.7064411111508054
99,0.5,fg,0.7064411111508054
99,0.5,fg2,0.7064411111508054
99,0.5,eb,0.4380777712892515
99,0.5,eb2,0.7230474324771091
99,0.5,im,0
99,0.5,im2,0
99,0.5,lp,0
99,0.5,lp2,0
99,0.5,le,0
99,0.5,le2,0.9454732928046581
99,0.5,sl,0.7171972617022014
99,0.5,sl2,0.7064411111508054
98,0.5,wt,0.43400814084887135
98,0.5,wt2,0.2649998840566419
98,0.5,l,0.19674592122164566
98,0.5,l2,0.45473403103062504
98,0.5,fg,0.19674592122164566
98,0.5,fg2,0.45473403103062504
98,0.5,eb,2.7929865325669206e-16
98,0.5,eb2,2.7929865325669206e-16
98,0.5,im,2.7929865325669206e-16
98,0.5,im2,2.7929865325669206e-16
98,0.5,lp,2.7929865325669206e-16
98,0.5,lp2,2.7929865325669206e-16
98,0.5,le,0.21989977048356818
98,0.5,le2,NA
98,0.5,sl,0.19674592122164566
98,0.5,sl2,0.19674592122164566
97,0.5,wt,0.25909018314357124
97,0.5,wt2,0.25909018314357124
97,0.5,l,0.25909018314357124
97,0.5,l2,0.39905284922440964
97,0.5,fg,0.25909018314357124
97,0.5,fg2,0.39905284922440964
97,0.5,eb,0.019571446300484
97,0.5,eb2,0.39735595156017833
97,0.5,im,0.019571446300484
97,0.5,im2,0.019571446300484
97,0.5,lp,0.019571446300484
97,0.5,lp2,0.019571446300484
97,0.5,le,0.44161050303455684
97,0.5,le2,0.4365367065787421
97,0.5,sl,NA
97,0.5,sl2,NA
96,0.5,wt,0.41761362023245174
96,0.5,wt2,0.3268704544692656
96,0.5,l,0.6523509347387851
96,0.5,l2,0.6679411290283784
96,0.5,fg,0.3096413079541031
96,0.5,fg2,0.6679411290283784
96,0.5,eb,0
96,0.5,eb2,0.13384993665289122
96,0.5,im,0
96,0.5,im2,0
96,0.5,lp,0
96,0.5,lp2,0
96,0.5,le,0.6523509347387855
96,0.5,le2,0.5398140346172645
96,0.5,sl,0.6523509347387851
96,0.5,sl2,0.6523509347387851
95,0.5,wt,0.26765106970331215
95,0.5,wt2,0.4718817622193949
95,0.5,l,0.4920360452374432
95,0.5,l2,0.6085344351928057
95,0.5,fg,0.4920360452374432
95,0.5,fg2,0.6085344351928057
95,0.5,eb,0
95,0.5,eb2,0
95,0.5,im,0
95,0.5,im2,0
95,0.5,lp,0
95,0.5,lp2,0
95,0.5,le,0.4341999923081806
95,0.5,le2,0.5951475116621192
95,0.5,sl,0.5059499517815667
95,0.5,sl2,0.5059499517815667
94,0.5,wt,0.4740569218411972
94,0.5,wt2,0.42248990256661695
94,0.5,l,0.42248990256661695
94,0.5,l2,0.5842173062940587
94,0.5,fg,0.42248990256661695
94,0.5,fg2,0.6080861329467954
94,0.5,eb,0.3173065487920561
94,0.5,eb2,0.443694758585657
94,0.5,im,0
94,0.5,im2,0
94,0.5,lp,0
94,0.5,lp2,0
94,0.5,le,0.48358965312528884
94,0.5,le2,0
94,0.5,sl,0.4731323609637301
94,0.5,sl2,0.42248990256661695
93,0.5,wt,0.41086973593679327
93,0.5,wt2,0.3365714472092795
93,0.5,l,0.33399752119517745
93,0.5,l2,0.6009566986763814
93,0.5,fg,0.32110722949462656
93,0.5,fg2,0.6120737025062821
93,0.5,eb,2.950275443508894e-16
93,0.5,eb2,0.20783358388546075
93,0.5,im,2.950275443508894e-16
93,0.5,im2,2.950275443508894e-16
93,0.5,lp,2.950275443508894e-16
93,0.5,lp2,2.950275443508894e-16
93,0.5,le,0.6120737025062821
93,0.5,le2,0.6120737025062821
93,0.5,sl,0.6120737025062821
93,0.5,sl2,0.612073702506282
92,0.5,wt,0.42150548199371624
92,0.5,wt2,0.3462417786414103
