run,rho,method,NMI_scores
100,0.4,wt,1
100,0.4,wt2,1
100,0.4,l,1
100,0.4,l2,1
100,0.4,fg,1
100,0.4,fg2,1
100,0.4,eb,0.3097047471453885
100,0.4,eb2,0.3176548388056044
100,0.4,im,0
100,0.4,im2,0
100,0.4,lp,0
100,0.4,lp2,1
100,0.4,le,0.9447380453679264
100,0.4,le2,0.9447380453679264
100,0.4,sl,1
100,0.4,sl2,0.9747756437504562
99,0.4,wt,1
99,0.4,wt2,1
99,0.4,l,1
99,0.4,l2,1
99,0.4,fg,1
99,0.4,fg2,1
99,0.4,eb,0.3852899977654533
99,0.4,eb2,0.3852899977654533
99,0.4,im,0
99,0.4,im2,0
99,0.4,lp,0
99,0.4,lp2,0
99,0.4,le,1
99,0.4,le2,0.8351660698240565
99,0.4,sl,1
99,0.4,sl2,1
98,0.4,wt,1
98,0.4,wt2,1
98,0.4,l,1
98,0.4,l2,1
98,0.4,fg,1
98,0.4,fg2,1
98,0.4,eb,0.3138761908080809
98,0.4,eb2,0.3314222319444787
98,0.4,im,0
98,0.4,im2,0
98,0.4,lp,0
98,0.4,lp2,0.8478988269314272
98,0.4,le,0.8007690241264552
98,0.4,le2,0.7815785346037887
98,0.4,sl,1
98,0.4,sl2,0.9728405551178889
97,0.4,wt,1
97,0.4,wt2,1
97,0.4,l,1
97,0.4,l2,1
97,0.4,fg,0.838673593241182
97,0.4,fg2,1
97,0.4,eb,0
97,0.4,eb2,0.34813141247384444
97,0.4,im,0
97,0.4,im2,0
97,0.4,lp,0
97,0.4,lp2,0
97,0.4,le,0.8942469775054026
97,0.4,le2,0.8782970431113221
97,0.4,sl,0.9746335876043952
97,0.4,sl2,1
96,0.4,wt,1
96,0.4,wt2,1
96,0.4,l,1
96,0.4,l2,1
96,0.4,fg,1
96,0.4,fg2,1
96,0.4,eb,0.297885968868933
96,0.4,eb2,0.31438900415085574
96,0.4,im,0
96,0.4,im2,0
96,0.4,lp,1
96,0.4,lp2,1
96,0.4,le,1
96,0.4,le2,1
96,0.4,sl,1
96,0.4,sl2,1
95,0.4,wt,1
95,0.4,wt2,1
95,0.4,l,1
95,0.4,l2,1
95,0.4,fg,1
95,0.4,fg2,1
95,0.4,eb,0.32238590663469324
95,0.4,eb2,0.3173165611133941
95,0.4,im,0
95,0.4,im2,0
95,0.4,lp,0.8052126681586326
95,0.4,lp2,1
95,0.4,le,0.9749468214343597
95,0.4,le2,1
95,0.4,sl,0.9749468214343597
95,0.4,sl2,1
94,0.4,wt,1
94,0.4,wt2,1
94,0.4,l,1
94,0.4,l2,1
94,0.4,fg,1
94,0.4,fg2,1
94,0.4,eb,0
94,0.4,eb2,0.344089049576267
94,0.4,im,0
94,0.4,im2,0
94,0.4,lp,0.8553914272159
94,0.4,lp2,0.7944748705180666
94,0.4,le,0.8477534300797881
94,0.4,le2,0.9351013051565588
94,0.4,sl,0.9744371379442492
94,0.4,sl2,1
93,0.4,wt,1
93,0.4,wt2,1
93,0.4,l,1
93,0.4,l2,1
93,0.4,fg,1
93,0.4,fg2,1
93,0.4,eb,0
93,0.4,eb2,0.34762743477815494
93,0.4,im,0
93,0.4,im2,0
93,0.4,lp,1
93,0.4,lp2,0.8156394736376344
93,0.4,le,1
93,0.4,le2,0.8611859793857825
93,0.4,sl,0.9757994793152713
93,0.4,sl2,1
92,0.4,wt,1
92,0.4,wt2,1
92,0.4,l,1
92,0.4,l2,1
92,0.4,fg,1
92,0.4,fg2,1
92,0.4,eb,0
92,0.4,eb2,0.3172061442621337
92,0.4,im,0
92,0.4,im2,0
92,0.4,lp,1
92,0.4,lp2,0
92,0.4,le,0.9378424129936496
92,0.4,le2,1
92,0.4,sl,0.976479716454183
92,0.4,sl2,1
91,0.4,wt,1
91,0.4,wt2,1
91,0.4,l,1
91,0.4,l2,1
91,0.4,fg,1
91,0.4,fg2,1
91,0.4,eb,0.32487720641777135
91,0.4,eb2,0.32487720641777135
91,0.4,im,0
91,0.4,im2,0
91,0.4,lp,0
91,0.4,lp2,0.8136287711307134
91,0.4,le,1
91,0.4,le2,0.9467565040347788
91,0.4,sl,1
91,0.4,sl2,1
90,0.4,wt,1
90,0.4,wt2,1
90,0.4,l,1
90,0.4,l2,1
90,0.4,fg,1
90,0.4,fg2,1
90,0.4,eb,0.3134746034768604
90,0.4,eb2,0.3483290882934303
90,0.4,im,0
90,0.4,im2,0
90,0.4,lp,1
90,0.4,lp2,1
90,0.4,le,0.914485986705451
90,0.4,le2,0.8712936304054829
90,0.4,sl,0.9741539738393648
90,0.4,sl2,1
89,0.4,wt,1
89,0.4,wt2,1
89,0.4,l,1
89,0.4,l2,1
89,0.4,fg,1
89,0.4,fg2,1
89,0.4,eb,0.3139288446043605
89,0.4,eb2,0.3188522851464542
89,0.4,im,0
89,0.4,im2,0
89,0.4,lp,0
89,0.4,lp2,0
89,0.4,le,0.8468523608251077
89,0.4,le2,0.9622621554719663
89,0.4,sl,0.9752215017483712
89,0.4,sl2,0.9746933345512764
88,0.4,wt,1
88,0.4,wt2,1
88,0.4,l,1
88,0.4,l2,1
88,0.4,fg,1
88,0.4,fg2,1
88,0.4,eb,0.3362761898852898
88,0.4,eb2,0.3362761898852898
88,0.4,im,0
88,0.4,im2,0
88,0.4,lp,0
88,0.4,lp2,1
88,0.4,le,1
88,0.4,le2,1
88,0.4,sl,0.9749084067756486
88,0.4,sl2,0.9749084067756486
87,0.4,wt,1
87,0.4,wt2,1
87,0.4,l,1
87,0.4,l2,1
87,0.4,fg,1
87,0.4,fg2,1
87,0.4,eb,0
87,0.4,eb2,0.3460987808535432
87,0.4,im,0
87,0.4,im2,0
87,0.4,lp,0
87,0.4,lp2,1
87,0.4,le,0.7821187152070195
87,0.4,le2,0.8529114403451742
87,0.4,sl,1
87,0.4,sl2,1
86,0.4,wt,1
86,0.4,wt2,1
86,0.4,l,1
