run,rho,method,NMI_scores
100,1,wt,0.3464915803977124
100,1,wt2,0
100,1,l,0
100,1,l2,0.18298542471226573
100,1,fg,0.010214306489846278
100,1,fg2,0.15189988920815084
100,1,eb,0
100,1,eb2,0.3464915803977124
100,1,im,0
100,1,im2,0
100,1,lp,0
100,1,lp2,0
100,1,le,0
100,1,le2,0.1812093232754037
100,1,sl,0.011310917297096795
100,1,sl2,0.015396226914358163
99,1,wt,0.34397092069613056
99,1,wt2,0
99,1,l,0.011563411246482486
99,1,l2,0.13316596512809975
99,1,fg,0.015524248959258703
99,1,fg2,0.12839715196598755
99,1,eb,0
99,1,eb2,0.34397092069613056
99,1,im,0
99,1,im2,0
99,1,lp,0
99,1,lp2,0.34397092069613056
99,1,le,0.0025444294371289498
99,1,le2,0.17141402609968429
99,1,sl,0.030687255199376404
99,1,sl2,0.020376623634706315
98,1,wt,0.3474288399034599
98,1,wt2,0
98,1,l,0.06070509178724689
98,1,l2,0.13700831245968562
98,1,fg,0.014971959380450787
98,1,fg2,0.11969951333870317
98,1,eb,0
98,1,eb2,0.33772476759878023
98,1,im,0
98,1,im2,0
98,1,lp,0
98,1,lp2,0
98,1,le,0.005421949725842727
98,1,le2,0.14277813332345501
98,1,sl,0.028977884894823086
98,1,sl2,0.02897918723564126
97,1,wt,0.3476638802371951
97,1,wt2,0
97,1,l,0.013387795970951931
97,1,l2,0.13306681512643773
97,1,fg,0.011515117437384887
97,1,fg2,0.10912389354724615
97,1,eb,0
97,1,eb2,0.3476638802371951
97,1,im,0
97,1,im2,0
97,1,lp,0
97,1,lp2,0.3476638802371951
97,1,le,0.002808399482416708
97,1,le2,0.16960543862264388
97,1,sl,0.004526387591883809
97,1,sl2,0.004526387591883809
96,1,wt,0.3382731962751076
96,1,wt2,0
96,1,l,0.05749771979420632
96,1,l2,0.14344567091740962
96,1,fg,0.023503555661635585
96,1,fg2,0.15378169038391162
96,1,eb,0
96,1,eb2,0.33627518549478186
96,1,im,0
96,1,im2,0
96,1,lp,0
96,1,lp2,0
96,1,le,0.006142795801942415
96,1,le2,0.22037367536244265
96,1,sl,0.005414186264191145
96,1,sl2,0.007414524017830994
95,1,wt,0.3461479211591932
95,1,wt2,0
95,1,l,0.01351496695358455
95,1,l2,0.13011352384031413
95,1,fg,0.02142572284456092
95,1,fg2,0.10847228250687675
95,1,eb,0
95,1,eb2,0.34417368723832353
95,1,im,0
95,1,im2,0
95,1,lp,0
95,1,lp2,0
95,1,le,0
95,1,le2,0.15786793440647182
95,1,sl,0.041143362576953404
95,1,sl2,0.028645489538418667
94,1,wt,0.34267362486468383
94,1,wt2,0
94,1,l,0.0032754107218883615
94,1,l2,0.14838640392248328
94,1,fg,0.018045342194777103
94,1,fg2,0.13963675872137532
94,1,eb,0
94,1,eb2,0.3382671585083105
94,1,im,0
94,1,im2,0
94,1,lp,0
94,1,lp2,0
94,1,le,0
94,1,le2,0.1582315955627509
94,1,sl,0.01132963498804623
94,1,sl2,0.01132963498804623
93,1,wt,0.34548896756062347
93,1,wt2,0
93,1,l,0
93,1,l2,0.1376585558610196
93,1,fg,0.0034265641057701123
93,1,fg2,0.10547120902311054
93,1,eb,0
93,1,eb2,0.34548896756062347
93,1,im,0
93,1,im2,0
93,1,lp,0
93,1,lp2,0
93,1,le,0
93,1,le2,0.18840718612368362
93,1,sl,0.0030813631897826286
93,1,sl2,0.00119540454161562
92,1,wt,0.346906189330426
92,1,wt2,0
92,1,l,0.002707328585074084
92,1,l2,0.1654595032304468
92,1,fg,0.00302705095838554
92,1,fg2,0.13519102893884857
92,1,eb,0
92,1,eb2,0.34754624913012105
92,1,im,0
92,1,im2,0
92,1,lp,0
92,1,lp2,0
92,1,le,0
92,1,le2,0.14741841356486457
92,1,sl,0.019444149309257697
92,1,sl2,0.003631763006462784
91,1,wt,0.34565421636040616
91,1,wt2,0
91,1,l,0.00823493531037515
91,1,l2,0.12308456205353231
91,1,fg,0.020184471683081125
91,1,fg2,0.14095766003570756
91,1,eb,0
91,1,eb2,0.34197429077272645
91,1,im,0
91,1,im2,0
91,1,lp,0
91,1,lp2,0
91,1,le,0
91,1,le2,0.19808714412137968
91,1,sl,0.01705802782714168
91,1,sl2,0.01724238016091234
90,1,wt,0.34334889655921647
90,1,wt2,0
90,1,l,0.037509929181261434
90,1,l2,0.16736152600110915
90,1,fg,0.013688999971828904
90,1,fg2,0.14151647262589598
90,1,eb,0
90,1,eb2,0.3443856005175217
90,1,im,0
90,1,im2,0
90,1,lp,0
90,1,lp2,0.34334889655921647
90,1,le,0.002545965896254814
90,1,le2,0.17129575884073778
90,1,sl,0.02279617209407592
90,1,sl2,0.012736792870831406
89,1,wt,0.3464347226544419
89,1,wt2,0
89,1,l,0
89,1,l2,0.14899157783402878
89,1,fg,0.013169449415297395
89,1,fg2,0.14175170176194338
89,1,eb,0
89,1,eb2,0.3444613546989164
89,1,im,0
89,1,im2,0
89,1,lp,0
89,1,lp2,0
89,1,le,0
89,1,le2,0.1670035602328266
89,1,sl,0.010282370813435845
89,1,sl2,0.006107703047057966
88,1,wt,0.34474071921296107
88,1,wt2,0
88,1,l,0.018948869997058335
88,1,l2,0.12125543839805494
88,1,fg,0.0066019642082583395
88,1,fg2,0.13543546962767583
88,1,eb,0
88,1,eb2,0.3400173429113104
88,1,im,0
88,1,im2,0
88,1,lp,0
88,1,lp2,0
88,1,le,0
88,1,le2,0.18658312555368775
88,1,sl,0.027643795883300945
88,1,sl2,0.009154108166449449
87,1,wt,0.3477583218489841
87,1,wt2,0
87,1,l,0.014080900470515497
87,1,l2,0.15745337259425396
87,1,fg,0.00678935188641189
87,1,fg2,0.1463861825080036
87,1,eb,0
87,1,eb2,0.3477583218489841
87,1,im,0
87,1,im2,0
87,1,lp,0
87,1,lp2,0
87,1,le,0
87,1,le2,0.2167100859058708
87,1,sl,0.0064367728796653366
87,1,sl2,0.0064367728796653366
86,1,wt,0.341694354556962
86,1,wt2,0
86,1,l,0.014325444559282592
86,1,l2,0.13234384720706807
86,1,fg,0.025417551417775134
86,1,fg2,0.12955810617991237
86,1,eb,0
86,1,eb2,0.33998101824288046
86,1,im,0
86,1,im2,0
86,1,lp,0
86,1,lp2,0
86,1,le,0
86,1,le2,0.16197281619199333
86,1,sl,0.0033396563105734575
86,1,sl2,0.0049379662152359794
85,1,wt,0.34513056735928027
85,1,wt2,0
85,1,l,0.01037805638907446
85,1,l2,0.13026716693544543
85,1,fg,0.021312012349473664
85,1,fg2,0.15910196939644672
85,1,eb,0
85,1,eb2,0.3334836947398372
85,1,im,0
85,1,im2,0
85,1,lp,0
85,1,lp2,0
85,1,le,0
85,1,le2,0.1699879204434147
85,1,sl,0.025068490165350645
85,1,sl2,0.022282365649375822
84,1,wt,0.34702016258078944
84,1,wt2,0
84,1,l,0
84,1,l2,0.13171365501869625
84,1,fg,0.0032415522455397877
84,1,fg2,0.10956645969041454
84,1,eb,0
84,1,eb2,0.34504856229626873
84,1,im,0
84,1,im2,0
84,1,lp,0
84,1,lp2,0
84,1,le,0
84,1,le2,0.1697348683075478
84,1,sl,0.003863414851434682
84,1,sl2,0.00972133454707198
83,1,wt,0.3464915803977124
83,1,wt2,0
83,1,l,0.013583486110871342
83,1,l2,0.13400743122483688
83,1,fg,0.011139610436033131
83,1,fg2,0.13869412337528056
83,1,eb,0
83,1,eb2,0.3464915803977124
83,1,im,0
83,1,im2,0
83,1,lp,0
83,1,lp2,0
83,1,le,0
