run,rho,method,NMI_scores
100,0.30000000000000004,wt,0.7539894201556525
100,0.30000000000000004,wt2,0.7858733619719587
100,0.30000000000000004,l,0.7346598863282127
100,0.30000000000000004,l2,0.7346598863282127
100,0.30000000000000004,fg,0.7346598863282127
100,0.30000000000000004,fg2,0.7346598863282127
100,0.30000000000000004,eb,0.21019427837093507
100,0.30000000000000004,eb2,0.21019427837093507
100,0.30000000000000004,im,2.8252711322854604e-16
100,0.30000000000000004,im2,2.8252711322854604e-16
100,0.30000000000000004,lp,2.8252711322854604e-16
100,0.30000000000000004,lp2,0.6262029412622139
100,0.30000000000000004,le,NA
100,0.30000000000000004,le2,NA
100,0.30000000000000004,sl,0.7346598863282127
100,0.30000000000000004,sl2,0.7346598863282127
99,0.30000000000000004,wt,0.38386228437095476
99,0.30000000000000004,wt2,0.6614696856768785
99,0.30000000000000004,l,0.6441670696396005
99,0.30000000000000004,l2,0.7792385136736005
99,0.30000000000000004,fg,0.6441670696396005
99,0.30000000000000004,fg2,0.6441670696396005
99,0.30000000000000004,eb,0
99,0.30000000000000004,eb2,0.4790732735288554
99,0.30000000000000004,im,0
99,0.30000000000000004,im2,0
99,0.30000000000000004,lp,0
99,0.30000000000000004,lp2,0
99,0.30000000000000004,le,0.7473398213747446
99,0.30000000000000004,le2,0.6714870513637514
99,0.30000000000000004,sl,0.7792385136736005
99,0.30000000000000004,sl2,0.7792385136736005
98,0.30000000000000004,wt,0.8851874188664063
98,0.30000000000000004,wt2,0.8851874188664063
98,0.30000000000000004,l,0.7104585903232503
98,0.30000000000000004,l2,0.8851874188664063
98,0.30000000000000004,fg,0.7104585903232503
98,0.30000000000000004,fg2,0.8851874188664063
98,0.30000000000000004,eb,0.49271330918981554
98,0.30000000000000004,eb2,0.49271330918981554
98,0.30000000000000004,im,0
98,0.30000000000000004,im2,0
98,0.30000000000000004,lp,0
98,0.30000000000000004,lp2,0.4303072881687288
98,0.30000000000000004,le,0.8851874188664063
98,0.30000000000000004,le2,0.8851874188664063
98,0.30000000000000004,sl,0.8851874188664063
98,0.30000000000000004,sl2,0.8851874188664063
97,0.30000000000000004,wt,0.496307942729786
97,0.30000000000000004,wt2,0.496307942729786
97,0.30000000000000004,l,0.496307942729786
97,0.30000000000000004,l2,0.7912854349997996
97,0.30000000000000004,fg,0.496307942729786
97,0.30000000000000004,fg2,0.7912854349997996
97,0.30000000000000004,eb,0.4382002230519445
97,0.30000000000000004,eb2,0.4382002230519445
97,0.30000000000000004,im,0
97,0.30000000000000004,im2,0
97,0.30000000000000004,lp,0
97,0.30000000000000004,lp2,0.496307942729786
97,0.30000000000000004,le,0.7912854349997996
97,0.30000000000000004,le2,0.7912854349997996
97,0.30000000000000004,sl,0.7912854349997996
97,0.30000000000000004,sl2,0.7912854349997996
96,0.30000000000000004,wt,0.7462698201981495
96,0.30000000000000004,wt2,0.7575284146733103
96,0.30000000000000004,l,0.7462698201981495
96,0.30000000000000004,l2,0.7462698201981495
96,0.30000000000000004,fg,0.7462698201981495
96,0.30000000000000004,fg2,0.7462698201981495
96,0.30000000000000004,eb,0
96,0.30000000000000004,eb2,0.06612205348614002
96,0.30000000000000004,im,0
96,0.30000000000000004,im2,0
