run,alpha,method,accuracies
1000,0.8,wt,0.46
1000,0.8,wt2,0.3
1000,0.8,l,0.46
1000,0.8,l2,0.6
1000,0.8,fg,0.42
1000,0.8,fg2,0.56
1000,0.8,eb,0.3
1000,0.8,eb2,1
1000,0.8,im,0.3
1000,0.8,im2,0.3
1000,0.8,lp,0.3
1000,0.8,lp2,1
1000,0.8,sl,0.52
1000,0.8,sl2,0.52
999,0.8,wt,0.44
999,0.8,wt2,0.28
999,0.8,l,0.48
999,0.8,l2,0.78
999,0.8,fg,0.36
999,0.8,fg2,0.6
999,0.8,eb,0.28
999,0.8,eb2,1
999,0.8,im,0.28
999,0.8,im2,0.28
999,0.8,lp,0.28
999,0.8,lp2,1
999,0.8,sl,0.42
999,0.8,sl2,0.42
998,0.8,wt,0.44
998,0.8,wt2,0.22
998,0.8,l,0.6
998,0.8,l2,0.76
998,0.8,fg,0.56
998,0.8,fg2,0.72
998,0.8,eb,0.22
998,0.8,eb2,0.94
998,0.8,im,0.22
998,0.8,im2,0.22
998,0.8,lp,0.22
998,0.8,lp2,1
998,0.8,sl,0.56
998,0.8,sl2,0.56
997,0.8,wt,0.32
997,0.8,wt2,0.26
997,0.8,l,0.52
997,0.8,l2,0.68
997,0.8,fg,0.5
997,0.8,fg2,0.64
997,0.8,eb,0.26
997,0.8,eb2,1
997,0.8,im,0.26
997,0.8,im2,0.26
997,0.8,lp,0.26
997,0.8,lp2,1
997,0.8,sl,0.56
997,0.8,sl2,0.54
996,0.8,wt,0.34
996,0.8,wt2,0.26
996,0.8,l,0.54
996,0.8,l2,0.52
996,0.8,fg,0.5
996,0.8,fg2,0.62
996,0.8,eb,0.26
996,0.8,eb2,0.88
996,0.8,im,0.26
996,0.8,im2,0.26
996,0.8,lp,0.26
996,0.8,lp2,1
996,0.8,sl,0.44
996,0.8,sl2,0.44
995,0.8,wt,0.38
995,0.8,wt2,0.28
995,0.8,l,0.44
995,0.8,l2,0.56
995,0.8,fg,0.4
995,0.8,fg2,0.58
995,0.8,eb,0.28
995,0.8,eb2,0.98
995,0.8,im,0.28
995,0.8,im2,0.28
995,0.8,lp,0.28
995,0.8,lp2,1
995,0.8,sl,0.46
995,0.8,sl2,0.46
994,0.8,wt,0.4
994,0.8,wt2,0.24
994,0.8,l,0.54
994,0.8,l2,0.72
994,0.8,fg,0.38
994,0.8,fg2,0.64
994,0.8,eb,0.24
994,0.8,eb2,0.92
994,0.8,im,0.24
994,0.8,im2,0.24
994,0.8,lp,0.24
994,0.8,lp2,1
994,0.8,sl,0.56
994,0.8,sl2,0.56
993,0.8,wt,0.38
993,0.8,wt2,0.24
993,0.8,l,0.46
993,0.8,l2,0.66
993,0.8,fg,0.36
993,0.8,fg2,0.6
993,0.8,eb,0.24
993,0.8,eb2,0.9
993,0.8,im,0.24
993,0.8,im2,0.24
993,0.8,lp,0.24
993,0.8,lp2,1
993,0.8,sl,0.42
993,0.8,sl2,0.44
992,0.8,wt,0.52
992,0.8,wt2,0.32
992,0.8,l,0.52
992,0.8,l2,0.72
992,0.8,fg,0.52
992,0.8,fg2,0.72
992,0.8,eb,0.32
992,0.8,eb2,0.84
992,0.8,im,0.32
992,0.8,im2,0.32
992,0.8,lp,0.32
992,0.8,lp2,1
992,0.8,sl,0.58
992,0.8,sl2,0.58
991,0.8,wt,0.38
991,0.8,wt2,0.28
991,0.8,l,0.48
991,0.8,l2,0.64
991,0.8,fg,0.38
991,0.8,fg2,0.66
991,0.8,eb,0.28
991,0.8,eb2,0.98
991,0.8,im,0.28
991,0.8,im2,0.28
991,0.8,lp,0.28
991,0.8,lp2,1
991,0.8,sl,0.44
991,0.8,sl2,0.46
990,0.8,wt,0.38
990,0.8,wt2,0.3
990,0.8,l,0.5
990,0.8,l2,0.66
990,0.8,fg,0.36
990,0.8,fg2,0.68
990,0.8,eb,0.3
990,0.8,eb2,0.94
990,0.8,im,0.3
990,0.8,im2,0.3
990,0.8,lp,0.3
990,0.8,lp2,1
990,0.8,sl,0.54
990,0.8,sl2,0.56
989,0.8,wt,0.44
989,0.8,wt2,0.24
989,0.8,l,0.52
989,0.8,l2,0.66
989,0.8,fg,0.42
989,0.8,fg2,0.66
989,0.8,eb,0.24
989,0.8,eb2,0.96
989,0.8,im,0.24
989,0.8,im2,0.24
989,0.8,lp,0.24
989,0.8,lp2,1
989,0.8,sl,0.54
989,0.8,sl2,0.54
988,0.8,wt,0.42
988,0.8,wt2,0.26
988,0.8,l,0.56
988,0.8,l2,0.62
988,0.8,fg,0.52
988,0.8,fg2,0.76
988,0.8,eb,0.26
988,0.8,eb2,0.98
988,0.8,im,0.26
988,0.8,im2,0.26
988,0.8,lp,0.26
988,0.8,lp2,1
988,0.8,sl,0.56
988,0.8,sl2,0.56
987,0.8,wt,0.36
987,0.8,wt2,0.26
987,0.8,l,0.48
987,0.8,l2,0.54
987,0.8,fg,0.34
