run,alpha,method,accuracies,c_count
100,0.1,wt,1,5
100,0.1,wt2,1,5
100,0.1,l,1,5
100,0.1,l2,1,5
100,0.1,fg,1,5
100,0.1,fg2,1,5
100,0.1,eb,0.56,22
100,0.1,eb2,0.56,22
100,0.1,im,1,5
100,0.1,im2,1,5
100,0.1,lp,1,5
100,0.1,lp2,1,5
100,0.1,sl,1,6
100,0.1,sl2,1,5
99,0.1,wt,1,5
99,0.1,wt2,1,5
99,0.1,l,1,5
99,0.1,l2,1,5
99,0.1,fg,1,5
99,0.1,fg2,1,5
99,0.1,eb,0.8,30
99,0.1,eb2,0.8,30
99,0.1,im,1,5
99,0.1,im2,1,5
99,0.1,lp,1,5
99,0.1,lp2,1,5
99,0.1,sl,1,5
99,0.1,sl2,1,5
98,0.1,wt,1,5
98,0.1,wt2,1,5
98,0.1,l,1,5
98,0.1,l2,1,5
98,0.1,fg,1,5
98,0.1,fg2,1,5
98,0.1,eb,0.32,6
98,0.1,eb2,0.76,35
98,0.1,im,1,5
98,0.1,im2,1,5
98,0.1,lp,1,5
98,0.1,lp2,1,5
98,0.1,sl,1,5
98,0.1,sl2,1,5
97,0.1,wt,1,5
97,0.1,wt2,1,5
97,0.1,l,1,5
97,0.1,l2,1,5
97,0.1,fg,1,5
97,0.1,fg2,1,5
97,0.1,eb,0.9,23
97,0.1,eb2,0.9,23
97,0.1,im,1,5
97,0.1,im2,1,5
97,0.1,lp,1,5
97,0.1,lp2,1,5
97,0.1,sl,1,5
97,0.1,sl2,1,5
96,0.1,wt,1,5
96,0.1,wt2,1,5
96,0.1,l,1,5
96,0.1,l2,1,5
96,0.1,fg,1,5
96,0.1,fg2,1,5
96,0.1,eb,0.68,28
96,0.1,eb2,0.68,28
96,0.1,im,1,5
96,0.1,im2,1,5
96,0.1,lp,1,5
96,0.1,lp2,1,5
96,0.1,sl,1,5
96,0.1,sl2,1,5
95,0.1,wt,1,5
95,0.1,wt2,1,5
95,0.1,l,1,5
95,0.1,l2,1,5
95,0.1,fg,1,5
95,0.1,fg2,1,5
95,0.1,eb,0.62,23
95,0.1,eb2,0.82,33
95,0.1,im,1,5
95,0.1,im2,1,5
95,0.1,lp,1,5
95,0.1,lp2,1,5
95,0.1,sl,1,5
95,0.1,sl2,1,5
94,0.1,wt,1,5
94,0.1,wt2,1,5
94,0.1,l,1,5
94,0.1,l2,1,5
94,0.1,fg,1,5
94,0.1,fg2,1,5
94,0.1,eb,0.56,20
94,0.1,eb2,0.56,20
94,0.1,im,1,5
94,0.1,im2,1,5
94,0.1,lp,1,5
94,0.1,lp2,1,5
94,0.1,sl,1,5
94,0.1,sl2,1,5
93,0.1,wt,1,5
93,0.1,wt2,1,5
93,0.1,l,1,5
93,0.1,l2,1,5
93,0.1,fg,1,5
93,0.1,fg2,1,5
93,0.1,eb,0.7,28
93,0.1,eb2,0.7,28
93,0.1,im,1,5
93,0.1,im2,1,5
93,0.1,lp,1,5
93,0.1,lp2,1,5
93,0.1,sl,1,6
93,0.1,sl2,1,5
92,0.1,wt,1,5
92,0.1,wt2,1,5
92,0.1,l,1,5
92,0.1,l2,1,5
92,0.1,fg,1,5
92,0.1,fg2,1,5
92,0.1,eb,0.5,15
92,0.1,eb2,0.5,15
92,0.1,im,1,5
92,0.1,im2,1,5
92,0.1,lp,1,5
92,0.1,lp2,1,5
92,0.1,sl,1,5
92,0.1,sl2,1,5
91,0.1,wt,1,5
91,0.1,wt2,1,5
91,0.1,l,1,5
91,0.1,l2,1,5
91,0.1,fg,1,5
91,0.1,fg2,1,5
91,0.1,eb,0.92,32
91,0.1,eb2,0.92,32
91,0.1,im,1,5
91,0.1,im2,1,5
91,0.1,lp,1,5
91,0.1,lp2,1,5
91,0.1,sl,0.98,5
91,0.1,sl2,1,6
90,0.1,wt,1,5
90,0.1,wt2,1,5
90,0.1,l,1,5
90,0.1,l2,1,5
90,0.1,fg,1,5
90,0.1,fg2,1,5
90,0.1,eb,0.5,17
90,0.1,eb2,0.7,29
90,0.1,im,1,5
90,0.1,im2,1,5
90,0.1,lp,1,5
90,0.1,lp2,1,5
90,0.1,sl,1,5
90,0.1,sl2,1,7
89,0.1,wt,1,5
89,0.1,wt2,1,5
89,0.1,l,1,5
89,0.1,l2,1,5
89,0.1,fg,1,5
89,0.1,fg2,1,5
89,0.1,eb,0.64,26
89,0.1,eb2,0.64,26
89,0.1,im,1,5
89,0.1,im2,1,5
89,0.1,lp,1,5
89,0.1,lp2,1,5
89,0.1,sl,1,5
89,0.1,sl2,1,6
88,0.1,wt,1,5
88,0.1,wt2,1,5
88,0.1,l,1,5
88,0.1,l2,1,5
88,0.1,fg,1,5
88,0.1,fg2,1,5
88,0.1,eb,0.5,19
88,0.1,eb2,0.5,19
88,0.1,im,1,5
88,0.1,im2,1,5
88,0.1,lp,1,5
88,0.1,lp2,1,5
88,0.1,sl,1,5
88,0.1,sl2,1,5
87,0.1,wt,1,5
87,0.1,wt2,1,5
87,0.1,l,1,5
87,0.1,l2,1,5
87,0.1,fg,1,5
87,0.1,fg2,1,5
87,0.1,eb,0.72,26
87,0.1,eb2,0.72,26
87,0.1,im,1,5
87,0.1,im2,1,5
87,0.1,lp,1,5
87,0.1,lp2,1,5
87,0.1,sl,1,5
87,0.1,sl2,1,5
86,0.1,wt,1,5
86,0.1,wt2,1,5
86,0.1,l,1,5
86,0.1,l2,1,5
86,0.1,fg,1,5
86,0.1,fg2,1,5
86,0.1,eb,0.54,21
86,0.1,eb2,0.6,24
86,0.1,im,1,5
86,0.1,im2,1,5
86,0.1,lp,1,5
86,0.1,lp2,1,5
86,0.1,sl,1,5
86,0.1,sl2,1,5
85,0.1,wt,1,5
85,0.1,wt2,1,5
85,0.1,l,1,5
85,0.1,l2,1,5
85,0.1,fg,1,5
85,0.1,fg2,1,5
85,0.1,eb,0.88,37
85,0.1,eb2,0.88,37
85,0.1,im,1,5
85,0.1,im2,1,5
85,0.1,lp,1,5
85,0.1,lp2,1,5
85,0.1,sl,1,5
85,0.1,sl2,1,6
84,0.1,wt,1,5
84,0.1,wt2,1,5
84,0.1,l,1,5
84,0.1,l2,1,5
84,0.1,fg,1,5
84,0.1,fg2,1,5
84,0.1,eb,0.44,12
84,0.1,eb2,0.68,29
84,0.1,im,1,5
84,0.1,im2,1,5
84,0.1,lp,1,5
84,0.1,lp2,1,5
