run,alpha,method,accuracies,c_count
100,1,wt,0.44,3
100,1,wt2,0.3,1
100,1,l,0.38,3
100,1,l2,0.48,7
100,1,fg,0.36,3
100,1,fg2,0.48,7
100,1,eb,0.3,1
100,1,eb2,0.9,44
100,1,im,0.3,1
100,1,im2,0.3,1
100,1,lp,0.3,1
100,1,lp2,1,50
100,1,sl,0.38,3
100,1,sl2,0.38,3
99,1,wt,0.24,2
99,1,wt2,0.24,1
99,1,l,0.32,3
99,1,l2,0.44,8
99,1,fg,0.26,2
99,1,fg2,0.4,8
99,1,eb,0.24,1
99,1,eb2,0.96,48
99,1,im,0.24,1
99,1,im2,0.24,1
99,1,lp,0.24,1
99,1,lp2,1,50
99,1,sl,0.32,3
99,1,sl2,0.24,2
98,1,wt,0.36,3
98,1,wt2,0.28,1
98,1,l,0.42,4
98,1,l2,0.4,6
98,1,fg,0.32,2
98,1,fg2,0.52,8
98,1,eb,0.28,1
98,1,eb2,0.96,47
98,1,im,0.28,1
98,1,im2,0.28,1
98,1,lp,0.28,1
98,1,lp2,1,50
98,1,sl,0.32,3
98,1,sl2,0.32,3
97,1,wt,0.3,3
97,1,wt2,0.26,1
97,1,l,0.3,3
97,1,l2,0.38,6
97,1,fg,0.28,3
97,1,fg2,0.36,6
97,1,eb,0.26,1
97,1,eb2,0.88,42
97,1,im,0.26,1
97,1,im2,0.26,1
97,1,lp,0.26,1
97,1,lp2,1,50
97,1,sl,0.3,3
97,1,sl2,0.3,3
96,1,wt,0.32,2
96,1,wt2,0.3,1
96,1,l,0.4,3
96,1,l2,0.5,8
96,1,fg,0.32,2
96,1,fg2,0.5,7
96,1,eb,0.3,1
96,1,eb2,0.9,43
96,1,im,0.3,1
96,1,im2,0.3,1
96,1,lp,0.3,1
96,1,lp2,1,50
96,1,sl,0.36,3
96,1,sl2,0.4,3
95,1,wt,0.32,2
95,1,wt2,0.3,1
95,1,l,0.3,2
95,1,l2,0.38,7
95,1,fg,0.34,3
95,1,fg2,0.42,7
95,1,eb,0.3,1
95,1,eb2,0.98,49
95,1,im,0.3,1
