run,rho,method,NMI_scores
100,0.9,wt,0.4216720246159763
100,0.9,wt2,0
100,0.9,l,0.1321206781385612
100,0.9,l2,0.2813196842818736
100,0.9,fg,0.23721183573289972
100,0.9,fg2,0.21082028035497485
100,0.9,eb,0
100,0.9,eb2,0
100,0.9,im,0
100,0.9,im2,0
100,0.9,lp,0
100,0.9,lp2,0
100,0.9,le,0
100,0.9,le2,0
100,0.9,sl,0.1505729239409398
100,0.9,sl2,0.17545988234825957
99,0.9,wt,0.4333411136250872
99,0.9,wt2,0
99,0.9,l,0.17551512518126716
99,0.9,l2,0.3161108739183069
99,0.9,fg,0.13223039020795285
99,0.9,fg2,0.34260695154403503
99,0.9,eb,0
99,0.9,eb2,0.3163445267764162
99,0.9,im,0
99,0.9,im2,0
99,0.9,lp,0
99,0.9,lp2,0
99,0.9,le,0
99,0.9,le2,NA
99,0.9,sl,0.20345712968305738
99,0.9,sl2,0.2287737608910384
98,0.9,wt,0.4656201144648053
98,0.9,wt2,0
98,0.9,l,0.1339239974733263
98,0.9,l2,0.4794575518555195
98,0.9,fg,0.16828841312447507
98,0.9,fg2,0.4385620517804173
98,0.9,eb,0
98,0.9,eb2,0
98,0.9,im,0
98,0.9,im2,0
98,0.9,lp,0
98,0.9,lp2,0
98,0.9,le,0
98,0.9,le2,0.4138040915564986
98,0.9,sl,0.28016356205054177
98,0.9,sl2,0.23374062339967497
97,0.9,wt,0.4533037460192472
97,0.9,wt2,0
97,0.9,l,0.1302674283930943
97,0.9,l2,0.36923431656593353
97,0.9,fg,0.0945261058506787
97,0.9,fg2,0.39758310694608817
97,0.9,eb,0
97,0.9,eb2,0
97,0.9,im,0
97,0.9,im2,0
97,0.9,lp,0
97,0.9,lp2,0
97,0.9,le,0
97,0.9,le2,0.4542699388488378
97,0.9,sl,0.1302674283930943
97,0.9,sl2,0.15543421155446632
96,0.9,wt,0.4121464338855761
96,0.9,wt2,-2.8143232849403766e-16
96,0.9,l,0.07731316194958629
96,0.9,l2,0.20143716294232963
96,0.9,fg,0.04731749884419919
96,0.9,fg2,0.3243460364300523
96,0.9,eb,-2.8143232849403766e-16
96,0.9,eb2,-2.8143232849403766e-16
96,0.9,im,-2.8143232849403766e-16
96,0.9,im2,-2.8143232849403766e-16
96,0.9,lp,-2.8143232849403766e-16
96,0.9,lp2,-2.8143232849403766e-16
96,0.9,le,0.2581225810537586
96,0.9,le2,0.22901133978800917
96,0.9,sl,0.04731749884419919
96,0.9,sl2,0.04731749884419919
95,0.9,wt,0.42550794593130925
95,0.9,wt2,0
95,0.9,l,0.014511765097091872
95,0.9,l2,0.3078825223630676
95,0.9,fg,0.09214309303714657
95,0.9,fg2,0.3319251935645029
95,0.9,eb,0.02509939644600666
95,0.9,eb2,0.3138167971750123
95,0.9,im,0
95,0.9,im2,0
95,0.9,lp,0
95,0.9,lp2,0
95,0.9,le,0
95,0.9,le2,NA
95,0.9,sl,0.10160879654015129
95,0.9,sl2,0.09871584403838614
94,0.9,wt,0.07198543178737887
94,0.9,wt2,2.851694931247846e-16
94,0.9,l,0.03141980045938438
94,0.9,l2,0.17892248043389203
94,0.9,fg,0.04404657068829443
94,0.9,fg2,0.17990425362424503
94,0.9,eb,2.851694931247846e-16
94,0.9,eb2,2.851694931247846e-16
94,0.9,im,2.851694931247846e-16
94,0.9,im2,2.851694931247846e-16
94,0.9,lp,2.851694931247846e-16
94,0.9,lp2,2.851694931247846e-16
94,0.9,le,2.851694931247846e-16
94,0.9,le2,0.1623584127386621
94,0.9,sl,0.06652223599676599
94,0.9,sl2,0.08358780655798168
93,0.9,wt,0.10481886956571927
93,0.9,wt2,0
93,0.9,l,0.023680865733550792
93,0.9,l2,0.20713718782093798
