run,alpha,method,NMI_scores
100,1,wt,0.12872842152614808
100,1,wt2,0
100,1,l,0.0826589429322117
100,1,l2,0.2246161254137551
100,1,fg,0.033285571094602236
100,1,fg2,0.19231324803910313
100,1,eb,0
100,1,eb2,0.36312228999990914
100,1,im,0
100,1,im2,0
100,1,lp,0
100,1,lp2,0.38621144109921374
100,1,le,0.10997074969130423
100,1,le2,0.21910422561991727
100,1,sl,0.06054420302137166
100,1,sl2,0.06054420302137166
99,1,wt,0.0036344315972832108
99,1,wt2,0
99,1,l,0.048779206989675236
99,1,l2,0.19770443125530868
99,1,fg,0.009653198697613847
99,1,fg2,0.17855394058080135
99,1,eb,0
99,1,eb2,0.3998053303599148
99,1,im,0
99,1,im2,0
99,1,lp,0
99,1,lp2,0.40991848008441434
99,1,le,0.017313385138635902
99,1,le2,0.1310393008618412
99,1,sl,0.048779206989675236
99,1,sl2,0.009562455095812454
98,1,wt,0.08787265811666048
98,1,wt2,0
98,1,l,0.11430601557400467
98,1,l2,0.12960025387778168
98,1,fg,0.041035755377853
98,1,fg2,0.25064343468208355
98,1,eb,0
98,1,eb2,0.37113589940962977
98,1,im,0
98,1,im2,0
98,1,lp,0
98,1,lp2,0.3818764735944016
98,1,le,0.11566117672905106
98,1,le2,0.17947255703460657
98,1,sl,0.035268553569840495
98,1,sl2,0.035268553569840495
97,1,wt,0.06274658265476722
97,1,wt2,0
97,1,l,0.06238764543197267
97,1,l2,0.17796514454913398
97,1,fg,0.05241170500410003
97,1,fg2,0.1274027262342437
97,1,eb,0
97,1,eb2,0.3735806941874101
97,1,im,0
97,1,im2,0
97,1,lp,0
97,1,lp2,0.4058863808003555
97,1,le,0.07774097580738473
97,1,le2,0.16616074899404
97,1,sl,0.06238764543197267
97,1,sl2,0.06338184811149468
96,1,wt,0.032783587387101486
96,1,wt2,0
96,1,l,0.12936078675438886
96,1,l2,0.1998083329128584
96,1,fg,0.02786225251375763
96,1,fg2,0.23431838526253052
96,1,eb,0
96,1,eb2,0.36598953631561154
96,1,im,0
96,1,im2,0
96,1,lp,0
96,1,lp2,0.3959738709327542
96,1,le,0.03433474003954848
96,1,le2,0.2782779438613959
96,1,sl,0.051385422741927485
96,1,sl2,0.11592941873415634
95,1,wt,0.005739429934518213
95,1,wt2,0
95,1,l,0.015348979039593461
95,1,l2,0.11672542133877963
95,1,fg,0.06602213527833975
95,1,fg2,0.20327594070940797
95,1,eb,0
95,1,eb2,0.3872191863237043
95,1,im,0
95,1,im2,0
95,1,lp,0
95,1,lp2,0.391562180142622
95,1,le,0.0028903106478429174
95,1,le2,0.1762597722469832
95,1,sl,0.043078543190826185
95,1,sl2,0.043078543190826185
94,1,wt,0.03954257606986664
94,1,wt2,0
94,1,l,0.05733836361693072
94,1,l2,0.266628310898282
94,1,fg,0.03920480824059671
94,1,fg2,0.19024873871698178
94,1,eb,0
94,1,eb2,0.4046764265463308
94,1,im,0
94,1,im2,0
94,1,lp,0
94,1,lp2,0.4046764265463308
94,1,le,0.006928206924574116
94,1,le2,0.15309964714378488
94,1,sl,0.035135606930691766
94,1,sl2,0.035135606930691766
93,1,wt,0.02481938422723379
93,1,wt2,0
93,1,l,0.0301852966681424
93,1,l2,0.17032906567449133
93,1,fg,0.05152112630013555
93,1,fg2,0.1208927332561003
93,1,eb,0
93,1,eb2,0.39425181674072757
93,1,im,0
93,1,im2,0
93,1,lp,0
93,1,lp2,0.39425181674072757
93,1,le,0.016101811509355513
93,1,le2,0.13819826544301944
93,1,sl,0.05509650001534681
93,1,sl2,0.08607717183012721
92,1,wt,0.02180098948498825
92,1,wt2,0
92,1,l,0.011547495142856854
92,1,l2,0.17311743972690574
92,1,fg,0.024192347354727292
92,1,fg2,0.16771629514750733
92,1,eb,0
92,1,eb2,0.3676601077802926
92,1,im,0
92,1,im2,0
92,1,lp,0
92,1,lp2,0.3975206048536276
92,1,le,0.008297929779365509
92,1,le2,0.1833881614952459
92,1,sl,0.005100191760695857
92,1,sl2,0.005100191760695857
91,1,wt,0.062399987886747645
91,1,wt2,0
91,1,l,0.07880980915316335
91,1,l2,0.12423995111770998
91,1,fg,0.044053220103434654
91,1,fg2,0.20976864102986867
91,1,eb,0
91,1,eb2,0.37461391938785976
91,1,im,0
91,1,im2,0
91,1,lp,0
91,1,lp2,0.40189880100862796
91,1,le,0.021644079235782956
91,1,le2,0.19702083220342217
91,1,sl,0.07274148642273455
91,1,sl2,0.07274148642273455
90,1,wt,0.013922260915567362
90,1,wt2,0
90,1,l,0.028144841027877267
90,1,l2,0.21846746868730343
90,1,fg,0.020266921555153798
90,1,fg2,0.2036885245561242
90,1,eb,0
90,1,eb2,0.39519349779579793
90,1,im,0
90,1,im2,0
90,1,lp,0
90,1,lp2,0.3923926220505102
90,1,le,0.03300243162448274
90,1,le2,0.1229524275240364
90,1,sl,0.05713488715018081
90,1,sl2,0.06082389593568014
89,1,wt,0.0390277922104706
89,1,wt2,0
89,1,l,0.023067539431281744
89,1,l2,0.12773049707519948
89,1,fg,0.026071949898620665
89,1,fg2,0.17309327910423908
89,1,eb,0
89,1,eb2,0.38922415902938834
89,1,im,0
89,1,im2,0
89,1,lp,0
89,1,lp2,0.4088371561353432
89,1,le,0.026961337323762467
89,1,le2,0.23023853401673566
89,1,sl,0.06388440472518893
89,1,sl2,0.06388440472518893
88,1,wt,0.042259805259091746
88,1,wt2,0
88,1,l,0.13072114718813402
88,1,l2,0.17705189724985412
88,1,fg,0.025864212079114005
88,1,fg2,0.1720409463177333
88,1,eb,0
88,1,eb2,0.35629768596464856
88,1,im,0
88,1,im2,0
88,1,lp,0
88,1,lp2,0.4039843386591195
88,1,le,0.0365085224590901
88,1,le2,0.12798561302515613
88,1,sl,0.025864212079114005
88,1,sl2,0.10110901426987039
87,1,wt,0.01528093159675531
87,1,wt2,0
87,1,l,0.02368109616861022
87,1,l2,0.10014696953989304
87,1,fg,0.01933055489253207
87,1,fg2,0.10410764356476208
87,1,eb,0
87,1,eb2,0.4024143919357199
87,1,im,0
87,1,im2,0
87,1,lp,0
87,1,lp2,0.4066496919715143
87,1,le,0.01528093159675531
87,1,le2,0.17085360832376742
87,1,sl,0.004169264345389869
87,1,sl2,0.004169264345389869
86,1,wt,0.01569098280483039
86,1,wt2,0
86,1,l,0.05261928216395318
86,1,l2,0.12697712125139052
86,1,fg,0.016873718235931142
86,1,fg2,0.08628272120327349
86,1,eb,0
86,1,eb2,0.3798492553023617
86,1,im,0
86,1,im2,0
86,1,lp,0
86,1,lp2,0.391188053026127
86,1,le,0.01644050217085685
86,1,le2,0.14064043807704116
86,1,sl,0.024065522137226607
86,1,sl2,0.005068947801218467
85,1,wt,0.013513995605439326
85,1,wt2,0
85,1,l,0.03151398062967517
85,1,l2,0.18896839280753633
85,1,fg,0.006368680258472805
85,1,fg2,0.134377843016703
85,1,eb,0
85,1,eb2,0.403719161989135
85,1,im,0
85,1,im2,0
85,1,lp,0
85,1,lp2,0.4079452146592309
85,1,le,0.013513995605439326
85,1,le2,0.13114870444131954
85,1,sl,0.02722291696142804
85,1,sl2,0.06136172356652085
84,1,wt,0.03652530010050464
84,1,wt2,0
84,1,l,0.07625444549590084
84,1,l2,0.1504594358423054
84,1,fg,0.06766019745032754
84,1,fg2,0.13301077963785995
84,1,eb,0
84,1,eb2,0.39870547407144896
84,1,im,0
84,1,im2,0
84,1,lp,0
84,1,lp2,0.4088371561353432
84,1,le,0.03336568221983715
84,1,le2,0.21873239383731338
84,1,sl,0.035022712791536854
84,1,sl2,0.044997173773868554
83,1,wt,0.08017908267727678
83,1,wt2,0
83,1,l,0.05545983109175528
83,1,l2,0.18140736950125677
83,1,fg,0.05219133619293462
83,1,fg2,0.16408850610657086
83,1,eb,0
83,1,eb2,0.38275490250677097
83,1,im,0
83,1,im2,0
83,1,lp,0
83,1,lp2,0.38606799542907494
83,1,le,0.05237915192205162
83,1,le2,0.20314465827795952
83,1,sl,0.10447549693268202
83,1,sl2,0.045792038871467586
82,1,wt,0.04378918207461417
82,1,wt2,0
82,1,l,0.08936776577785381
82,1,l2,0.1812056435232092
82,1,fg,0.056993127648933585
82,1,fg2,0.11173973573841907
82,1,eb,0
82,1,eb2,0.3791589793460518
82,1,im,0
82,1,im2,0
82,1,lp,0
82,1,lp2,0.4009359232896804
82,1,le,0.033503000708572844
82,1,le2,0.14395961422075584
82,1,sl,0.031162329664836112
82,1,sl2,0.031162329664836112
81,1,wt,0.013951310650610603
81,1,wt2,0
81,1,l,0.011287877634845785
81,1,l2,0.21647867355267184
81,1,fg,0.013951310650610603
81,1,fg2,0.19320620546794756
81,1,eb,0
81,1,eb2,0.4076852089357112
81,1,im,0
81,1,im2,0
81,1,lp,0
81,1,lp2,0.4076272018813188
81,1,le,0.013951310650610603
81,1,le2,0.15225335505860474
81,1,sl,0.013951310650610603
81,1,sl2,0.0068916745163759
80,1,wt,0.020622105149928384
80,1,wt2,0
80,1,l,0.08403219346225153
80,1,l2,0.24732173037922878
80,1,fg,0.08627772915800247
80,1,fg2,0.17092507159039635
80,1,eb,0
80,1,eb2,0.3907429033987195
80,1,im,0
80,1,im2,0
80,1,lp,0
80,1,lp2,0.4052456505573998
80,1,le,0.03786439379273169
80,1,le2,0.22537701742997704
80,1,sl,0.07919909116795873
80,1,sl2,0.07919909116795873
79,1,wt,0.04500138202818656
79,1,wt2,0
79,1,l,0.04372728241648232
79,1,l2,0.19514570964500766
79,1,fg,0.03378590805142506
79,1,fg2,0.21630167849516918
79,1,eb,0
79,1,eb2,0.3899339569127499
79,1,im,0
79,1,im2,0
79,1,lp,0
79,1,lp2,0.4079452146592309
79,1,le,0.04300855105019778
79,1,le2,0.12280458360937366
79,1,sl,0.040430340585825494
79,1,sl2,0.07000685922424278
78,1,wt,0.053078962242858616
78,1,wt2,0
78,1,l,0.06187654143065716
78,1,l2,0.11855774348781874
78,1,fg,0.024173007832630905
78,1,fg2,0.1740443257716344
78,1,eb,0
78,1,eb2,0.40493756528321323
78,1,im,0
78,1,im2,0
78,1,lp,0
78,1,lp2,0.40493756528321323
78,1,le,0.05815498879064069
78,1,le2,0.15904872117712457
78,1,sl,0.024173007832630905
78,1,sl2,0.07060883453317376
77,1,wt,0.0033160667945678034
77,1,wt2,0
77,1,l,0.07657449811501861
77,1,l2,0.14583675551162617
77,1,fg,0.03697542478930384
77,1,fg2,0.14123014977358267
77,1,eb,0
77,1,eb2,0.37974914246732583
77,1,im,0
77,1,im2,0
77,1,lp,0
77,1,lp2,0.40166877717031313
77,1,le,0.01780125252248561
77,1,le2,0.23541852895257492
77,1,sl,0.08034672891634323
77,1,sl2,0.03958990399205649
76,1,wt,0.03158347416759478
76,1,wt2,0
76,1,l,0.05926614992097421
76,1,l2,0.1869372693300213
76,1,fg,0.024469533873263498
76,1,fg2,0.16665250878290863
