run,rho,method,NMI_scores
100,0.2,wt,0.36543001416076826
100,0.2,wt2,0.6500584126375559
100,0.2,l,0.6271928182091208
100,0.2,l2,0.6271928182091208
100,0.2,fg,0.6271928182091208
100,0.2,fg2,0.6271928182091208
100,0.2,eb,0.6172177084965363
100,0.2,eb2,0.6172177084965363
100,0.2,im,0
100,0.2,im2,0
100,0.2,lp,0
100,0.2,lp2,0
100,0.2,le,0.6271928182091208
100,0.2,le2,0.6355066366319443
100,0.2,sl,0.6271928182091208
100,0.2,sl2,0.6271928182091208
99,0.2,wt,0.9021775318867459
99,0.2,wt2,0.9021775318867459
99,0.2,l,0.8929812922566254
99,0.2,l2,0.8929812922566254
99,0.2,fg,0.617720608874024
99,0.2,fg2,0.8929812922566254
99,0.2,eb,0.7233391898733023
99,0.2,eb2,0.7233391898733023
99,0.2,im,0
99,0.2,im2,0
99,0.2,lp,0.6665059991216424
99,0.2,lp2,0.6665059991216424
99,0.2,le,0.8070273178560075
99,0.2,le2,NA
99,0.2,sl,0.8929812922566254
99,0.2,sl2,0.617720608874024
98,0.2,wt,0.39733490638650387
98,0.2,wt2,0.6216646123580969
98,0.2,l,0.6216646123580969
98,0.2,l2,0.6216646123580969
98,0.2,fg,0.6216646123580969
98,0.2,fg2,0.6216646123580969
98,0.2,eb,0
98,0.2,eb2,0.32330935977736874
98,0.2,im,0
98,0.2,im2,0
98,0.2,lp,0
98,0.2,lp2,0.39733490638650387
98,0.2,le,0.6040482174037326
98,0.2,le2,0.6040482174037326
98,0.2,sl,0.39733490638650387
98,0.2,sl2,0.6216646123580969
97,0.2,wt,0.7616754394683355
97,0.2,wt2,0.7616754394683355
97,0.2,l,0.7616754394683355
97,0.2,l2,0.7616754394683355
97,0.2,fg,0.7616754394683355
97,0.2,fg2,0.7616754394683355
97,0.2,eb,0.7616754394683355
97,0.2,eb2,0.7616754394683355
97,0.2,im,0
97,0.2,im2,0
97,0.2,lp,0
97,0.2,lp2,0
97,0.2,le,0.7616754394683355
97,0.2,le2,0.7616754394683355
97,0.2,sl,0.7616754394683355
97,0.2,sl2,0.7616754394683355
96,0.2,wt,0.9007077610693426
96,0.2,wt2,0.9007077610693426
96,0.2,l,0.9007077610693426
96,0.2,l2,0.9007077610693426
96,0.2,fg,0.9007077610693426
96,0.2,fg2,0.9007077610693426
96,0.2,eb,0.3798354465894929
96,0.2,eb2,0.3798354465894929
96,0.2,im,0.6103958903982261
96,0.2,im2,0.6103958903982261
96,0.2,lp,0.6717121622355259
96,0.2,lp2,0.9007077610693426
96,0.2,le,0.9007077610693426
96,0.2,le2,0.9007077610693426
96,0.2,sl,0.9007077610693426
96,0.2,sl2,0.6905833875647354
95,0.2,wt,0.9287016193814029
95,0.2,wt2,0.8863576715271688
95,0.2,l,0.8863576715271688
95,0.2,l2,0.8863576715271688
95,0.2,fg,0.8863576715271688
95,0.2,fg2,0.8863576715271688
95,0.2,eb,0.47878911811072644
95,0.2,eb2,0.47878911811072644
95,0.2,im,0.8863576715271688
95,0.2,im2,0.8863576715271688
95,0.2,lp,0.16841261641928637
95,0.2,lp2,0.6055392001636439
95,0.2,le,0.8863576715271685
95,0.2,le2,0.8863576715271688
95,0.2,sl,0.8863576715271688
95,0.2,sl2,0.8863576715271688
94,0.2,wt,0.772994501691604
94,0.2,wt2,0.772994501691604
94,0.2,l,0.772994501691604
94,0.2,l2,0.772994501691604
94,0.2,fg,0.772994501691604
94,0.2,fg2,0.772994501691604
94,0.2,eb,0.06100788487912459
94,0.2,eb2,0.4446939503890779
94,0.2,im,0.5775336236993992
94,0.2,im2,0.5775336236993992
94,0.2,lp,0.34486331441982404
94,0.2,lp2,-2.8274440199675544e-16
94,0.2,le,0.7305121702258394
94,0.2,le2,0.7892152432238702
94,0.2,sl,0.772994501691604
94,0.2,sl2,0.772994501691604
93,0.2,wt,0.6746332335041255
93,0.2,wt2,0.6746332335041255
93,0.2,l,0.8273055734206504
93,0.2,l2,0.895293338110297
93,0.2,fg,0.6988366484258439
93,0.2,fg2,0.895293338110297
93,0.2,eb,0.06511700960647747
93,0.2,eb2,0.06511700960647747
93,0.2,im,0
93,0.2,im2,0
93,0.2,lp,0.5469062136549342
93,0.2,lp2,0.7002337464782654
93,0.2,le,0.7383220238546242
93,0.2,le2,0.70723958734496
93,0.2,sl,0.8273055734206504
93,0.2,sl2,0.7180550604541346
92,0.2,wt,0.8062972646992675
92,0.2,wt2,0.6652736503990927
