run,alpha,method,accuracies
1000,0.9000000000000001,wt,0.34
1000,0.9000000000000001,wt2,0.28
1000,0.9000000000000001,l,0.46
1000,0.9000000000000001,l2,0.48
1000,0.9000000000000001,fg,0.36
1000,0.9000000000000001,fg2,0.5
1000,0.9000000000000001,eb,0.28
1000,0.9000000000000001,eb2,0.82
1000,0.9000000000000001,im,0.28
1000,0.9000000000000001,im2,0.28
1000,0.9000000000000001,lp,0.28
1000,0.9000000000000001,lp2,1
1000,0.9000000000000001,sl,0.34
1000,0.9000000000000001,sl2,0.34
999,0.9000000000000001,wt,0.36
999,0.9000000000000001,wt2,0.3
999,0.9000000000000001,l,0.36
999,0.9000000000000001,l2,0.48
999,0.9000000000000001,fg,0.36
999,0.9000000000000001,fg2,0.42
999,0.9000000000000001,eb,0.3
999,0.9000000000000001,eb2,0.9
999,0.9000000000000001,im,0.3
999,0.9000000000000001,im2,0.3
999,0.9000000000000001,lp,0.3
999,0.9000000000000001,lp2,1
999,0.9000000000000001,sl,0.32
999,0.9000000000000001,sl2,0.4
998,0.9000000000000001,wt,0.32
998,0.9000000000000001,wt2,0.26
998,0.9000000000000001,l,0.34
998,0.9000000000000001,l2,0.34
998,0.9000000000000001,fg,0.28
998,0.9000000000000001,fg2,0.38
998,0.9000000000000001,eb,0.26
998,0.9000000000000001,eb2,0.92
998,0.9000000000000001,im,0.26
998,0.9000000000000001,im2,0.26
998,0.9000000000000001,lp,0.26
998,0.9000000000000001,lp2,1
998,0.9000000000000001,sl,0.4
998,0.9000000000000001,sl2,0.4
997,0.9000000000000001,wt,0.34
997,0.9000000000000001,wt2,0.3
997,0.9000000000000001,l,0.38
997,0.9000000000000001,l2,0.4
997,0.9000000000000001,fg,0.36
997,0.9000000000000001,fg2,0.4
997,0.9000000000000001,eb,0.3
997,0.9000000000000001,eb2,0.92
997,0.9000000000000001,im,0.3
997,0.9000000000000001,im2,0.3
997,0.9000000000000001,lp,0.3
997,0.9000000000000001,lp2,1
997,0.9000000000000001,sl,0.38
997,0.9000000000000001,sl2,0.3
996,0.9000000000000001,wt,0.28
996,0.9000000000000001,wt2,0.28
996,0.9000000000000001,l,0.38
996,0.9000000000000001,l2,0.44
996,0.9000000000000001,fg,0.3
996,0.9000000000000001,fg2,0.42
996,0.9000000000000001,eb,0.28
996,0.9000000000000001,eb2,1
996,0.9000000000000001,im,0.28
996,0.9000000000000001,im2,0.28
996,0.9000000000000001,lp,0.28
996,0.9000000000000001,lp2,1
996,0.9000000000000001,sl,0.38
996,0.9000000000000001,sl2,0.36
995,0.9000000000000001,wt,0.3
