run,alpha,method,accuracies
1000,1,wt,0.32
1000,1,wt2,0.26
1000,1,l,0.32
1000,1,l2,0.5
1000,1,fg,0.28
1000,1,fg2,0.44
1000,1,eb,0.26
1000,1,eb2,0.96
1000,1,im,0.26
1000,1,im2,0.26
1000,1,lp,0.26
1000,1,lp2,1
1000,1,sl,0.3
1000,1,sl2,0.32
999,1,wt,0.32
999,1,wt2,0.26
999,1,l,0.28
999,1,l2,0.36
999,1,fg,0.26
999,1,fg2,0.44
999,1,eb,0.26
999,1,eb2,0.94
999,1,im,0.26
999,1,im2,0.26
999,1,lp,0.26
999,1,lp2,1
999,1,sl,0.26
999,1,sl2,0.26
998,1,wt,0.36
998,1,wt2,0.3
998,1,l,0.4
998,1,l2,0.44
998,1,fg,0.32
998,1,fg2,0.46
998,1,eb,0.3
998,1,eb2,0.98
998,1,im,0.3
998,1,im2,0.3
998,1,lp,0.3
998,1,lp2,1
998,1,sl,0.42
998,1,sl2,0.42
997,1,wt,0.28
997,1,wt2,0.28
997,1,l,0.34
997,1,l2,0.36
997,1,fg,0.38
997,1,fg2,0.42
997,1,eb,0.28
997,1,eb2,0.86
997,1,im,0.28
997,1,im2,0.28
997,1,lp,0.28
997,1,lp2,1
997,1,sl,0.32
997,1,sl2,0.32
996,1,wt,0.28
996,1,wt2,0.24
996,1,l,0.28
996,1,l2,0.34
996,1,fg,0.32
996,1,fg2,0.4
996,1,eb,0.24
996,1,eb2,0.9
996,1,im,0.24
996,1,im2,0.24
996,1,lp,0.24
996,1,lp2,1
996,1,sl,0.26
996,1,sl2,0.28
995,1,wt,0.32
995,1,wt2,0.26
995,1,l,0.28
995,1,l2,0.46
995,1,fg,0.34
995,1,fg2,0.48
995,1,eb,0.26
995,1,eb2,1
995,1,im,0.26
995,1,im2,0.26
995,1,lp,0.26
995,1,lp2,1
995,1,sl,0.3
995,1,sl2,0.32
994,1,wt,0.3
994,1,wt2,0.28
994,1,l,0.36
994,1,l2,0.4
994,1,fg,0.32
994,1,fg2,0.42
994,1,eb,0.28
994,1,eb2,0.98
994,1,im,0.28
994,1,im2,0.28
994,1,lp,0.28
994,1,lp2,1
994,1,sl,0.36
994,1,sl2,0.36
993,1,wt,0.28
993,1,wt2,0.26
993,1,l,0.32
993,1,l2,0.42
993,1,fg,0.3
993,1,fg2,0.42
993,1,eb,0.26
993,1,eb2,0.94
993,1,im,0.26
993,1,im2,0.26
993,1,lp,0.26
993,1,lp2,1
993,1,sl,0.34
993,1,sl2,0.38
992,1,wt,0.34
992,1,wt2,0.24
992,1,l,0.36
992,1,l2,0.4
992,1,fg,0.28
992,1,fg2,0.34
992,1,eb,0.24
992,1,eb2,1
992,1,im,0.24
992,1,im2,0.24
992,1,lp,0.24
992,1,lp2,1
992,1,sl,0.34
992,1,sl2,0.36
991,1,wt,0.3
991,1,wt2,0.3
991,1,l,0.32
991,1,l2,0.36
991,1,fg,0.32
991,1,fg2,0.38
991,1,eb,0.3
991,1,eb2,0.98
991,1,im,0.3
991,1,im2,0.3
991,1,lp,0.3
991,1,lp2,1
991,1,sl,0.34
991,1,sl2,0.32
990,1,wt,0.3
990,1,wt2,0.24
990,1,l,0.3
990,1,l2,0.4
990,1,fg,0.32
990,1,fg2,0.46
990,1,eb,0.24
990,1,eb2,1
990,1,im,0.24
990,1,im2,0.24
990,1,lp,0.24
990,1,lp2,1
990,1,sl,0.38
990,1,sl2,0.34
989,1,wt,0.3
989,1,wt2,0.26
989,1,l,0.26
989,1,l2,0.38
989,1,fg,0.28
989,1,fg2,0.44
989,1,eb,0.26
989,1,eb2,0.9
989,1,im,0.26
989,1,im2,0.26
989,1,lp,0.26
989,1,lp2,1
989,1,sl,0.26
989,1,sl2,0.26
988,1,wt,0.28
988,1,wt2,0.28
988,1,l,0.3
988,1,l2,0.4
988,1,fg,0.34
988,1,fg2,0.42
988,1,eb,0.28
988,1,eb2,0.94
988,1,im,0.28
988,1,im2,0.28
988,1,lp,0.28
988,1,lp2,1
988,1,sl,0.3
988,1,sl2,0.32
987,1,wt,0.36
987,1,wt2,0.26
987,1,l,0.34
987,1,l2,0.42
987,1,fg,0.28
987,1,fg2,0.48
987,1,eb,0.26
987,1,eb2,0.94
987,1,im,0.26
987,1,im2,0.26
987,1,lp,0.26
987,1,lp2,1
987,1,sl,0.32
987,1,sl2,0.32
986,1,wt,0.34
986,1,wt2,0.3
986,1,l,0.36
986,1,l2,0.38
986,1,fg,0.36
986,1,fg2,0.38
986,1,eb,0.3
986,1,eb2,0.96
986,1,im,0.3
986,1,im2,0.3
986,1,lp,0.3
986,1,lp2,1
986,1,sl,0.36
986,1,sl2,0.36
985,1,wt,0.28
985,1,wt2,0.26
985,1,l,0.28
985,1,l2,0.42
985,1,fg,0.28
985,1,fg2,0.4
985,1,eb,0.26
985,1,eb2,0.92
985,1,im,0.26
985,1,im2,0.26
985,1,lp,0.26
985,1,lp2,1
985,1,sl,0.3
985,1,sl2,0.28
984,1,wt,0.26
984,1,wt2,0.24
984,1,l,0.28
984,1,l2,0.38
984,1,fg,0.28
984,1,fg2,0.36
984,1,eb,0.24
984,1,eb2,0.98
984,1,im,0.24
984,1,im2,0.24
984,1,lp,0.24
984,1,lp2,1
984,1,sl,0.3
984,1,sl2,0.3
983,1,wt,0.3
983,1,wt2,0.26
983,1,l,0.3
983,1,l2,0.34
983,1,fg,0.36
983,1,fg2,0.36
983,1,eb,0.26
983,1,eb2,1
983,1,im,0.26
983,1,im2,0.26
983,1,lp,0.26
983,1,lp2,1
983,1,sl,0.32
983,1,sl2,0.32
982,1,wt,0.3
982,1,wt2,0.3
982,1,l,0.3
982,1,l2,0.44
982,1,fg,0.3
982,1,fg2,0.4
982,1,eb,0.3
982,1,eb2,0.94
982,1,im,0.3
982,1,im2,0.3
982,1,lp,0.3
982,1,lp2,1
982,1,sl,0.3
982,1,sl2,0.3
981,1,wt,0.38
981,1,wt2,0.32
981,1,l,0.36
981,1,l2,0.46
981,1,fg,0.36
981,1,fg2,0.46
981,1,eb,0.32
981,1,eb2,0.98
981,1,im,0.32
981,1,im2,0.32
981,1,lp,0.32
981,1,lp2,1
981,1,sl,0.36
981,1,sl2,0.36
980,1,wt,0.38
980,1,wt2,0.24
980,1,l,0.3
980,1,l2,0.42
980,1,fg,0.3
980,1,fg2,0.48
980,1,eb,0.24
980,1,eb2,0.96
980,1,im,0.24
980,1,im2,0.24
980,1,lp,0.24
980,1,lp2,1
980,1,sl,0.3
980,1,sl2,0.3
979,1,wt,0.3
979,1,wt2,0.3
979,1,l,0.32
979,1,l2,0.42
979,1,fg,0.3
979,1,fg2,0.42
979,1,eb,0.3
979,1,eb2,1
979,1,im,0.3
979,1,im2,0.3
979,1,lp,0.3
979,1,lp2,1
979,1,sl,0.36
979,1,sl2,0.32
978,1,wt,0.28
978,1,wt2,0.24
978,1,l,0.34
978,1,l2,0.34
978,1,fg,0.32
978,1,fg2,0.36
978,1,eb,0.24
978,1,eb2,1
978,1,im,0.24
978,1,im2,0.24
978,1,lp,0.24
978,1,lp2,1
978,1,sl,0.36
978,1,sl2,0.3
977,1,wt,0.34
977,1,wt2,0.32
977,1,l,0.32
977,1,l2,0.46
977,1,fg,0.32
977,1,fg2,0.46
977,1,eb,0.32
977,1,eb2,0.9
977,1,im,0.32
