run,alpha,method,accuracies,c_count
100,0.9,wt,0.32,3
100,0.9,wt2,0.24,1
100,0.9,l,0.32,3
100,0.9,l2,0.42,7
100,0.9,fg,0.34,2
100,0.9,fg2,0.4,7
100,0.9,eb,0.24,1
100,0.9,eb2,0.98,48
100,0.9,im,0.24,1
100,0.9,im2,0.24,1
100,0.9,lp,0.24,1
100,0.9,lp2,1,50
100,0.9,sl,0.3,3
100,0.9,sl2,0.3,3
99,0.9,wt,0.28,2
99,0.9,wt2,0.24,1
99,0.9,l,0.28,3
99,0.9,l2,0.38,7
99,0.9,fg,0.32,2
99,0.9,fg2,0.36,7
99,0.9,eb,0.24,1
99,0.9,eb2,0.98,49
99,0.9,im,0.24,1
99,0.9,im2,0.24,1
99,0.9,lp,0.24,1
99,0.9,lp2,1,50
99,0.9,sl,0.34,4
99,0.9,sl2,0.32,3
98,0.9,wt,0.3,2
98,0.9,wt2,0.26,1
98,0.9,l,0.32,2
98,0.9,l2,0.44,6
98,0.9,fg,0.3,2
98,0.9,fg2,0.42,5
98,0.9,eb,0.26,1
98,0.9,eb2,0.96,48
98,0.9,im,0.26,1
98,0.9,im2,0.26,1
98,0.9,lp,0.26,1
98,0.9,lp2,1,50
98,0.9,sl,0.32,3
98,0.9,sl2,0.28,2
97,0.9,wt,0.38,3
97,0.9,wt2,0.28,1
97,0.9,l,0.36,2
97,0.9,l2,0.42,6
97,0.9,fg,0.28,2
97,0.9,fg2,0.4,6
97,0.9,eb,0.28,1
97,0.9,eb2,0.96,46
97,0.9,im,0.28,1
97,0.9,im2,0.28,1
97,0.9,lp,0.28,1
97,0.9,lp2,1,50
97,0.9,sl,0.36,3
97,0.9,sl2,0.34,2
96,0.9,wt,0.4,2
96,0.9,wt2,0.36,1
96,0.9,l,0.36,2
96,0.9,l2,0.5,5
96,0.9,fg,0.36,2
96,0.9,fg2,0.5,7
96,0.9,eb,0.36,1
96,0.9,eb2,0.9,41
96,0.9,im,0.36,1
96,0.9,im2,0.36,1
96,0.9,lp,0.36,1
96,0.9,lp2,1,50
96,0.9,sl,0.36,3
96,0.9,sl2,0.36,3
95,0.9,wt,0.34,2
95,0.9,wt2,0.26,1
95,0.9,l,0.28,2
95,0.9,l2,0.48,6
95,0.9,fg,0.34,2
95,0.9,fg2,0.4,7
95,0.9,eb,0.26,1
95,0.9,eb2,0.98,48
95,0.9,im,0.26,1
95,0.9,im2,0.26,1
95,0.9,lp,0.26,1
95,0.9,lp2,1,50
95,0.9,sl,0.3,2
95,0.9,sl2,0.3,2
94,0.9,wt,0.28,2
94,0.9,wt2,0.26,1
94,0.9,l,0.44,4
94,0.9,l2,0.42,8
94,0.9,fg,0.28,2
94,0.9,fg2,0.44,9
94,0.9,eb,0.26,1
94,0.9,eb2,0.96,47
