run,rho,method,NMI_scores
100,0.1,wt,0.9503984362947155
100,0.1,wt2,0.9503984362947155
100,0.1,l,0.7913997795121623
100,0.1,l2,0.9503984362947155
100,0.1,fg,0.7913997795121623
100,0.1,fg2,0.9503984362947155
100,0.1,eb,0.7458674494320251
100,0.1,eb2,0.7458674494320251
100,0.1,im,0.9503984362947155
100,0.1,im2,0.9503984362947155
100,0.1,lp,0.48790851159904536
100,0.1,lp2,0.9503984362947155
100,0.1,le,0.7913997795121623
100,0.1,le2,0.9503984362947155
100,0.1,sl,0.7913997795121623
100,0.1,sl2,0.8952250603130452
99,0.1,wt,0.849759607462683
99,0.1,wt2,0.854708586318573
99,0.1,l,1
99,0.1,l2,1
99,0.1,fg,1
99,0.1,fg2,1
99,0.1,eb,0.4715730043936593
99,0.1,eb2,0.4715730043936593
99,0.1,im,1
99,0.1,im2,1
99,0.1,lp,1
99,0.1,lp2,0.9519908005700721
99,0.1,le,0.9030288772828755
99,0.1,le2,0.9030288772828755
99,0.1,sl,0.9572510850886627
99,0.1,sl2,1
98,0.1,wt,0.635731377674139
98,0.1,wt2,0.8506606325147892
98,0.1,l,0.8506606325147892
98,0.1,l2,0.8506606325147892
98,0.1,fg,0.8506606325147892
98,0.1,fg2,0.8506606325147892
98,0.1,eb,0
98,0.1,eb2,0.4244530589982539
98,0.1,im,0.8506606325147892
98,0.1,im2,0.8506606325147892
98,0.1,lp,0.8506606325147892
98,0.1,lp2,0.8506606325147892
98,0.1,le,0.8048035031296723
98,0.1,le2,0.8048035031296723
98,0.1,sl,0.8559397004300398
98,0.1,sl2,0.8182203513400224
97,0.1,wt,0.9550605110371728
97,0.1,wt2,0.7897882144415292
97,0.1,l,0.9550605110371728
97,0.1,l2,0.9550605110371728
97,0.1,fg,0.9550605110371728
97,0.1,fg2,0.9550605110371728
97,0.1,eb,0.7962514520482332
97,0.1,eb2,0.923494435670537
97,0.1,im,0.7897882144415292
97,0.1,im2,0.7897882144415292
97,0.1,lp,0.7897882144415292
97,0.1,lp2,0.9550605110371728
97,0.1,le,0.9550605110371728
97,0.1,le2,0.9673747193469532
97,0.1,sl,0.9550605110371728
97,0.1,sl2,0.9550605110371728
96,0.1,wt,1
96,0.1,wt2,1
96,0.1,l,1
96,0.1,l2,1
96,0.1,fg,1
96,0.1,fg2,1
96,0.1,eb,0.30082340466794916
96,0.1,eb2,0.6443863151255496
96,0.1,im,1
96,0.1,im2,1
96,0.1,lp,1
96,0.1,lp2,1
96,0.1,le,1
