run,alpha,method,accuracies
100,1,wt,0.26
100,1,wt2,0.24
100,1,l,0.28
100,1,l2,0.44
100,1,fg,0.26
100,1,fg2,0.42
100,1,eb,0.24
100,1,eb2,1
100,1,im,0.24
100,1,im2,0.24
100,1,lp,0.24
100,1,lp2,1
100,1,sl,0.32
100,1,sl2,0.34
99,1,wt,0.28
99,1,wt2,0.28
99,1,l,0.34
99,1,l2,0.32
99,1,fg,0.32
99,1,fg2,0.34
99,1,eb,0.28
99,1,eb2,0.88
99,1,im,0.28
99,1,im2,0.28
99,1,lp,0.28
99,1,lp2,1
99,1,sl,0.3
99,1,sl2,0.32
98,1,wt,0.38
98,1,wt2,0.28
98,1,l,0.42
98,1,l2,0.52
98,1,fg,0.36
98,1,fg2,0.46
98,1,eb,0.28
98,1,eb2,0.96
98,1,im,0.28
98,1,im2,0.28
98,1,lp,0.28
98,1,lp2,1
98,1,sl,0.38
98,1,sl2,0.4
97,1,wt,0.32
97,1,wt2,0.24
97,1,l,0.28
97,1,l2,0.44
97,1,fg,0.32
97,1,fg2,0.4
97,1,eb,0.24
97,1,eb2,0.94
97,1,im,0.24
97,1,im2,0.24
97,1,lp,0.24
97,1,lp2,1
97,1,sl,0.32
97,1,sl2,0.32
96,1,wt,0.3
96,1,wt2,0.3
96,1,l,0.36
96,1,l2,0.42
96,1,fg,0.34
96,1,fg2,0.4
96,1,eb,0.3
96,1,eb2,0.96
96,1,im,0.3
96,1,im2,0.3
96,1,lp,0.3
96,1,lp2,1
96,1,sl,0.36
96,1,sl2,0.34
95,1,wt,0.36
95,1,wt2,0.34
95,1,l,0.38
95,1,l2,0.42
95,1,fg,0.34
95,1,fg2,0.48
95,1,eb,0.34
95,1,eb2,1
95,1,im,0.34
95,1,im2,0.34
95,1,lp,0.34
95,1,lp2,1
95,1,sl,0.36
95,1,sl2,0.34
94,1,wt,0.38
94,1,wt2,0.34
94,1,l,0.34
94,1,l2,0.5
94,1,fg,0.34
94,1,fg2,0.44
94,1,eb,0.34
94,1,eb2,0.9
94,1,im,0.34
94,1,im2,0.34
94,1,lp,0.34
94,1,lp2,1
94,1,sl,0.34
94,1,sl2,0.34
93,1,wt,0.3
93,1,wt2,0.26
93,1,l,0.36
93,1,l2,0.44
93,1,fg,0.34
93,1,fg2,0.38
93,1,eb,0.26
93,1,eb2,1
93,1,im,0.26
93,1,im2,0.26
93,1,lp,0.26
93,1,lp2,1
93,1,sl,0.32
93,1,sl2,0.3
92,1,wt,0.34
92,1,wt2,0.26
92,1,l,0.38
92,1,l2,0.4
92,1,fg,0.32
92,1,fg2,0.38
92,1,eb,0.26
92,1,eb2,0.82
92,1,im,0.26
92,1,im2,0.26
92,1,lp,0.26
